"","Pop","MLL_no","Indv_no","Pop_no","site_full","offsets_MLL"
"233","VHA",107,"VHA-16","16","Väst Hjältön",0.00023358153903122
"234","VHA",108,"VHA-17","17","Väst Hjältön",0.00023358153903122
"235","VHA",110,"VHA-18","18","Väst Hjältön",0.00023358153903122
"236","VHA",112,"VHA-19","19","Väst Hjältön",0.00023358153903122
"237","VHA",115,"VHA-20","20","Väst Hjältön",0.00023358153903122
"238","YST",312,"YST-01","01","Ystad",0.000320642653812316
"239","YST",315,"YST-11","11","Ystad",0.000320642653812316
"240","YST",317,"YST-15","15","Ystad",0.000320642653812316
"241","YST",321,"YST-09","09","Ystad",0.000320642653812316
"242","YST",326,"YST-18","18","Ystad",0.000320642653812316
