"","Pop","MLL_no","Indv_no","Pop_no","site_full","offsets_full"
"120","BLA",404,"BLA-17","17","Bläsinge",4.89097626394939e-05
"121","BLA",404,"BLA-18","18","Bläsinge",4.89097626394939e-05
"122","BLA",404,"BLA-19","19","Bläsinge",4.89097626394939e-05
"123","BLA",404,"BLA-20","20","Bläsinge",4.89097626394939e-05
"124","BUR",489,"BUR-01","01","Burgsvik",0.000251014861900187
"125","BUR",489,"BUR-02","02","Burgsvik",0.000251014861900187
"126","BUR",491,"BUR-03","03","Burgsvik",0.000251014861900187
"127","BUR",491,"BUR-04","04","Burgsvik",0.000251014861900187
"128","BUR",493,"BUR-05","05","Burgsvik",0.000251014861900187
"129","BUR",494,"BUR-06","06","Burgsvik",0.000251014861900187
"130","BUR",496,"BUR-07","07","Burgsvik",0.000251014861900187
"131","BUR",496,"BUR-08","08","Burgsvik",0.000251014861900187
"132","BUR",498,"BUR-09","09","Burgsvik",0.000251014861900187
"133","BUR",499,"BUR-10","10","Burgsvik",0.000251014861900187
"134","BUR",501,"BUR-11","11","Burgsvik",0.000251014861900187
"135","BUR",494,"BUR-12","12","Burgsvik",0.000251014861900187
"136","BUR",504,"BUR-13","13","Burgsvik",0.000251014861900187
"137","BUR",507,"BUR-14","14","Burgsvik",0.000251014861900187
"138","BUR",507,"BUR-15","15","Burgsvik",0.000251014861900187
"139","BUR",508,"BUR-16","16","Burgsvik",0.000251014861900187
"140","BUR",509,"BUR-17","17","Burgsvik",0.000251014861900187
"141","BUR",511,"BUR-18","18","Burgsvik",0.000251014861900187
"142","BUR",511,"BUR-20","20","Burgsvik",0.000251014861900187
"143","EKO",615,"EKO-01","01","Ekön",3.82896076566315e-05
"144","EKO",615,"EKO-02","02","Ekön",3.82896076566315e-05
"145","EKO",615,"EKO-03","03","Ekön",3.82896076566315e-05
"146","EKO",615,"EKO-04","04","Ekön",3.82896076566315e-05
"147","EKO",615,"EKO-05","05","Ekön",3.82896076566315e-05
"148","EKO",615,"EKO-06","06","Ekön",3.82896076566315e-05
"149","EKO",615,"EKO-07","07","Ekön",3.82896076566315e-05
"150","EKO",615,"EKO-08","08","Ekön",3.82896076566315e-05
"151","EKO",624,"EKO-09","09","Ekön",3.82896076566315e-05
