"","pop","trt","bagnum","cc","offset"
"381","HOG","TempWarm-5psu",191,"mll",9.76877756366098
"382","HOG","TempWarm-5psu",191,"full",8.74392494190103
"383","BAR","TempWarm-5psu",192,"mll",9.10083324445964
"384","BAR","TempWarm-5psu",192,"full",7.91919290391142
"385","HOR","TempWarm-16psu",193,"mll",11.8595167602951
"386","HOR","TempWarm-16psu",193,"full",14.2100387771213
"387","KUR","TempWarm-16psu",194,"mll",9.73698577193815
"388","KUR","TempWarm-16psu",194,"full",11.6630617749381
"389","BJO","TempWarm-16psu",195,"mll",12.8298981212163
"390","BJO","TempWarm-16psu",195,"full",15.1474228462094
"391","KAL","TempWarm-16psu",196,"mll",10.9762503253191
"392","KAL","TempWarm-16psu",196,"full",12.8391770477418
"393","BAR","TempWarm-16psu",197,"mll",3.5828282439875
"394","BAR","TempWarm-16psu",197,"full",5.69264809614522
"395","VIK","TempWarm-16psu",198,"mll",1.34940172070617
"396","VIK","TempWarm-16psu",198,"full",0.45299235308041
"397","HOG","TempWarm-16psu",199,"mll",3.00286765863335
"398","HOG","TempWarm-16psu",199,"full",4.90485814928287
"399","VAT","TempWarm-16psu",200,"mll",3.30328947445613
"400","VAT","TempWarm-16psu",200,"full",0.773618172136027
"401","VAT","TempWarm-5psu",201,"mll",15.9048486422911
"402","VAT","TempWarm-5psu",201,"full",14.5518684576481
"403","BJO","TempWarm-5psu",202,"mll",0.886028814100693
"404","BJO","TempWarm-5psu",202,"full",1.38326727090087
"405","KUR","TempWarm-5psu",203,"mll",3.14696022060454
"406","KUR","TempWarm-5psu",203,"full",2.20316740303205
"407","HOG","TempWarm-5psu",204,"mll",9.7811911471998
"408","HOG","TempWarm-5psu",204,"full",8.76256586284748
"409","HOR","TempWarm-5psu",205,"mll",1.03024902881415
"410","HOR","TempWarm-5psu",205,"full",0.431788491609221
"411","KAL","TempWarm-5psu",206,"mll",2.04005051945155
"412","KAL","TempWarm-5psu",206,"full",1.15197311381363
"413","VIK","TempWarm-5psu",207,"mll",13.5790502847748
"414","VIK","TempWarm-5psu",207,"full",13.1633948577191
"415","BAR","TempWarm-5psu",208,"mll",9.15098717161441
"416","BAR","TempWarm-5psu",208,"full",7.97477591598512
"417","VIK","TempWarm-16psu",209,"mll",1.3783687443704
"418","VIK","TempWarm-16psu",209,"full",0.416050261953159
"419","BAR","TempWarm-16psu",210,"mll",3.61937720843851
"420","BAR","TempWarm-16psu",210,"full",5.72959018727247
"421","HOG","TempWarm-16psu",211,"mll",2.96502179856266
"422","HOG","TempWarm-16psu",211,"full",4.85382134795204
"423","KUR","TempWarm-16psu",212,"mll",9.73534834827778
"424","KUR","TempWarm-16psu",212,"full",11.6489670647345
"425","BJO","TempWarm-16psu",213,"mll",12.6789699490039
"426","BJO","TempWarm-16psu",213,"full",14.9996544817004
"427","KAL","TempWarm-16psu",214,"mll",11.166679670522
"428","KAL","TempWarm-16psu",214,"full",13.0379822135816
"429","HOR","TempWarm-16psu",215,"mll",11.8217226162279
"430","HOR","TempWarm-16psu",215,"full",14.1730966859941
"431","VAT","TempWarm-16psu",216,"mll",3.3767713914134
"432","VAT","TempWarm-16psu",216,"full",0.847502354390518
"433","KUR","TempWarm-5psu",217,"mll",3.22201949525072
"434","KUR","TempWarm-5psu",217,"full",2.29114629549012
"435","VAT","TempWarm-5psu",218,"mll",15.8278031967997
"436","VAT","TempWarm-5psu",218,"full",14.46388956519
"437","BAR","TempWarm-5psu",219,"mll",9.11199566916313
"438","BAR","TempWarm-5psu",219,"full",7.9237391146543
"439","HOG","TempWarm-5psu",220,"mll",9.81897791301305
"440","HOG","TempWarm-5psu",220,"full",8.79950795397473
"441","KAL","TempWarm-5psu",221,"mll",1.96781821812241
"442","KAL","TempWarm-5psu",221,"full",1.07808893155914
"443","VIK","TempWarm-5psu",222,"mll",13.5020640214059
"444","VIK","TempWarm-5psu",222,"full",13.075415965261
"445","HOR","TempWarm-5psu",223,"mll",1.03024902881415
"446","HOR","TempWarm-5psu",223,"full",0.431788491609221
"447","BJO","TempWarm-5psu",224,"mll",0.879549707449603
"448","BJO","TempWarm-5psu",224,"full",1.2952883784428
"449","BJO","TempWarm-16psu",225,"mll",13.0381311201761
"450","BJO","TempWarm-16psu",225,"full",15.3414996483757
"451","HOG","TempWarm-16psu",226,"mll",3.07684957940906
"452","HOG","TempWarm-16psu",226,"full",4.95991925766034
"453","HOR","TempWarm-16psu",227,"mll",11.8375214269508
"454","HOR","TempWarm-16psu",227,"full",14.1401789019135
"455","VAT","TempWarm-16psu",228,"mll",3.04750320137014
"456","VAT","TempWarm-16psu",228,"full",0.542599278842412
"457","KUR","TempWarm-16psu",229,"mll",9.40852606223383
"458","KUR","TempWarm-16psu",229,"full",11.2694757503051
"459","BAR","TempWarm-16psu",230,"mll",3.77494266857596
"460","BAR","TempWarm-16psu",230,"full",5.87263018810802
"461","VIK","TempWarm-16psu",231,"mll",1.24094623399884
