"","pop","trt","bagnum","offset_mll","offset_full","method"
"255","KAL","TempWarm-5psu",255,1.89245737277669,1.10920947954465,"rda_offset"
"256","HOR","TempWarm-5psu",256,0.826787856126855,0.600079063423618,"rda_offset"
"257","KUR","TempControl-21psu",257,14.6428236459007,16.5460351041267,"rda_offset"
"258","BJO","TempControl-21psu",258,17.5403788606833,19.8878706653936,"rda_offset"
"259","KAL","TempControl-21psu",259,15.8361627927467,17.6955332255647,"rda_offset"
"260","HOR","TempControl-21psu",260,16.956852503157,19.313848823444,"rda_offset"
"261","VIK","TempControl-21psu",261,4.595603530348,5.88282207318003,"rda_offset"
"262","BAR","TempControl-21psu",262,8.96308462211046,11.0570337202108,"rda_offset"
"263","VAT","TempControl-21psu",263,2.53407275726381,4.67322131740846,"rda_offset"
"264","HOG","TempControl-21psu",264,8.17928327888551,10.086937202524,"rda_offset"
"265","VIK","TempControl-7psu",265,10.9040460843456,11.1805945098481,"rda_offset"
"266","VAT","TempControl-7psu",266,12.9776159655502,12.3883748155019,"rda_offset"
"267","BJO","TempControl-7psu",267,2.21250878848198,2.95212655396033,"rda_offset"
"268","BAR","TempControl-7psu",268,6.52879157992655,6.00173712213704,"rda_offset"
"269","HOG","TempControl-7psu",269,7.28439877520891,6.93891200509707,"rda_offset"
"270","HOR","TempControl-7psu",270,1.48869219536619,2.26744693633588,"rda_offset"
"271","KUR","TempControl-7psu",271,0.722351152110791,0.341106227827686,"rda_offset"
"272","KAL","TempControl-7psu",272,0.402531302091889,0.63929441253159,"rda_offset"
"273","VAT","TempControl-21psu",273,2.64316271843417,4.79500859296773,"rda_offset"
"274","HOG","TempControl-21psu",274,8.2896100783818,10.208766367795,"rda_offset"
"275","HOR","TempControl-21psu",275,17.0295383003428,19.3858430254187,"rda_offset"
"276","BAR","TempControl-21psu",276,9.07348673265643,11.1788782421516,"rda_offset"
"277","BJO","TempControl-21psu",277,17.5403788606833,19.8878706653936,"rda_offset"
"278","KUR","TempControl-21psu",278,14.827481846748,16.7537323654385,"rda_offset"
"279","KAL","TempControl-21psu",279,15.8724998533513,17.7315265830499,"rda_offset"
"280","VIK","TempControl-21psu",280,4.51999100020901,5.78311009028501,"rda_offset"
"281","KUR","TempControl-7psu",281,0.722351152110791,0.341106227827686,"rda_offset"
"282","KAL","TempControl-7psu",282,0.470982797832479,0.724908166984571,"rda_offset"
"283","VIK","TempControl-7psu",283,10.9040460843456,11.1805945098481,"rda_offset"
"284","HOG","TempControl-7psu",284,7.24677890420308,6.88909045534264,"rda_offset"
"285","BJO","TempControl-7psu",285,2.13948549263991,2.86629378813771,"rda_offset"
"286","VAT","TempControl-7psu",286,13.0880687383872,12.5102122099758,"rda_offset"
"287","HOR","TempControl-7psu",287,1.37844837922683,2.14637396408368,"rda_offset"
"288","BAR","TempControl-7psu",288,6.52879157992655,6.00173712213704,"rda_offset"
"289","BJO","TempControl-21psu",289,17.701629628634,20.0646331650956,"rda_offset"
"290","HOG","TempControl-21psu",290,8.34613500405039,10.2789980207168,"rda_offset"
"291","BAR","TempControl-21psu",291,9.01651753339623,11.1122250316638,"rda_offset"
"292","KUR","TempControl-21psu",292,14.8790703839282,16.8222943630149,"rda_offset"
"293","HOR","TempControl-21psu",293,16.7120639887889,19.0514951743186,"rda_offset"
"294","VIK","TempControl-21psu",294,4.58296826296361,5.86921627019413,"rda_offset"
"295","VAT","TempControl-21psu",295,2.53083734673657,4.65351401630411,"rda_offset"
"296","KAL","TempControl-21psu",296,15.8871358522046,17.7642799286933,"rda_offset"
"297","VIK","TempControl-7psu",297,11.1546814349148,11.4439908748748,"rda_offset"
"298","HOG","TempControl-7psu",298,7.50018262325953,7.15331951005914,"rda_offset"
"299","HOR","TempControl-7psu",299,1.11148788554347,1.82709117252143,"rda_offset"
"300","BJO","TempControl-7psu",300,1.99789257837421,2.69534993402857,"rda_offset"
"301","BAR","TempControl-7psu",301,6.78181997165247,6.26464770697747,"rda_offset"
"302","VAT","TempControl-7psu",302,13.3378247945638,12.7708062699064,"rda_offset"
"303","KUR","TempControl-7psu",303,1.09641133315859,0.732805058326789,"rda_offset"
"304","KAL","TempControl-7psu",304,0.298023648176742,0.371837071586777,"rda_offset"
"305","VIK","TempControl-21psu",305,3.82838757289629,4.87262495261522,"rda_offset"
"306","BJO","TempControl-21psu",306,17.665321970672,20.0286432751559,"rda_offset"
"307","HOG","TempControl-21psu",307,8.2359036393008,10.157193300307,"rda_offset"
"308","BAR","TempControl-21psu",308,9.01651753339623,11.1122250316638,"rda_offset"
"309","VAT","TempControl-21psu",309,2.53083734673657,4.65351401630411,"rda_offset"
"310","KAL","TempControl-21psu",310,15.776645595735,17.6424385130583,"rda_offset"
"311","KUR","TempControl-21psu",311,14.6581165241627,16.5786083056328,"rda_offset"
"312","HOR","TempControl-21psu",312,16.9330629867411,19.2951793460883,"rda_offset"
"313","VAT","TempControl-7psu",313,13.3378247945638,12.7708062699064,"rda_offset"
"314","KAL","TempControl-7psu",314,0.298023648176742,0.371837071586777,"rda_offset"
"315","KUR","TempControl-7psu",315,1.02724430328659,0.661643806307021,"rda_offset"
"316","BJO","TempControl-7psu",316,1.99789257837421,2.69534993402857,"rda_offset"
"317","VIK","TempControl-7psu",317,11.1546814349148,11.4439908748748,"rda_offset"
"318","HOG","TempControl-7psu",318,7.39001788686951,7.03155906322586,"rda_offset"
"319","HOR","TempControl-7psu",319,1.25770899435536,1.99818807297912,"rda_offset"
"320","BAR","TempControl-7psu",320,6.78181997165247,6.26464770697747,"rda_offset"
"321","VIK","TempControl-21psu",321,5.13406682652719,6.44843696183688,"rda_offset"
"322","VAT","TempControl-21psu",322,3.06085812540602,5.24881200820586,"rda_offset"
"323","BJO","TempControl-21psu",323,18.1267789978407,20.4927021020537,"rda_offset"
"324","KAL","TempControl-21psu",324,16.4267176525531,18.3144220258186,"rda_offset"
"325","BAR","TempControl-21psu",325,9.50990368626462,11.6262288633929,"rda_offset"
"326","HOG","TempControl-21psu",326,8.7612257182383,10.7041948558157,"rda_offset"
"327","KUR","TempControl-21psu",327,15.2324041970425,17.1652970813372,"rda_offset"
"328","HOR","TempControl-21psu",328,17.3636698422039,19.7274700070405,"rda_offset"
"329","BAR","TempControl-7psu",329,6.11300476302357,5.59162569284361,"rda_offset"
"330","HOG","TempControl-7psu",330,6.82982930807437,6.47607748609692,"rda_offset"
"331","VIK","TempControl-7psu",331,10.4912243680306,10.7679700470353,"rda_offset"
"332","VAT","TempControl-7psu",332,12.6401171211811,12.0663534876673,"rda_offset"
"333","KUR","TempControl-7psu",333,0.277216190628998,0.161037230383597,"rda_offset"
"334","BJO","TempControl-7psu",334,2.58963322154867,3.36320360054579,"rda_offset"
"335","KAL","TempControl-7psu",335,0.697496909591445,0.968221956754697,"rda_offset"
"336","HOR","TempControl-7psu",336,1.89511209715862,2.69611833144274,"rda_offset"
"337","KAL","TempControl-21psu",337,16.3525596073284,18.2285748584547,"rda_offset"
"338","HOG","TempControl-21psu",338,8.79753104068131,10.7401893690422,"rda_offset"
"339","BAR","TempControl-21psu",339,9.43574144225054,11.5403855763528,"rda_offset"
"340","VIK","TempControl-21psu",340,5.02366549399453,6.32659283424032,"rda_offset"
"341","HOR","TempControl-21psu",341,17.4741761802113,19.8492897398022,"rda_offset"
"342","BJO","TempControl-21psu",342,18.0904422236385,20.4567059111006,"rda_offset"
"343","VAT","TempControl-21psu",343,3.06085812540602,5.24881200820586,"rda_offset"
"344","KUR","TempControl-21psu",344,15.0447985641517,16.9299106068962,"rda_offset"
"345","KUR","TempControl-7psu",345,0.387135298218986,0.153805348559443,"rda_offset"
"346","BJO","TempControl-7psu",346,2.47947332304164,3.24139890399963,"rda_offset"
"347","HOG","TempControl-7psu",347,6.82982930807437,6.47607748609692,"rda_offset"
"348","BAR","TempControl-7psu",348,6.22346017545189,5.71344867257982,"rda_offset"
"349","HOR","TempControl-7psu",349,1.89511209715862,2.69611833144274,"rda_offset"
"350","KAL","TempControl-7psu",350,0.735190163708402,1.0176927045145,"rda_offset"
"351","VAT","TempControl-7psu",351,12.6764748347063,12.102325967959,"rda_offset"
"352","VIK","TempControl-7psu",352,10.6017077278268,10.8898152920652,"rda_offset"
"353","KAL","TempControl-21psu",353,15.9789378053468,17.8767315684905,"rda_offset"
"354","BJO","TempControl-21psu",354,17.2320623490322,19.4846477665852,"rda_offset"
"355","HOR","TempControl-21psu",355,16.6464737931223,18.9090158731183,"rda_offset"
"356","VIK","TempControl-21psu",356,4.29845472843934,5.48354358795326,"rda_offset"
"357","HOG","TempControl-21psu",357,7.95001756993279,9.77114710355738,"rda_offset"
"358","BAR","TempControl-21psu",358,8.58541361398492,10.5821384450015,"rda_offset"
"359","VAT","TempControl-21psu",359,2.07396818675346,4.07353174734431,"rda_offset"
"360","KUR","TempControl-21psu",360,13.9174802743303,15.5941091016639,"rda_offset"
"361","VAT","TempControl-7psu",361,13.4315460310697,12.866089423907,"rda_offset"
"362","KAL","TempControl-7psu",362,0.302624237521422,0.322050104999387,"rda_offset"
"363","KUR","TempControl-7psu",363,0.982431912660765,0.601529161559415,"rda_offset"
"364","HOG","TempControl-7psu",364,7.52170184406792,7.1768795006238,"rda_offset"
"365","BAR","TempControl-7psu",365,6.91222434118443,6.39610946237341,"rda_offset"
"366","BJO","TempControl-7psu",366,1.98401173356715,2.68643879411133,"rda_offset"
"367","VIK","TempControl-7psu",367,11.2848566279405,11.5754603147871,"rda_offset"
"368","HOR","TempControl-7psu",368,1.13355949613726,1.86665181585011,"rda_offset"
"369","VIK","TempControl-21psu",369,4.19063788571249,5.37578439837927,"rda_offset"
"370","HOR","TempControl-21psu",370,16.6101393180177,18.8730189548778,"rda_offset"
"371","BJO","TempControl-21psu",371,17.7572873719413,20.1410954725015,"rda_offset"
"372","HOG","TempControl-21psu",372,8.25270472917845,10.1700308242595,"rda_offset"
"373","VAT","TempControl-21psu",373,2.18100942105863,4.19536902593898,"rda_offset"
"374","KAL","TempControl-21psu",374,15.4900788645038,17.2562737543788,"rda_offset"
"375","KUR","TempControl-21psu",375,14.6380064863898,16.5553355043702,"rda_offset"
"376","BAR","TempControl-21psu",376,8.9260360830935,11.0309056247136,"rda_offset"
"377","HOG","TempControl-7psu",377,7.37400590295552,7.00533610875361,"rda_offset"
"378","VAT","TempControl-7psu",378,13.1743600432342,12.5864058402058,"rda_offset"
"379","BAR","TempControl-7psu",379,6.80204170383346,6.27430117237384,"rda_offset"
"380","KAL","TempControl-7psu",380,0.309751009412154,0.366632994995929,"rda_offset"
"381","HOR","TempControl-7psu",381,1.35073106387586,2.10971045841236,"rda_offset"
"382","KUR","TempControl-7psu",382,0.914054782490247,0.504621875822471,"rda_offset"
"383","VIK","TempControl-7psu",383,11.35888356889,11.661271865932,"rda_offset"
"384","BJO","TempControl-7psu",384,1.98401173356715,2.68643879411133,"rda_offset"
