"","pop","trt","bagnum_text","tank_ID","gg_mll_ind","gg_full_ind","method"
"90","BAR","TempWarm-5psu",90,"A3",0.00305869293250382,0.00217849342313125,"lea_offset"
"91","BJO","TempWarm-5psu",91,"A3",0.00288285596305893,0.00209967114515492,"lea_offset"
"92","KUR","TempWarm-5psu",92,"A3",0.00215983347790149,0.00153655884113598,"lea_offset"
"93","KAL","TempWarm-5psu",93,"A3",0.00157892054655681,0.00115324239753126,"lea_offset"
"94","VIK","TempWarm-5psu",94,"A3",0.00255544254923491,0.0020810682791766,"lea_offset"
"95","HOR","TempWarm-5psu",95,"A3",0.00287902277849758,0.00175912233208865,"lea_offset"
"96","VAT","TempWarm-5psu",96,"A3",0.00538718342392235,0.00378584847477117,"lea_offset"
"97","HOG","TempWarm-16psu",97,"A4",0.00308248209545029,0.00319919844838402,"lea_offset"
"98","BJO","TempWarm-16psu",98,"A4",0.00375999082039943,0.00385385027580758,"lea_offset"
"99","VAT","TempWarm-16psu",99,"A4",0.00517493208211563,0.00432799992963157,"lea_offset"
"100","BAR","TempWarm-16psu",100,"A4",0.00331954505964613,0.00333631551100757,"lea_offset"
"101","VIK","TempWarm-16psu",101,"A4",0.0025594742855534,0.00230466918077538,"lea_offset"
"102","HOR","TempWarm-16psu",102,"A4",0.00350315841115676,0.00300769363912875,"lea_offset"
"103","KAL","TempWarm-16psu",103,"A4",0.00222686157779787,0.00245169433716259,"lea_offset"
"104","KUR","TempWarm-16psu",104,"A4",0.00274150746079565,0.00264554022543631,"lea_offset"
"105","KAL","TempWarm-5psu",105,"A4",0.00193900236302726,0.00157402381294575,"lea_offset"
"106","VIK","TempWarm-5psu",106,"A4",0.002906181160144,0.00248658750060882,"lea_offset"
"107","BJO","TempWarm-5psu",107,"A4",0.00336429214825684,0.00266066148582896,"lea_offset"
"108","KUR","TempWarm-5psu",108,"A4",0.00256077635402549,0.00200203558815159,"lea_offset"
"109","VAT","TempWarm-5psu",109,"A4",0.00570954871436831,0.00412956027919117,"lea_offset"
"110","BAR","TempWarm-5psu",110,"A4",0.00340844334926653,0.0025736697522956,"lea_offset"
"111","HOR","TempWarm-5psu",111,"A4",0.00328048242616472,0.00220573268797387,"lea_offset"
"112","HOG","TempWarm-5psu",112,"A4",0.00318864889149108,0.0025362015955146,"lea_offset"
"113","KAL","TempWarm-16psu",113,"A4",0.00222857166321297,0.00245233749960421,"lea_offset"
"114","BAR","TempWarm-16psu",114,"A4",0.0033166989907057,0.00331996567181515,"lea_offset"
"115","KUR","TempWarm-16psu",115,"A4",0.00275191550894377,0.00267624533371708,"lea_offset"
"116","HOR","TempWarm-16psu",116,"A4",0.00351518408101,0.0030420288624411,"lea_offset"
"117","HOG","TempWarm-16psu",117,"A4",0.00308583280643224,0.003193500671687,"lea_offset"
"118","BJO","TempWarm-16psu",118,"A4",0.00375114061740766,0.00383272663080174,"lea_offset"
"119","VAT","TempWarm-16psu",119,"A4",0.00517493208211563,0.00432799992963157,"lea_offset"
"120","VIK","TempWarm-16psu",120,"A4",0.0025594742855534,0.00230466918077538,"lea_offset"
"121","HOR","TempWarm-5psu",121,"A4",0.00328048242616472,0.00220573268797387,"lea_offset"
"122","BJO","TempWarm-5psu",122,"A4",0.00336429214825684,0.00266066148582896,"lea_offset"
"123","KUR","TempWarm-5psu",123,"A4",0.00256077635402549,0.00200203558815159,"lea_offset"
"124","HOG","TempWarm-5psu",124,"A4",0.00319797799595601,0.00254332002069277,"lea_offset"
"125","VAT","TempWarm-5psu",125,"A4",0.00571813015096768,0.00413734576171197,"lea_offset"
"126","KAL","TempWarm-5psu",126,"A4",0.00193937006037926,0.00157794323240377,"lea_offset"
"127","BAR","TempWarm-5psu",127,"A4",0.00340844334926653,0.0025736697522956,"lea_offset"
"128","VIK","TempWarm-5psu",128,"A4",0.0029042938843805,0.00249123269627264,"lea_offset"
"129","BAR","TempWarm-16psu",129,"B1",0.00295559323301072,0.00290401573751577,"lea_offset"
"130","HOG","TempWarm-16psu",130,"B1",0.00269635601212276,0.0027240111116962,"lea_offset"
"131","HOR","TempWarm-16psu",131,"B1",0.00309756667558817,0.00254826643344834,"lea_offset"
"132","VAT","TempWarm-16psu",132,"B1",0.00483627774603059,0.00390634383693629,"lea_offset"
"133","BJO","TempWarm-16psu",133,"B1",0.00323652009439174,0.00321118719631768,"lea_offset"
"134","KAL","TempWarm-16psu",134,"B1",0.00182959975915339,0.00196165728300957,"lea_offset"
"135","VIK","TempWarm-16psu",135,"B1",0.00217846851026607,0.00183198005820856,"lea_offset"
"136","KUR","TempWarm-16psu",136,"B1",0.00230054237528689,0.00209567637935947,"lea_offset"
"137","KAL","TempWarm-5psu",137,"B1",0.00156880899621144,0.00111981757345328,"lea_offset"
"138","BAR","TempWarm-5psu",138,"B1",0.0030675042670361,0.00215368841992897,"lea_offset"
"139","KUR","TempWarm-5psu",139,"B1",0.00215104168622214,0.00149633790297491,"lea_offset"
"140","HOR","TempWarm-5psu",140,"B1",0.00288545688198318,0.00172670885488841,"lea_offset"
"141","BJO","TempWarm-5psu",141,"B1",0.00286818011427678,0.00204662483727695,"lea_offset"
"142","VAT","TempWarm-5psu",142,"B1",0.00541804074533077,0.00377732450720298,"lea_offset"
"143","VIK","TempWarm-5psu",143,"B1",0.00255017607227887,0.00204634828615072,"lea_offset"
"144","HOG","TempWarm-5psu",144,"B1",0.00282565495276698,0.00208527904205058,"lea_offset"
"145","BJO","TempWarm-16psu",145,"B1",0.00323686085434431,0.00321105196789983,"lea_offset"
"146","VIK","TempWarm-16psu",146,"B1",0.00217200950752406,0.00181678482046601,"lea_offset"
"147","KUR","TempWarm-16psu",147,"B1",0.00230070126458263,0.00209605317082357,"lea_offset"
"148","KAL","TempWarm-16psu",148,"B1",0.00181098725571152,0.00191137088389612,"lea_offset"
"149","BAR","TempWarm-16psu",149,"B1",0.00294633502305778,0.00286563996622084,"lea_offset"
"150","HOR","TempWarm-16psu",150,"B1",0.003085651188026,0.00251377323393292,"lea_offset"
"151","HOG","TempWarm-16psu",151,"B1",0.00269030076307056,0.00270325549310165,"lea_offset"
"152","VAT","TempWarm-16psu",152,"B1",0.00484690593767505,0.00389487710533223,"lea_offset"
"153","KUR","TempWarm-5psu",153,"B1",0.00215141881213102,0.00149990736389988,"lea_offset"
"154","BAR","TempWarm-5psu",154,"B1",0.0030675042670361,0.00215368841992897,"lea_offset"
"155","BJO","TempWarm-5psu",155,"B1",0.00286818011427678,0.00204662483727695,"lea_offset"
"156","HOG","TempWarm-5psu",156,"B1",0.00282565495276698,0.00208527904205058,"lea_offset"
"157","VAT","TempWarm-5psu",157,"B1",0.00541750945046757,0.00377563975498729,"lea_offset"
"158","VIK","TempWarm-5psu",158,"B1",0.00255244170705199,0.002054022489915,"lea_offset"
"159","KAL","TempWarm-5psu",159,"B1",0.00156873607171028,0.00111772800218997,"lea_offset"
"160","HOR","TempWarm-5psu",160,"B1",0.00288303276399529,0.00172613214364546,"lea_offset"
"161","BAR","TempWarm-16psu",161,"B2",0.0028452485867054,0.00279951525388352,"lea_offset"
"162","HOG","TempWarm-16psu",162,"B2",0.00258515987591844,0.00262643439499794,"lea_offset"
"163","VAT","TempWarm-16psu",163,"B2",0.00472693637299745,0.00381940705347127,"lea_offset"
"164","KAL","TempWarm-16psu",164,"B2",0.00176143468442751,0.00194430202462751,"lea_offset"
"165","VIK","TempWarm-16psu",165,"B2",0.00207970493070057,0.00174633607624538,"lea_offset"
"166","KUR","TempWarm-16psu",166,"B2",0.00219688377828858,0.00201307566200719,"lea_offset"
"167","BJO","TempWarm-16psu",167,"B2",0.00309347778377526,0.00305311026473077,"lea_offset"
"168","HOR","TempWarm-16psu",168,"B2",0.00296355206634165,0.00240019818582899,"lea_offset"
"169","KAL","TempWarm-5psu",169,"B2",0.00147588795300424,0.00103560702699763,"lea_offset"
"170","HOR","TempWarm-5psu",170,"B2",0.00277004953681424,0.0016311359199293,"lea_offset"
"171","VIK","TempWarm-5psu",171,"B2",0.00245715685476425,0.00197015790650205,"lea_offset"
"172","KUR","TempWarm-5psu",172,"B2",0.00204502039434727,0.00140831878157789,"lea_offset"
"173","BAR","TempWarm-5psu",173,"B2",0.00296079863055233,0.00206471586352357,"lea_offset"
"174","BJO","TempWarm-5psu",174,"B2",0.00273930646795232,0.00193081340035028,"lea_offset"
"175","VAT","TempWarm-5psu",175,"B2",0.00530098079031525,0.00369178293399745,"lea_offset"
"176","HOG","TempWarm-5psu",176,"B2",0.00271992555507986,0.00199550907396906,"lea_offset"
"177","KAL","TempWarm-16psu",177,"B2",0.00172311088355995,0.0018409537909725,"lea_offset"
"178","HOG","TempWarm-16psu",178,"B2",0.00259228451668863,0.00263759322634565,"lea_offset"
