"DNA_label","new_label","pop","genet","bagnum","tank_ID","sal_full","temp_full","trt","nbr_leaves_start","sideShoot","nbr_sideShootLeaves_start","length_longest_leaf_start","weight_start","IsBlackLesions_start","nbr_leaves_end","nbr_new_leaves","width_leaf","Growth_leaf1","Growth_leaf2","Growth_leaf3","Growth_leaf4","Growth_leaf5","Growth_leaf6","Growth_leaf7","Length_new_leaf1","Length_new_leaf2","Length_new_leaf3","Length_new_leaf4","Length_new_leaf5","Length_new_leaf6","Nbr_new_shoots","Nbr_leaves_new_shoot1","Length_new_shoot1_leaf1","Length_new_shoot1_leaf2","Length_new_shoot1_leaf3","Length_new_shoot1_leaf4","Length_new_shoot1_leaf5","Length_new_shoot1_leaf6","Nbr_leaves_new_shoot2","Length_new_shoot2_leaf1","Length_new_shoot2_leaf2","Length_new_shoot2_leaf3","Length_new_shoot2_leaf4","Length_new_shoot2_leaf5","below_ground_weight","above_ground_weight","weight_new_shoot1","weight_new_shoot2","total_weight","lesions.","isAlive","Length_flower1","Length_bract1","pop_trt","block","mean_sal","median_sal","min_sal","max_sal","sd_sal","mean_temp","median_temp","min_temp","max_temp","sd_temp","x_coord","y_coord","position","length_growth","length_std_change","weight_change","weight_std_change","above_below_weight_ratio"
"BAR_gen-42","329_C3_BAR_gen-42_TempControl-7psu","BAR","gen-42",329,"C3","7psu","TempControl","TempControl_7psu",5,TRUE,2,19.3,1.24,FALSE,5,4,0.2,12,NA,NA,NA,NA,NA,NA,20.9,15.1,2.1,18.7,NA,NA,2,5,9.8,14.6,6.5,14.6,13.7,NA,5,8.2,9.6,3.6,9.4,10.2,1.12,0.3,0.22,0.13,1.77,"N",1,NA,NA,"BAR_TempControl_7psu","18",7.1,7.1,7.1,7.1,0,20.0545752801425,20.203310546875,13.939853515625,24.150146484375,1.76645439081661,19,9,"19_9",169,8.75647668393782,0.53,0.42741935483871,0.267857142857143
"BAR_gen-43","339_C3_BAR_gen-43_TempControl-21psu","BAR","gen-43",339,"C3","21psu","TempControl","TempControl_21psu",5,FALSE,0,39.5,3.13,TRUE,5,3,0.3,2.2,12.4,NA,NA,NA,NA,NA,27,20.7,6.2,NA,NA,NA,1,4,11.6,5.9,11.9,9.1,NA,NA,NA,NA,NA,NA,NA,NA,2,0.66,0.13,0,2.79,"Y",1,NA,NA,"BAR_TempControl_21psu","19",21.175,21.2,21.1,21.2,0.0499999999999989,20.0545752801425,20.203310546875,13.939853515625,24.150146484375,1.76645439081661,21,11,"21_11",107,2.70886075949367,-0.34,-0.108626198083067,0.33
"BAR_gen-44","348_C3_BAR_gen-44_TempControl-7psu","BAR","gen-44",348,"C3","7psu","TempControl","TempControl_7psu",5,FALSE,0,43.4,2.73,FALSE,4,3,0.25,14.4,NA,NA,NA,NA,NA,NA,24.3,8.6,25,NA,NA,NA,1,4,8.5,11.8,9.6,5.7,NA,NA,NA,NA,NA,NA,NA,NA,1.42,0.61,0.12,0,2.15,"Y",1,NA,NA,"BAR_TempControl_7psu","20",7,7,7,7,0,20.0545752801425,20.203310546875,13.939853515625,24.150146484375,1.76645439081661,23,12,"23_12",107.9,2.48617511520737,-0.58,-0.212454212454212,0.429577464788732
"BAR_gen-45","358_C4_BAR_gen-45_TempControl-21psu","BAR","gen-45",358,"C4","21psu","TempControl","TempControl_21psu",5,FALSE,0,35.7,3.13,TRUE,5,3,0.3,12.4,3.1,NA,NA,NA,NA,NA,26.6,6.1,33.5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59,0.99,0,0,2.58,"Y",1,NA,NA,"BAR_TempControl_21psu","21",21.1,21.3,20.4,21.4,0.469041575982344,20.2176319507076,20.2462109375,16.170673828125,27.02447265625,1.99822095675236,18,14,"18_14",81.7,2.28851540616246,-0.55,-0.175718849840256,0.622641509433962
"BAR_gen-46","365_C4_BAR_gen-46_TempControl-7psu","BAR","gen-46",365,"C4","7psu","TempControl","TempControl_7psu",5,FALSE,0,43.1,2.93,FALSE,2,2,0.2,NA,NA,NA,NA,NA,NA,NA,27.5,18.3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22,0.26,0,0,1.48,"N",1,NA,NA,"BAR_TempControl_7psu","22",7,7,7,7,0,20.2176319507076,20.2462109375,16.170673828125,27.02447265625,1.99822095675236,20,13,"20_13",45.8,1.06264501160093,-1.45,-0.494880546075085,0.213114754098361
"BAR_gen-47","376_C4_BAR_gen-47_TempControl-21psu","BAR","gen-47",376,"C4","21psu","TempControl","TempControl_21psu",4,FALSE,0,35.9,1.73,FALSE,4,2,0.25,5.2,24.5,NA,NA,NA,NA,NA,35.9,17.5,NA,NA,NA,NA,1,4,14,7.3,10,0.4,NA,NA,10,NA,NA,NA,NA,NA,1.37,0.66,0.08,0,2.11,"N",1,NA,NA,"BAR_TempControl_21psu","23",21.375,21.3,21.3,21.6,0.15,20.2176319507076,20.2462109375,16.170673828125,27.02447265625,1.99822095675236,22,16,"22_16",114.8,3.19777158774373,0.38,0.219653179190751,0.481751824817518
"BJO_gen-01","008_A1_BJO_gen-01_TempControl-21psu","BJO","gen-01",8,"A1","21psu","TempControl","TempControl_21psu",5,TRUE,2,26.7,2.69,TRUE,3,2,0.4,3.4,13.2,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,1,3,9,8.1,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53,0.63,0.23,0,3.39,"Y",1,NA,NA,"BJO_TempControl_21psu","1",21.02,21,21,21.1,0.0447213595499964,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,2,4,"2_4",54.3,2.03370786516854,0.7,0.260223048327138,0.24901185770751
"BJO_gen-02","011_A1_BJO_gen-02_TempControl-7psu","BJO","gen-02",11,"A1","7psu","TempControl","TempControl_7psu",6,TRUE,2,43.5,2.99,FALSE,5,2,0.4,16.5,34.7,4.8,NA,NA,NA,NA,36.8,21,NA,NA,NA,NA,1,3,16.6,9.3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.34,1.67,0.18,0,4.19,"N",1,NA,NA,"BJO_TempControl_7psu","2",7.1,7.1,7.1,7.1,0,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,3,3,"3_3",153.7,3.53333333333333,1.2,0.40133779264214,0.713675213675214
"BJO_gen-03","020_A1_BJO_gen-03_TempControl-21psu","BJO","gen-03",20,"A1","21psu","TempControl","TempControl_21psu",6,TRUE,2,41,3.48,FALSE,5,3,0.3,1.5,10.1,NA,NA,NA,NA,NA,40.5,12.9,36.8,NA,NA,NA,1,3,13.9,14.7,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,1.4,0.14,0,4.24,"N",1,NA,NA,"BJO_TempControl_21psu","3",21,21,20.9,21.1,0.0707106781186558,20.0156771811542,20.117509765625,16.04197265625,24.193046875,1.7119521433729,5,4,"5_4",138.2,3.37073170731707,0.76,0.218390804597701,0.518518518518518
"BJO_gen-05","036_A2_BJO_gen-05_TempControl-21psu","BJO","gen-05",36,"A2","21psu","TempControl","TempControl_21psu",6,TRUE,2,38.2,2.67,FALSE,3,1,0.3,22,7.6,NA,NA,NA,NA,NA,19.6,NA,NA,NA,NA,NA,1,2,3.6,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91,0.68,0.05,0,2.64,"Y",1,NA,NA,"BJO_TempControl_21psu","5",21.14,21.1,21.1,21.2,0.0547722557505154,19.9674754033708,20.117509765625,15.999072265625,24.62205078125,1.72075764002812,1,8,"1_8",63.1,1.65183246073298,-0.0299999999999998,-0.0112359550561797,0.356020942408377
