"pop","site","site_abbrev","lat","long","pop_order","trt","tank_ID","surv_mean","surv_sd","len_mean","len_sd","weigh_mean","weigh_sd"
"HOR","Hornsudde","HOR",57.695151,16.730625,7,"TempControl-21psu","A1",1,0,3.22999261720192,0.401581315192139,0.140841217938357,0.188664961572818
"HOR","Hornsudde","HOR",57.695151,16.730625,7,"TempWarm-16psu","B1",1,0,1.92209821428571,0.132266848802305,-0.407683909976486,0.0163059726330052
"HOR","Hornsudde","HOR",57.695151,16.730625,7,"TempWarm-16psu","B2",0.5,0.707106781186548,1.43626570915619,NA,0.169540229885058,NA
"HOR","Hornsudde","HOR",57.695151,16.730625,7,"TempControl-21psu","C2",0.5,0.707106781186548,1.12931034482759,NA,0.0252525252525252,NA
"HOR","Hornsudde","HOR",57.695151,16.730625,7,"TempControl-21psu","C3",1,0,2.10225670449945,0.577459185722105,0.125924780243859,0.0681715608908228
"HOR","Hornsudde","HOR",57.695151,16.730625,7,"TempControl-21psu","C4",1,0,2.92863895434866,0.282511383325765,0.178660602817906,0.073081572979776
"HOR","Hornsudde","HOR",57.695151,16.730625,7,"TempControl-7psu","A1",0.5,0.707106781186548,2.47138964577657,NA,0.254545454545454,NA
"HOR","Hornsudde","HOR",57.695151,16.730625,7,"TempWarm-5psu","A4",0,0,NA,NA,NA,NA
"HOR","Hornsudde","HOR",57.695151,16.730625,7,"TempWarm-5psu","B1",0,0,NA,NA,NA,NA
"HOR","Hornsudde","HOR",57.695151,16.730625,7,"TempWarm-5psu","B2",0,0,NA,NA,NA,NA
"HOR","Hornsudde","HOR",57.695151,16.730625,7,"TempWarm-5psu","B3",0,0,NA,NA,NA,NA
"HOR","Hornsudde","HOR",57.695151,16.730625,7,"TempWarm-5psu","B4",0,0,NA,NA,NA,NA
"HOR","Hornsudde","HOR",57.695151,16.730625,7,"TempWarm-16psu","A3",1,0,2.39346590909091,0.742060355029292,0.00217645860910292,0.0320577633971397
"HOR","Hornsudde","HOR",57.695151,16.730625,7,"TempWarm-16psu","A4",0.5,0.707106781186548,2.07659574468085,NA,-0.308823529411765,NA
"HOR","Hornsudde","HOR",57.695151,16.730625,7,"TempWarm-16psu","B4",0,0,NA,NA,NA,NA
"HOR","Hornsudde","HOR",57.695151,16.730625,7,"TempWarm-5psu","A3",0,0,NA,NA,NA,NA
"HOR","Hornsudde","HOR",57.695151,16.730625,7,"TempWarm-16psu","B3",1,0,1.55669530575903,0.600835009708446,-0.324561403508772,0.0124053821260799
"KAL","Kalmarsund","KAL",56.654431,16.351908,6,"TempWarm-5psu","A4",0.5,0.707106781186548,0.798223350253807,NA,-0.579896907216495,NA
"KAL","Kalmarsund","KAL",56.654431,16.351908,6,"TempWarm-16psu","B4",1,0,1.96041709366673,0.611562582478363,-0.220888921113689,0.179801586544462
"KAL","Kalmarsund","KAL",56.654431,16.351908,6,"TempWarm-5psu","A3",0,0,NA,NA,NA,NA
"KAL","Kalmarsund","KAL",56.654431,16.351908,6,"TempWarm-5psu","B4",0,0,NA,NA,NA,NA
"KAL","Kalmarsund","KAL",56.654431,16.351908,6,"TempWarm-16psu","B3",1,0,1.78518159806295,0.0113684964336045,-0.032629637220742,0.279074568119044
"KAL","Kalmarsund","KAL",56.654431,16.351908,6,"TempWarm-16psu","B2",0.5,0.707106781186548,0.7,NA,-0.143540669856459,NA
"KAL","Kalmarsund","KAL",56.654431,16.351908,6,"TempControl-21psu","C1",1,0,1.70170455890779,0.126097455651788,-0.170869174780225,0.156991875632092
"KAL","Kalmarsund","KAL",56.654431,16.351908,6,"TempControl-21psu","C2",1,0,2.64088541666667,1.24811712575063,-0.256709956709957,0.00836692006598803
"KAL","Kalmarsund","KAL",56.654431,16.351908,6,"TempWarm-5psu","B1",0,0,NA,NA,NA,NA
"KAL","Kalmarsund","KAL",56.654431,16.351908,6,"TempWarm-5psu","B2",0,0,NA,NA,NA,NA
"KAL","Kalmarsund","KAL",56.654431,16.351908,6,"TempWarm-5psu","B3",0.5,0.707106781186548,1.95184135977337,NA,0.189349112426035,NA
"KAL","Kalmarsund","KAL",56.654431,16.351908,6,"TempControl-7psu","C1",0.5,0.707106781186548,2.84356435643564,NA,-0.199395770392749,NA
"KAL","Kalmarsund","KAL",56.654431,16.351908,6,"TempControl-7psu","C2",1,0,2.2383788254756,0.185052593521442,0.140728692910856,0.0751952755070422
