"DNA_label","new_label","pop","genet","bagnum","tank_ID","sal_full","temp_full","trt","nbr_leaves_start","sideShoot","nbr_sideShootLeaves_start","length_longest_leaf_start","weight_start","IsBlackLesions_start","nbr_leaves_end","nbr_new_leaves","width_leaf","Growth_leaf1","Growth_leaf2","Growth_leaf3","Growth_leaf4","Growth_leaf5","Growth_leaf6","Growth_leaf7","Length_new_leaf1","Length_new_leaf2","Length_new_leaf3","Length_new_leaf4","Length_new_leaf5","Length_new_leaf6","Nbr_new_shoots","Nbr_leaves_new_shoot1","Length_new_shoot1_leaf1","Length_new_shoot1_leaf2","Length_new_shoot1_leaf3","Length_new_shoot1_leaf4","Length_new_shoot1_leaf5","Length_new_shoot1_leaf6","Nbr_leaves_new_shoot2","Length_new_shoot2_leaf1","Length_new_shoot2_leaf2","Length_new_shoot2_leaf3","Length_new_shoot2_leaf4","Length_new_shoot2_leaf5","below_ground_weight","above_ground_weight","weight_new_shoot1","weight_new_shoot2","total_weight","lesions.","isAlive","Length_flower1","Length_bract1","pop_trt"
"BAR_gen-39","308_C2_BAR_gen-39_TempControl-21psu","BAR","gen-39",308,"C2","21psu","TempControl","TempControl_21psu",4,FALSE,0,37.5,1.95,FALSE,4,2,0.3,26.2,12,NA,NA,NA,NA,NA,15.1,30.3,NA,NA,NA,NA,2,3,7.4,9.5,7,NA,NA,NA,5,10.2,8.8,19.5,16.8,19.9,2.48,0.64,0.08,0.28,3.48,"N",1,NA,NA,"BAR_TempControl_21psu"
"BAR_gen-40","320_C2_BAR_gen-40_TempControl-7psu","BAR","gen-40",320,"C2","7psu","TempControl","TempControl_7psu",5,FALSE,0,43,2.58,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,17.8,16.1,10.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59,0.17,0,0,1.76,"N",1,NA,NA,"BAR_TempControl_7psu"
"BAR_gen-41","325_C3_BAR_gen-41_TempControl-21psu","BAR","gen-41",325,"C3","21psu","TempControl","TempControl_21psu",4,FALSE,0,22,1.63,FALSE,6,2,0.3,9.8,23.7,0.3,NA,NA,NA,NA,4,28.8,4,NA,NA,NA,1,5,7,2.7,17.6,12.1,13.9,NA,NA,NA,NA,NA,NA,NA,1.95,0.53,0.16,0,2.64,"N",1,NA,NA,"BAR_TempControl_21psu"
"BAR_gen-42","329_C3_BAR_gen-42_TempControl-7psu","BAR","gen-42",329,"C3","7psu","TempControl","TempControl_7psu",5,TRUE,2,19.3,1.24,FALSE,5,4,0.2,12,NA,NA,NA,NA,NA,NA,20.9,15.1,2.1,18.7,NA,NA,2,5,9.8,14.6,6.5,14.6,13.7,NA,5,8.2,9.6,3.6,9.4,10.2,1.12,0.3,0.22,0.13,1.77,"N",1,NA,NA,"BAR_TempControl_7psu"
"BAR_gen-43","339_C3_BAR_gen-43_TempControl-21psu","BAR","gen-43",339,"C3","21psu","TempControl","TempControl_21psu",5,FALSE,0,39.5,3.13,TRUE,5,3,0.3,2.2,12.4,NA,NA,NA,NA,NA,27,20.7,6.2,NA,NA,NA,1,4,11.6,5.9,11.9,9.1,NA,NA,NA,NA,NA,NA,NA,NA,2,0.66,0.13,0,2.79,"Y",1,NA,NA,"BAR_TempControl_21psu"
"BAR_gen-44","348_C3_BAR_gen-44_TempControl-7psu","BAR","gen-44",348,"C3","7psu","TempControl","TempControl_7psu",5,FALSE,0,43.4,2.73,FALSE,4,3,0.25,14.4,NA,NA,NA,NA,NA,NA,24.3,8.6,25,NA,NA,NA,1,4,8.5,11.8,9.6,5.7,NA,NA,NA,NA,NA,NA,NA,NA,1.42,0.61,0.12,0,2.15,"Y",1,NA,NA,"BAR_TempControl_7psu"
"BAR_gen-45","358_C4_BAR_gen-45_TempControl-21psu","BAR","gen-45",358,"C4","21psu","TempControl","TempControl_21psu",5,FALSE,0,35.7,3.13,TRUE,5,3,0.3,12.4,3.1,NA,NA,NA,NA,NA,26.6,6.1,33.5,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59,0.99,0,0,2.58,"Y",1,NA,NA,"BAR_TempControl_21psu"
"BAR_gen-46","365_C4_BAR_gen-46_TempControl-7psu","BAR","gen-46",365,"C4","7psu","TempControl","TempControl_7psu",5,FALSE,0,43.1,2.93,FALSE,2,2,0.2,NA,NA,NA,NA,NA,NA,NA,27.5,18.3,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22,0.26,0,0,1.48,"N",1,NA,NA,"BAR_TempControl_7psu"
"BAR_gen-47","376_C4_BAR_gen-47_TempControl-21psu","BAR","gen-47",376,"C4","21psu","TempControl","TempControl_21psu",4,FALSE,0,35.9,1.73,FALSE,4,2,0.25,5.2,24.5,NA,NA,NA,NA,NA,35.9,17.5,NA,NA,NA,NA,1,4,14,7.3,10,0.4,NA,NA,10,NA,NA,NA,NA,NA,1.37,0.66,0.08,0,2.11,"N",1,NA,NA,"BAR_TempControl_21psu"
"BAR_gen-48","379_C4_BAR_gen-48_TempControl-7psu","BAR","gen-48",379,"C4","7psu","TempControl","TempControl_7psu",4,FALSE,0,32.7,1.91,FALSE,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,NA,0,NA,NA,"BAR_TempControl_7psu"
"BJO_gen-01","008_A1_BJO_gen-01_TempControl-21psu","BJO","gen-01",8,"A1","21psu","TempControl","TempControl_21psu",5,TRUE,2,26.7,2.69,TRUE,3,2,0.4,3.4,13.2,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,1,3,9,8.1,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53,0.63,0.23,0,3.39,"Y",1,NA,NA,"BJO_TempControl_21psu"
"BJO_gen-02","011_A1_BJO_gen-02_TempControl-7psu","BJO","gen-02",11,"A1","7psu","TempControl","TempControl_7psu",6,TRUE,2,43.5,2.99,FALSE,5,2,0.4,16.5,34.7,4.8,NA,NA,NA,NA,36.8,21,NA,NA,NA,NA,1,3,16.6,9.3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.34,1.67,0.18,0,4.19,"N",1,NA,NA,"BJO_TempControl_7psu"
"BJO_gen-03","020_A1_BJO_gen-03_TempControl-21psu","BJO","gen-03",20,"A1","21psu","TempControl","TempControl_21psu",6,TRUE,2,41,3.48,FALSE,5,3,0.3,1.5,10.1,NA,NA,NA,NA,NA,40.5,12.9,36.8,NA,NA,NA,1,3,13.9,14.7,7.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,1.4,0.14,0,4.24,"N",1,NA,NA,"BJO_TempControl_21psu"
