bagnum_num,tank_ID,DNA_label,new_label,need DNA ?,sal_full,temp_full,nbr_leaves,length_longest_leaf,nbr_leaves_end,nbr_new_leaves,width_leaf,Growth_leaf1,Growth_leaf2,Growth_leaf3,Growth_leaf4,Growth_leaf5,Growth_leaf6,Growth_leaf7,Length_new_leaf1,Length_new_leaf2,Length_new_leaf3,Length_new_leaf4,Length_new_leaf5,Length_new_leaf6,Nbr_new_shoots,Nbr_leaves_new_shoot1,Length_new_shoot1_leaf1,Length_new_shoot1_leaf2,Length_new_shoot1_leaf3,Length_new_shoot1_leaf4,Length_new_shoot1_leaf5,Length_new_shoot1_leaf6,Nbr_leaves_new_shoot2,Length_new_shoot2_leaf1,Length_new_shoot2_leaf2,Length_new_shoot2_leaf3,Length_new_shoot2_leaf4,Length_new_shoot2_leaf5,Length_flower1,Length_bract1,Length_flower2,Length_bract2,Length_flower3,Length_bract3,below_ground_weight,above_ground_weight,weight_new_shoot1,weight_new_shoot2,total_weight,lesions?,picture?,isAlive,Comment
26,A1,HOG_gen-04,026_A1_HOG_gen-04_TempControl-7psu,,7psu,TempControl,5,33.4,5,3,0.45,3.7,13.7,NA,NA,NA,NA,NA,25.0,8.2,22.4,NA,NA,NA,1,5,15.6,6.5,14.5,8.0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.85,1.14,0.34,0.00,5.33,N,Y,TRUE,"new shoot 1 has a hole on leaf4, growth to hole is 7.8"
30,A1,KAL_gen-04,030_A1_KAL_gen-04_TempControl-7psu,,7psu,TempControl,5,67.9,2,0,0.35,1.0,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.90,0.80,0.00,0.00,1.70,N,Y,FALSE,(close to) DEAD
33,A2,VIK_gen-05,033_A2_VIK_gen-05_TempControl-21psu,,21psu,TempControl,4,44.2,4,3,0.40,8.4,NA,NA,NA,NA,NA,NA,21.5,8.0,20.0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.05,0.86,0.00,0.00,3.91,N,Y,TRUE,
34,A2,VAT_gen-05,034_A2_VAT_gen-05_TempControl-21psu,,21psu,TempControl,4,50.5,5,3,0.50,13.5,6.4,NA,NA,NA,NA,NA,25.6,1.3,17.2,NA,NA,NA,1,4,9.2,8.2,1.2,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.40,1.90,0.26,0.00,5.56,N,Y,TRUE,
35,A2,HOR_gen-05,035_A2_HOR_gen-05_TempControl-21psu,,21psu,TempControl,5,44.5,4,2,0.30,0.0,8.3,NA,NA,NA,NA,NA,17.7,36.8,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32,1.24,0.00,0.00,2.56,Y,Y,TRUE,
36,A2,BJO_gen-05,036_A2_BJO_gen-05_TempControl-21psu,absolutely yes,21psu,TempControl,6,38.2,3,1,0.30,22.0,7.6,NA,NA,NA,NA,NA,19.6,NA,NA,NA,NA,NA,1,2,3.6,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91,0.68,0.05,0.00,2.64,Y,Y,TRUE,"new shoot 1 has a hole on leaf2, growth to hole is 9.6 ; super baby leaf, too small to measure"
37,A2,KAL_gen-05,037_A2_KAL_gen-05_TempControl-21psu,,21psu,TempControl,6,69.1,6,3,0.40,5.0,55.3,26.0,NA,NA,NA,NA,9.6,38.3,54.9,8.6,NA,NA,1,4,12.6,15.7,4.8,14.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.02,2.46,0.20,0.00,4.68,N,Y,TRUE,
38,A2,BAR_gen-05,038_A2_BAR_gen-05_TempControl-21psu,,21psu,TempControl,4,39.5,3,2,0.30,14.7,NA,NA,NA,NA,NA,NA,8.6,34.6,NA,NA,NA,NA,1,1,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.89,0.42,0.01,0.00,1.32,N,Y,TRUE,
39,A2,HOG_gen-05,039_A2_HOG_gen-05_TempControl-21psu,,21psu,TempControl,9,21.5,3,2,0.30,18.4,NA,NA,NA,NA,NA,NA,7.8,18.7,NA,NA,NA,NA,2,2,2.5,6.4,NA,NA,NA,NA,3,14.6,7.45,11.8,NA,NA,NA,NA,NA,NA,NA,NA,2.71,0.31,0.01,0.37,3.40,N,Y,TRUE,
40,A2,KUR_gen-05,040_A2_KUR_gen-05_TempControl-21psu,yes,21psu,TempControl,5,19.9,4,3,0.20,6.0,NA,NA,NA,NA,NA,NA,14.4,16.7,1.2,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.98,0.17,0.00,0.00,1.15,N,Y,TRUE,
