"sample","MLG"
"VIK-Zm38",357
"VIK-Zm05",358
"VIK-Zm22",358
"VIK-Zm46",358
"VIK-Zm07",365
"VIK-Zm15",366
"VIK-Zm31",368
"VIK-Zm39",369
"BJO-Zm01",373
"BJO-Zm09",373
"BJO-Zm18",373
"BJO-Zm26",373
"BJO-Zm34",373
"BJO-Zm42",373
"BJO-Zm02",373
"BJO-Zm10",373
"BJO-Zm19",373
"BJO-Zm27",373
"BJO-Zm35",373
"BJO-Zm03",373
"BJO-Zm11",373
"BJO-Zm20",373
"BJO-Zm28",373
"BJO-Zm36",373
"BJO-Zm44",373
"BJO-Zm04",373
"BJO-Zm12",373
"BJO-Zm21",373
"BJO-Zm29",373
"BJO-Zm37",373
"BJO-Zm45",373
"BJO-Zm05",373
"BJO-Zm13",373
"BJO-Zm22",373
"BJO-Zm30",373
"BJO-Zm38",373
"BJO-Zm46",373
"BJO-Zm06",373
"BJO-Zm15",373
"BJO-Zm23",373
"BJO-Zm31",373
"BJO-Zm39",373
"BJO-Zm47",373
"BJO-Zm07",373
"BJO-Zm16",373
"BJO-Zm24",373
"BJO-Zm32",373
"BJO-Zm40",373
"BJO-Zm48",373
"BJO-Zm08",373
"BJO-Zm17",373
"BJO-Zm25",373
"BJO-Zm33",373
"BJO-Zm41",373
"VIK-Zm08",377
"VIK-Zm16",378
"VIK-Zm32",380
"VIK-Zm40",381
