"pop","trt","cc","lea_offset","rda_offset","gf_offset","env_dist","pop_trt","tank_ID","length_growth","length_std_change","weight_change","weight_std_change","above_below_weight_ratio"
"HOR","TempWarm-16psu","mll",0.043431764767535,2.17618333976248,0.0840643264739334,6.2752,"HOR_TempWarm_16psu","B3",53.7,1.98154981549816,-0.72,-0.31578947368421,0.405405405405405
"HOR","TempWarm-16psu","mll",0.043431764767535,2.17618333976248,0.0840643264739334,6.2752,"HOR_TempWarm_16psu","B3",45.5,1.1318407960199,-0.86,-0.333333333333333,0
"HOR","TempWarm-16psu","mll",0.043431764767535,2.17618333976248,0.0840643264739334,6.2752,"HOR_TempWarm_16psu","A3",59.8,1.86875,0.0399999999999998,0.0248447204968943,0.527777777777778
"HOR","TempWarm-16psu","mll",0.043431764767535,2.17618333976248,0.0840643264739334,6.2752,"HOR_TempWarm_16psu","A3",128.4,2.91818181818182,-0.0499999999999998,-0.0204918032786885,0.545454545454546
"HOR","TempWarm-16psu","mll",0.043431764767535,2.17618333976248,0.0840643264739334,6.2752,"HOR_TempWarm_16psu","A4",48.8,2.07659574468085,-0.42,-0.308823529411765,0.160493827160494
"HOR","TempWarm-16psu","mll",0.043431764767535,2.17618333976248,0.0840643264739334,6.2752,"HOR_TempWarm_16psu","B1",64.5,2.015625,-1.03,-0.396153846153846,0.138461538461538
"HOR","TempWarm-16psu","mll",0.043431764767535,2.17618333976248,0.0840643264739334,6.2752,"HOR_TempWarm_16psu","B1",64,1.82857142857143,-0.96,-0.419213973799127,0.511363636363636
"HOR","TempWarm-16psu","mll",0.043431764767535,2.17618333976248,0.0840643264739334,6.2752,"HOR_TempWarm_16psu","B2",80,1.43626570915619,0.59,0.169540229885058,0.641129032258065
"HOR","TempWarm-16psu","full",0.0365895365187742,2.9616460767793,0.129374025983507,6.2752,"HOR_TempWarm_16psu","B3",53.7,1.98154981549816,-0.72,-0.31578947368421,0.405405405405405
"HOR","TempWarm-16psu","full",0.0365895365187742,2.9616460767793,0.129374025983507,6.2752,"HOR_TempWarm_16psu","B3",45.5,1.1318407960199,-0.86,-0.333333333333333,0
"HOR","TempWarm-16psu","full",0.0365895365187742,2.9616460767793,0.129374025983507,6.2752,"HOR_TempWarm_16psu","A3",59.8,1.86875,0.0399999999999998,0.0248447204968943,0.527777777777778
"HOR","TempWarm-16psu","full",0.0365895365187742,2.9616460767793,0.129374025983507,6.2752,"HOR_TempWarm_16psu","A3",128.4,2.91818181818182,-0.0499999999999998,-0.0204918032786885,0.545454545454546
"HOR","TempWarm-16psu","full",0.0365895365187742,2.9616460767793,0.129374025983507,6.2752,"HOR_TempWarm_16psu","A4",48.8,2.07659574468085,-0.42,-0.308823529411765,0.160493827160494
"HOR","TempWarm-16psu","full",0.0365895365187742,2.9616460767793,0.129374025983507,6.2752,"HOR_TempWarm_16psu","B1",64.5,2.015625,-1.03,-0.396153846153846,0.138461538461538
"HOR","TempWarm-16psu","full",0.0365895365187742,2.9616460767793,0.129374025983507,6.2752,"HOR_TempWarm_16psu","B1",64,1.82857142857143,-0.96,-0.419213973799127,0.511363636363636
"HOR","TempWarm-16psu","full",0.0365895365187742,2.9616460767793,0.129374025983507,6.2752,"HOR_TempWarm_16psu","B2",80,1.43626570915619,0.59,0.169540229885058,0.641129032258065
"KAL","TempControl-21psu","full",0.00994482695244589,3.43303523955674,0.0775834372250432,3.9871,"KAL_TempControl_21psu","A1",169.3,2.98589065255732,1.25,0.358166189111748,0.52411575562701
"KAL","TempControl-21psu","full",0.00994482695244589,3.43303523955674,0.0775834372250432,3.9871,"KAL_TempControl_21psu","A1",99.8,1.92664092664093,-0.0800000000000001,-0.028673835125448,0.921985815602837
"KAL","TempControl-21psu","full",0.00994482695244589,3.43303523955674,0.0775834372250432,3.9871,"KAL_TempControl_21psu","A2",244.8,3.54269175108538,0.0199999999999996,0.00429184549356214,1.21782178217822
"KAL","TempControl-21psu","full",0.00994482695244589,3.43303523955674,0.0775834372250432,3.9871,"KAL_TempControl_21psu","C1",100.3,1.61254019292605,-0.17,-0.0598591549295774,0.992537313432836
"KAL","TempControl-21psu","full",0.00994482695244589,3.43303523955674,0.0775834372250432,3.9871,"KAL_TempControl_21psu","A2",130.3,2.09485530546624,-0.58,-0.179566563467492,0.79054054054054
