"trt","pop","cc","pop_trt","tank_ID","length_growth","length_std_change","weight_change","weight_std_change","above_below_weight_ratio","method","offset","trt_ord","pop_ord","metric","cf_abs","cf_rel","cg_rel","cg_abs"
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","C2",182.7,4.872,1.53,0.784615384615385,0.258064516129032,"lea",0.00871630023878949,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","C2",182.7,4.872,1.53,0.784615384615385,0.258064516129032,"lea",0.00871630023878949,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","C2",182.7,4.872,1.53,0.784615384615385,0.258064516129032,"rda",1.85015490733416,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","C2",182.7,4.872,1.53,0.784615384615385,0.258064516129032,"rda",1.85015490733416,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","C2",182.7,4.872,1.53,0.784615384615385,0.258064516129032,"gf",0.0490786082468778,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","C2",182.7,4.872,1.53,0.784615384615385,0.258064516129032,"gf",0.0490786082468778,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","C2",182.7,4.872,1.53,0.784615384615385,0.258064516129032,"env",3.2931,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","C2",182.7,4.872,1.53,0.784615384615385,0.258064516129032,"env",3.2931,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A2",75.4,2.09444444444444,0.0499999999999998,0.0312499999999999,0.611111111111111,"lea",0.00871630023878949,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A2",75.4,2.09444444444444,0.0499999999999998,0.0312499999999999,0.611111111111111,"lea",0.00871630023878949,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A2",75.4,2.09444444444444,0.0499999999999998,0.0312499999999999,0.611111111111111,"rda",1.85015490733416,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A2",75.4,2.09444444444444,0.0499999999999998,0.0312499999999999,0.611111111111111,"rda",1.85015490733416,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A2",75.4,2.09444444444444,0.0499999999999998,0.0312499999999999,0.611111111111111,"gf",0.0490786082468778,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A2",75.4,2.09444444444444,0.0499999999999998,0.0312499999999999,0.611111111111111,"gf",0.0490786082468778,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A2",75.4,2.09444444444444,0.0499999999999998,0.0312499999999999,0.611111111111111,"env",3.2931,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","A2",75.4,2.09444444444444,0.0499999999999998,0.0312499999999999,0.611111111111111,"env",3.2931,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","C3",123.9,5.63181818181818,1.01,0.619631901840491,0.271794871794872,"lea",0.00871630023878949,1,4,"len",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","C3",123.9,5.63181818181818,1.01,0.619631901840491,0.271794871794872,"lea",0.00871630023878949,1,4,"weigh",0,0,0,0
"TempControl-21psu","BAR","mll","BAR_TempControl_21psu","C3",123.9,5.63181818181818,1.01,0.619631901840491,0.271794871794872,"rda",1.85015490733416,1,4,"len",0,0,0,0
