"go_method","fit_metric","fit_method","fit_type","cc","pearson","pearson_pval","spearman","spearman_pval","kendall","kendall_pval","r2","signif","pval_adj","signif_adj"
"gf","len","cf","abs","mll",-0.591029612978868,4.89695698056065e-20,-0.668713553279989,5.02021432408634e-27,-0.514512319618593,1.57114027368223e-23,0.349316003417951,TRUE,9.11261358735695e-22,TRUE
"env","len","cf","abs","mll",-0.512737261382373,1.14033476532086e-14,-0.638081447863412,4.96575467493242e-24,-0.486853401723573,3.09218673629074e-21,0.262899499209895,TRUE,1.57701523550828e-19,TRUE
"lea","len","cf","abs","full",-0.577704619566748,5.0838918423933e-19,-0.643244197760337,1.64057682406463e-24,-0.497352501169437,4.30610519810731e-22,0.33374262746876,TRUE,2.28223575499687e-20,TRUE
"rda","len","cf","abs","full",-0.199976602604121,0.00473259605770698,-0.250505535007795,0.00037151624046747,-0.13383529454917,0.00931093253255471,0.0399906415890865,TRUE,0.344504503704524,FALSE
"gf","len","cf","abs","full",-0.586172478075112,1.16352685030551e-19,-0.67128386970664,2.71080660616846e-27,-0.526027460946316,1.6014648142679e-24,0.343598174052718,TRUE,1.00892283298878e-22,TRUE
"env","len","cf","abs","full",-0.512737261382373,1.14033476532086e-14,-0.638081447863412,4.96575467493242e-24,-0.486853401723573,3.09218673629074e-21,0.262899499209895,TRUE,1.57701523550828e-19,TRUE
"lea","len","cg","abs","mll",0.317147447373714,5.30167523626126e-06,0.0608046909153345,0.394786957105603,0.0144601661865935,0.771479276803417,0.100582503375663,FALSE,1,FALSE
"rda","len","cg","abs","mll",0.148394591112396,0.0369386025063582,0.0634687560540124,0.374365426674208,0.0575193277200054,0.247964444266789,0.0220209546714151,FALSE,1,FALSE
"gf","len","cg","abs","mll",0.384812862110928,2.17383069757867e-08,0.178490039627253,0.0118724906767451,0.11278929625543,0.0234859515270862,0.148080938846004,TRUE,0.818645103665706,FALSE
"env","len","cg","abs","mll",0.342536310691999,7.82632060107707e-07,0.155974892253947,0.028212944915778,0.0905099290938632,0.0690729548776718,0.117331124142485,FALSE,1,FALSE
"lea","len","cg","abs","full",0.334426357729895,1.46923533061888e-06,0.0972585246512174,0.172845474793615,0.0402742406382161,0.418555106516007,0.111840988744483,FALSE,1,FALSE
"rda","len","cg","abs","full",0.182623666355962,0.0100192121536216,0.0596067139797917,0.40418389574508,0.0323479273211203,0.515869150294461,0.0333514035132937,FALSE,1,FALSE
"gf","len","cg","abs","full",0.384152681471166,2.30823975707899e-08,0.171508298237058,0.0156927248940469,0.10914747662325,0.0283587325568455,0.147573282681487,TRUE,0.907479441819057,FALSE
"env","len","cg","abs","full",0.342536310691999,7.82632060107707e-07,0.155974892253947,0.028212944915778,0.0905099290938632,0.0690729548776718,0.117331124142485,FALSE,1,FALSE
"lea","len","cf","rel","mll",-0.258682214638172,0.000233447025101272,-0.55660067937085,1.6758539288143e-17,-0.419455956893666,3.63820225803297e-16,0.0669164881701094,TRUE,1.74633708385583e-14,TRUE
"rda","len","cf","rel","mll",-0.235231046095909,0.000850016309285169,-0.169814660930307,0.0167672362545758,-0.116675476100014,0.0233898601047345,0.0553336450473755,TRUE,0.818645103665706,FALSE
