"","pop","coast","trt","cc","method","offset","pop_ord","metric","abs_current","abs_future","CF_abs_offset","CF_relative","CF_rel_offset"
"36","BAR","West","TempWarm-5psu","full","env_dist",6.0353,4,"weigh",0.0507254689044485,-0.197644563191974,-0.248370032096422,-3.89635753913437,-4.89635753913437
"37","BAR","West","TempWarm-5psu","mll","lea_offset",0.045128261543404,4,"surv",1,0.583333333333333,-0.416666666666667,0.583333333333333,-0.416666666666667
"38","BAR","West","TempWarm-5psu","mll","lea_offset",0.045128261543404,4,"len",2.83654651031856,1.31252354874207,-1.52402296157649,0.462718853354767,-0.537281146645233
"39","BAR","West","TempWarm-5psu","mll","lea_offset",0.045128261543404,4,"weigh",0.0507254689044485,-0.197644563191974,-0.248370032096422,-3.89635753913437,-4.89635753913437
"40","BAR","West","TempWarm-5psu","mll","rda_offset",1.80987170781091,4,"surv",1,0.583333333333333,-0.416666666666667,0.583333333333333,-0.416666666666667
"41","BAR","West","TempWarm-5psu","mll","rda_offset",1.80987170781091,4,"len",2.83654651031856,1.31252354874207,-1.52402296157649,0.462718853354767,-0.537281146645233
"42","BAR","West","TempWarm-5psu","mll","rda_offset",1.80987170781091,4,"weigh",0.0507254689044485,-0.197644563191974,-0.248370032096422,-3.89635753913437,-4.89635753913437
"43","BAR","West","TempWarm-5psu","mll","gf_offset",0.0828482138992323,4,"surv",1,0.583333333333333,-0.416666666666667,0.583333333333333,-0.416666666666667
"44","BAR","West","TempWarm-5psu","mll","gf_offset",0.0828482138992323,4,"len",2.83654651031856,1.31252354874207,-1.52402296157649,0.462718853354767,-0.537281146645233
"45","BAR","West","TempWarm-5psu","mll","gf_offset",0.0828482138992323,4,"weigh",0.0507254689044485,-0.197644563191974,-0.248370032096422,-3.89635753913437,-4.89635753913437
"46","BAR","West","TempWarm-5psu","mll","env_dist",6.0353,4,"surv",1,0.583333333333333,-0.416666666666667,0.583333333333333,-0.416666666666667
"47","BAR","West","TempWarm-5psu","mll","env_dist",6.0353,4,"len",2.83654651031856,1.31252354874207,-1.52402296157649,0.462718853354767,-0.537281146645233
"48","BAR","West","TempWarm-5psu","mll","env_dist",6.0353,4,"weigh",0.0507254689044485,-0.197644563191974,-0.248370032096422,-3.89635753913437,-4.89635753913437
"49","BJO","East","TempWarm-16psu","full","lea_offset",0.0489373784267413,8,"surv",0.5,0,-0.5,0,-1
"50","BJO","East","TempWarm-16psu","full","lea_offset",0.0489373784267413,8,"len",2.93646925240915,NA,NA,NA,NA
"51","BJO","East","TempWarm-16psu","full","lea_offset",0.0489373784267413,8,"weigh",-0.0326299566146134,NA,NA,NA,NA
"52","BJO","East","TempWarm-16psu","full","rda_offset",2.98306108699892,8,"surv",0.5,0,-0.5,0,-1
"53","BJO","East","TempWarm-16psu","full","rda_offset",2.98306108699892,8,"len",2.93646925240915,NA,NA,NA,NA
"54","BJO","East","TempWarm-16psu","full","rda_offset",2.98306108699892,8,"weigh",-0.0326299566146134,NA,NA,NA,NA
"55","BJO","East","TempWarm-16psu","full","gf_offset",0.142411432083045,8,"surv",0.5,0,-0.5,0,-1
"56","BJO","East","TempWarm-16psu","full","gf_offset",0.142411432083045,8,"len",2.93646925240915,NA,NA,NA,NA
