"trt","pop","cc","trt_pop","surv","order","coast","trt_name","method","offset","trt_ord","pop_ord","metric","cf_abs","cg_rel","cg_abs","cf_rel"
"TempControl-21psu","VIK","full","TempControl_21psu-VIK",1,1,"West","Current W Coast","env",2.4044,1,2,"surv",0.25,0.499999999999999,0.333333333333333,0.333333333333333
"TempControl-21psu","VIK","mll","TempControl_21psu-VIK",1,1,"West","Current W Coast","lea",0.00624979451824577,1,2,"surv",0.25,0.499999999999999,0.333333333333333,0.333333333333333
"TempControl-21psu","VIK","mll","TempControl_21psu-VIK",1,1,"West","Current W Coast","rda",0.803166844691957,1,2,"surv",0.25,0.499999999999999,0.333333333333333,0.333333333333333
"TempControl-21psu","VIK","mll","TempControl_21psu-VIK",1,1,"West","Current W Coast","gf",0.0388485636807072,1,2,"surv",0.25,0.499999999999999,0.333333333333333,0.333333333333333
"TempControl-21psu","VIK","mll","TempControl_21psu-VIK",1,1,"West","Current W Coast","env",2.4044,1,2,"surv",0.25,0.499999999999999,0.333333333333333,0.333333333333333
"TempControl-7psu","BAR","full","TempControl_7psu-BAR",0.5,4,"West","Current E Coast","lea",0.00662757668091765,2,4,"surv",-0.5,-0.5,-0.5,-0.5
"TempControl-7psu","BAR","full","TempControl_7psu-BAR",0.5,4,"West","Current E Coast","rda",1.01142729667696,2,4,"surv",-0.5,-0.5,-0.5,-0.5
"TempControl-7psu","BAR","full","TempControl_7psu-BAR",0.5,4,"West","Current E Coast","gf",0.0510150602602953,2,4,"surv",-0.5,-0.5,-0.5,-0.5
"TempControl-7psu","BAR","full","TempControl_7psu-BAR",0.5,4,"West","Current E Coast","env",2.7722,2,4,"surv",-0.5,-0.5,-0.5,-0.5
"TempControl-7psu","BAR","mll","TempControl_7psu-BAR",0.5,4,"West","Current E Coast","lea",0.00734592353575743,2,4,"surv",-0.5,-0.5,-0.5,-0.5
"TempControl-7psu","BAR","mll","TempControl_7psu-BAR",0.5,4,"West","Current E Coast","rda",1.18858416069832,2,4,"surv",-0.5,-0.5,-0.5,-0.5
"TempControl-7psu","BAR","mll","TempControl_7psu-BAR",0.5,4,"West","Current E Coast","gf",0.03646091000673,2,4,"surv",-0.5,-0.5,-0.5,-0.5
"TempControl-7psu","BAR","mll","TempControl_7psu-BAR",0.5,4,"West","Current E Coast","env",2.7722,2,4,"surv",-0.5,-0.5,-0.5,-0.5
"TempControl-7psu","BJO","full","TempControl_7psu-BJO",0.5,8,"East","Current E Coast","lea",0.00860988699958254,2,8,"surv",-0.5,0.500000000000002,0.166666666666667,-0.5
"TempControl-7psu","BJO","full","TempControl_7psu-BJO",0.5,8,"East","Current E Coast","rda",0.524898138495719,2,8,"surv",-0.5,0.500000000000002,0.166666666666667,-0.5
"TempControl-7psu","BJO","full","TempControl_7psu-BJO",0.5,8,"East","Current E Coast","gf",0.0558247223670392,2,8,"surv",-0.5,0.500000000000002,0.166666666666667,-0.5
"TempControl-7psu","BJO","full","TempControl_7psu-BJO",0.5,8,"East","Current E Coast","env",2.7082,2,8,"surv",-0.5,0.500000000000002,0.166666666666667,-0.5
"TempControl-7psu","BJO","mll","TempControl_7psu-BJO",0.5,8,"East","Current E Coast","lea",0.0106037999923931,2,8,"surv",-0.5,0.500000000000002,0.166666666666667,-0.5
"TempControl-7psu","BJO","mll","TempControl_7psu-BJO",0.5,8,"East","Current E Coast","rda",0.345922510862077,2,8,"surv",-0.5,0.500000000000002,0.166666666666667,-0.5
"TempControl-7psu","BJO","mll","TempControl_7psu-BJO",0.5,8,"East","Current E Coast","gf",0.0376171887951399,2,8,"surv",-0.5,0.500000000000002,0.166666666666667,-0.5
"TempControl-7psu","BJO","mll","TempControl_7psu-BJO",0.5,8,"East","Current E Coast","env",2.7082,2,8,"surv",-0.5,0.500000000000002,0.166666666666667,-0.5
"TempControl-7psu","HOG","full","TempControl_7psu-HOG",0.5,3,"West","Current E Coast","lea",0.00766430037064356,2,3,"surv",-0.409090909090909,-0.5,-0.5,-0.45
"TempControl-7psu","HOG","full","TempControl_7psu-HOG",0.5,3,"West","Current E Coast","rda",1.27226445721745,2,3,"surv",-0.409090909090909,-0.5,-0.5,-0.45
"TempControl-7psu","HOG","full","TempControl_7psu-HOG",0.5,3,"West","Current E Coast","gf",0.0510938890253881,2,3,"surv",-0.409090909090909,-0.5,-0.5,-0.45
"TempControl-7psu","HOG","full","TempControl_7psu-HOG",0.5,3,"West","Current E Coast","env",2.8197,2,3,"surv",-0.409090909090909,-0.5,-0.5,-0.45
"TempControl-7psu","HOG","mll","TempControl_7psu-HOG",0.5,3,"West","Current E Coast","lea",0.00853679856324015,2,3,"surv",-0.409090909090909,-0.5,-0.5,-0.45
"TempControl-7psu","HOG","mll","TempControl_7psu-HOG",0.5,3,"West","Current E Coast","rda",1.40036534312938,2,3,"surv",-0.409090909090909,-0.5,-0.5,-0.45
"TempControl-7psu","HOG","mll","TempControl_7psu-HOG",0.5,3,"West","Current E Coast","gf",0.0370764159429167,2,3,"surv",-0.409090909090909,-0.5,-0.5,-0.45
"TempControl-7psu","HOG","mll","TempControl_7psu-HOG",0.5,3,"West","Current E Coast","env",2.8197,2,3,"surv",-0.409090909090909,-0.5,-0.5,-0.45
"TempControl-7psu","HOR","full","TempControl_7psu-HOR",0.5,7,"East","Current E Coast","lea",0.00399932483018119,2,7,"surv",-0.416666666666667,0.500000000000002,0.166666666666667,-0.454545454545455
