"","Pop","MLL_no","Indv_no","Pop_no","region","site_full","long","lat","temp_scaled","max_temp_scaled","sal_scaled","min_sal_scaled"
"137","KRA",642,"KRA-04","04","Tystberga","Krampö",174658689,58690647,-2.95368516284794,0.337331308442991,-1.18760645423953,-0.805513733154633
"138","KUR",288,"KUR-01","01","Trelleborg","Kurland",12982861,55395972,0.430745752915324,-0.600992561019124,-1.03081389454179,-0.220125374525741
"139","KUR",291,"KUR-07","07","Trelleborg","Kurland",12982861,55395972,0.430745752915324,-0.600992561019124,-1.03081389454179,-0.220125374525741
"140","KUR",294,"KUR-09","09","Trelleborg","Kurland",12982861,55395972,0.430745752915324,-0.600992561019124,-1.03081389454179,-0.220125374525741
"141","KUR",296,"KUR-10","10","Trelleborg","Kurland",12982861,55395972,0.430745752915324,-0.600992561019124,-1.03081389454179,-0.220125374525741
"142","KUR",297,"KUR-11","11","Trelleborg","Kurland",12982861,55395972,0.430745752915324,-0.600992561019124,-1.03081389454179,-0.220125374525741
"143","KUR",299,"KUR-13","13","Trelleborg","Kurland",12982861,55395972,0.430745752915324,-0.600992561019124,-1.03081389454179,-0.220125374525741
"144","KUR",302,"KUR-14","14","Trelleborg","Kurland",12982861,55395972,0.430745752915324,-0.600992561019124,-1.03081389454179,-0.220125374525741
"145","KUR",306,"KUR-18","18","Trelleborg","Kurland",12982861,55395972,0.430745752915324,-0.600992561019124,-1.03081389454179,-0.220125374525741
"146","LJU",540,"LJU-01","01","Gotland","Ljugarn",18695397,57319176,-0.92302661338998,1.2756551779051,-1.18760645423953,-0.512819553840187
"147","LJU",546,"LJU-08","08","Gotland","Ljugarn",18695397,57319176,-0.92302661338998,1.2756551779051,-1.18760645423953,-0.512819553840187
"148","LJU",551,"LJU-17","17","Gotland","Ljugarn",18695397,57319176,-0.92302661338998,1.2756551779051,-1.18760645423953,-0.512819553840187
"149","LJU",555,"LJU-20","20","Gotland","Ljugarn",18695397,57319176,-0.92302661338998,1.2756551779051,-1.18760645423953,-0.512819553840187
"150","LOM",265,"LOM-01","01","Lomma","South Lomma Bay",1305485,5567242,0.430745752915324,-0.600992561019124,-0.874021334844044,-0.220125374525741
"151","LOM",267,"LOM-02","02","Lomma","South Lomma Bay",1305485,5567242,0.430745752915324,-0.600992561019124,-0.874021334844044,-0.220125374525741
"152","LOM",268,"LOM-04","04","Lomma","South Lomma Bay",1305485,5567242,0.430745752915324,-0.600992561019124,-0.874021334844044,-0.220125374525741
"153","LOM",270,"LOM-05","05","Lomma","South Lomma Bay",1305485,5567242,0.430745752915324,-0.600992561019124,-0.874021334844044,-0.220125374525741
