"","pop","mll_no","indv_no","pop_no","site_full","median_temp","max_temp","median_sal","min_sal"
"42","KAV",71,"KAV-02","02","Kämpersvik",0.766558237068985,-0.802402357005485,1.71730601447783,3.1410581611223
"43","KAV",72,"KAV-03","03","Kämpersvik",0.766558237068985,-0.802402357005485,1.71730601447783,3.1410581611223
"44","KAV",75,"KAV-04","04","Kämpersvik",0.766558237068985,-0.802402357005485,1.71730601447783,3.1410581611223
"45","KAV",76,"KAV-05","05","Kämpersvik",0.766558237068985,-0.802402357005485,1.71730601447783,3.1410581611223
"46","KAV",77,"KAV-06","06","Kämpersvik",0.766558237068985,-0.802402357005485,1.71730601447783,3.1410581611223
"47","KAV",78,"KAV-07","07","Kämpersvik",0.766558237068985,-0.802402357005485,1.71730601447783,3.1410581611223
"48","KAV",79,"KAV-08","08","Kämpersvik",0.766558237068985,-0.802402357005485,1.71730601447783,3.1410581611223
"49","KAV",79,"KAV-10","10","Kämpersvik",0.766558237068985,-0.802402357005485,1.71730601447783,3.1410581611223
"50","KAV",84,"KAV-11","11","Kämpersvik",0.766558237068985,-0.802402357005485,1.71730601447783,3.1410581611223
"51","KAV",84,"KAV-12","12","Kämpersvik",0.766558237068985,-0.802402357005485,1.71730601447783,3.1410581611223
"52","KAV",84,"KAV-13","13","Kämpersvik",0.766558237068985,-0.802402357005485,1.71730601447783,3.1410581611223
"53","KAV",85,"KAV-14","14","Kämpersvik",0.766558237068985,-0.802402357005485,1.71730601447783,3.1410581611223
"54","KAV",86,"KAV-15","15","Kämpersvik",0.766558237068985,-0.802402357005485,1.71730601447783,3.1410581611223
"55","KAV",87,"KAV-16","16","Kämpersvik",0.766558237068985,-0.802402357005485,1.71730601447783,3.1410581611223
"56","KAV",90,"KAV-17","17","Kämpersvik",0.766558237068985,-0.802402357005485,1.71730601447783,3.1410581611223
"57","KAV",90,"KAV-18","18","Kämpersvik",0.766558237068985,-0.802402357005485,1.71730601447783,3.1410581611223
"58","KAV",90,"KAV-19","19","Kämpersvik",0.766558237068985,-0.802402357005485,1.71730601447783,3.1410581611223
"59","KAV",90,"KAV-20","20","Kämpersvik",0.766558237068985,-0.802402357005485,1.71730601447783,3.1410581611223
"60","VHA",92,"VHA-01","01","Väst Hjältön",-0.197821480533931,1.28384377120877,2.38705536012419,2.37781038365333
"61","VHA",93,"VHA-02","02","Väst Hjältön",-0.197821480533931,1.28384377120877,2.38705536012419,2.37781038365333
"62","VHA",94,"VHA-03","03","Väst Hjältön",-0.197821480533931,1.28384377120877,2.38705536012419,2.37781038365333
"63","VHA",96,"VHA-04","04","Väst Hjältön",-0.197821480533931,1.28384377120877,2.38705536012419,2.37781038365333
"64","VHA",96,"VHA-05","05","Väst Hjältön",-0.197821480533931,1.28384377120877,2.38705536012419,2.37781038365333
"65","VHA",97,"VHA-06","06","Väst Hjältön",-0.197821480533931,1.28384377120877,2.38705536012419,2.37781038365333
"66","VHA",98,"VHA-07","07","Väst Hjältön",-0.197821480533931,1.28384377120877,2.38705536012419,2.37781038365333
"67","VHA",99,"VHA-08","08","Väst Hjältön",-0.197821480533931,1.28384377120877,2.38705536012419,2.37781038365333
"68","VHA",100,"VHA-09","09","Väst Hjältön",-0.197821480533931,1.28384377120877,2.38705536012419,2.37781038365333
"69","VHA",101,"VHA-10","10","Väst Hjältön",-0.197821480533931,1.28384377120877,2.38705536012419,2.37781038365333
"70","VHA",102,"VHA-11","11","Väst Hjältön",-0.197821480533931,1.28384377120877,2.38705536012419,2.37781038365333
"71","VHA",102,"VHA-12","12","Väst Hjältön",-0.197821480533931,1.28384377120877,2.38705536012419,2.37781038365333
"72","VHA",104,"VHA-13","13","Väst Hjältön",-0.197821480533931,1.28384377120877,2.38705536012419,2.37781038365333
"73","VHA",104,"VHA-14","14","Väst Hjältön",-0.197821480533931,1.28384377120877,2.38705536012419,2.37781038365333
"74","VHA",106,"VHA-15","15","Väst Hjältön",-0.197821480533931,1.28384377120877,2.38705536012419,2.37781038365333
"75","VHA",107,"VHA-16","16","Väst Hjältön",-0.197821480533931,1.28384377120877,2.38705536012419,2.37781038365333
"76","VHA",108,"VHA-17","17","Väst Hjältön",-0.197821480533931,1.28384377120877,2.38705536012419,2.37781038365333
"77","VHA",110,"VHA-18","18","Väst Hjältön",-0.197821480533931,1.28384377120877,2.38705536012419,2.37781038365333
"78","VHA",112,"VHA-19","19","Väst Hjältön",-0.197821480533931,1.28384377120877,2.38705536012419,2.37781038365333
"79","VHA",115,"VHA-20","20","Väst Hjältön",-0.197821480533931,1.28384377120877,2.38705536012419,2.37781038365333
"80","STE",116,"STE-01","01","Stenungsund",0.766558237068985,-0.802402357005485,1.88474335088942,1.99618649491884
"81","STE",117,"STE-03","03","Stenungsund",0.766558237068985,-0.802402357005485,1.88474335088942,1.99618649491884
"82","STE",118,"STE-04","04","Stenungsund",0.766558237068985,-0.802402357005485,1.88474335088942,1.99618649491884
"83","STE",119,"STE-05","05","Stenungsund",0.766558237068985,-0.802402357005485,1.88474335088942,1.99618649491884
"84","STE",121,"STE-07","07","Stenungsund",0.766558237068985,-0.802402357005485,1.88474335088942,1.99618649491884
"85","STE",122,"STE-09","09","Stenungsund",0.766558237068985,-0.802402357005485,1.88474335088942,1.99618649491884
"86","STE",123,"STE-11","11","Stenungsund",0.766558237068985,-0.802402357005485,1.88474335088942,1.99618649491884
"87","STE",123,"STE-13","13","Stenungsund",0.766558237068985,-0.802402357005485,1.88474335088942,1.99618649491884
"88","STE",124,"STE-12","12","Stenungsund",0.766558237068985,-0.802402357005485,1.88474335088942,1.99618649491884
"89","STE",126,"STE-14","14","Stenungsund",0.766558237068985,-0.802402357005485,1.88474335088942,1.99618649491884
"90","STE",127,"STE-17","17","Stenungsund",0.766558237068985,-0.802402357005485,1.88474335088942,1.99618649491884
"91","STE",131,"STE-19","19","Stenungsund",0.766558237068985,-0.802402357005485,1.88474335088942,1.99618649491884
"92","STE",132,"STE-20","20","Stenungsund",0.766558237068985,-0.802402357005485,1.88474335088942,1.99618649491884
"93","STE",133,"STE-02","02","Stenungsund",0.766558237068985,-0.802402357005485,1.88474335088942,1.99618649491884
"94","STE",135,"STE-06","06","Stenungsund",0.766558237068985,-0.802402357005485,1.88474335088942,1.99618649491884
"95","STE",135,"STE-10","10","Stenungsund",0.766558237068985,-0.802402357005485,1.88474335088942,1.99618649491884
"96","STE",136,"STE-08","08","Stenungsund",0.766558237068985,-0.802402357005485,1.88474335088942,1.99618649491884
"97","STE",136,"STE-15","15","Stenungsund",0.766558237068985,-0.802402357005485,1.88474335088942,1.99618649491884
"98","STE",137,"STE-18","18","Stenungsund",0.766558237068985,-0.802402357005485,1.88474335088942,1.99618649491884
"99","STE",137,"STE-16","16","Stenungsund",0.766558237068985,-0.802402357005485,1.88474335088942,1.99618649491884
"100","NOV",138,"NOV-01","01","N. Överön",1.24874809587044,-0.802402357005485,1.21499400524307,-0.293556837488065
"101","NOV",138,"NOV-03","03","N. Överön",1.24874809587044,-0.802402357005485,1.21499400524307,-0.293556837488065
