"","Pop","MLL_no","Indv_no","Pop_no","region","site_full","long","lat","temp_curr","max_temp_curr","sal_curr","min_sal_curr","temp_scaled","max_temp_scaled","sal_scaled","min_sal_scaled"
"55","BAD",526,"BAD-27","27","Öland","Bödagården",17.058547,57.259256,17,24,7,6,0.262291617423796,0.251087555773246,-0.620947143365476,-0.292287566473705
"56","BAR",241,"BAR-01","01","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437457,0.084438630314626
"57","BAR",244,"BAR-02","02","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437457,0.084438630314626
"58","BAR",247,"BAR-03","03","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437457,0.084438630314626
"59","BAR",247,"BAR-04","04","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437457,0.084438630314626
"60","BAR",247,"BAR-05","05","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437457,0.084438630314626
"61","BAR",250,"BAR-06","06","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437457,0.084438630314626
"62","BAR",251,"BAR-07","07","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437457,0.084438630314626
"63","BAR",251,"BAR-08","08","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437457,0.084438630314626
"64","BAR",251,"BAR-09","09","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437457,0.084438630314626
"65","BAR",255,"BAR-10","10","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437457,0.084438630314626
"66","BAR",255,"BAR-11","11","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437457,0.084438630314626
"67","BAR",251,"BAR-12","12","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437457,0.084438630314626
"68","BAR",251,"BAR-13","13","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437457,0.084438630314626
"69","BAR",258,"BAR-14","14","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,23,16,7,0.262291617423796,-0.782977170961545,0.891932244437457,0.084438630314626
