"trt","bagnum","tank","pop","genet","ind","max_temp","avg_temp","min_sal","avg_sal"
"TempWarm-16psu","118","A4","BJO","gen-15","BJO_gen-15",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","119","A4","VAT","gen-15","VAT_gen-15",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","120","A4","VIK","gen-15","VIK_gen-15",34.23173828125,25.8003762629227,16,16
"TempWarm-5psu","121","A4","HOR","gen-16","HOR_gen-16",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","122","A4","BJO","gen-16","BJO_gen-16",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","123","A4","KUR","gen-16","KUR_gen-16",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","124","A4","HOG","gen-16","HOG_gen-16",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","125","A4","VAT","gen-16","VAT_gen-16",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","126","A4","KAL","gen-16","KAL_gen-16",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","127","A4","BAR","gen-16","BAR_gen-16",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","128","A4","VIK","gen-16","VIK_gen-16",34.23173828125,25.8003762629227,5,5
"TempWarm-16psu","129","B1","BAR","gen-17","BAR_gen-17",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","130","B1","HOG","gen-17","HOG_gen-17",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","131","B1","HOR","gen-17","HOR_gen-17",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","132","B1","VAT","gen-17","VAT_gen-17",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","133","B1","BJO","gen-17","BJO_gen-17",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","134","B1","KAL","gen-17","KAL_gen-17",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","135","B1","VIK","gen-17","VIK_gen-17",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","136","B1","KUR","gen-17","KUR_gen-17",34.23173828125,25.8003762629227,16,16
"TempWarm-5psu","137","B1","KAL","gen-18","KAL_gen-18",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","138","B1","BAR","gen-18","BAR_gen-18",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","139","B1","KUR","gen-18","KUR_gen-18",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","140","B1","HOR","gen-18","HOR_gen-18",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","141","B1","BJO","gen-18","BJO_gen-18",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","142","B1","VAT","gen-18","VAT_gen-18",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","143","B1","VIK","gen-18","VIK_gen-18",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","144","B1","HOG","gen-18","HOG_gen-18",34.23173828125,25.8003762629227,5,5
"TempWarm-16psu","145","B1","BJO","gen-19","BJO_gen-19",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","146","B1","VIK","gen-19","VIK_gen-19",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","147","B1","KUR","gen-19","KUR_gen-19",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","148","B1","KAL","gen-19","KAL_gen-19",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","149","B1","BAR","gen-19","BAR_gen-19",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","150","B1","HOR","gen-19","HOR_gen-19",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","151","B1","HOG","gen-19","HOG_gen-19",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","152","B1","VAT","gen-19","VAT_gen-19",34.23173828125,25.8003762629227,16,16
"TempWarm-5psu","153","B1","KUR","gen-20","KUR_gen-20",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","154","B1","BAR","gen-20","BAR_gen-20",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","155","B1","BJO","gen-20","BJO_gen-20",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","156","B1","HOG","gen-20","HOG_gen-20",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","157","B1","VAT","gen-20","VAT_gen-20",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","158","B1","VIK","gen-20","VIK_gen-20",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","159","B1","KAL","gen-20","KAL_gen-20",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","160","B1","HOR","gen-20","HOR_gen-20",34.23173828125,25.8003762629227,5,5
"TempWarm-16psu","161","B2","BAR","gen-21","BAR_gen-21",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","162","B2","HOG","gen-21","HOG_gen-21",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","163","B2","VAT","gen-21","VAT_gen-21",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","164","B2","KAL","gen-21","KAL_gen-21",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","165","B2","VIK","gen-21","VIK_gen-21",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","166","B2","KUR","gen-21","KUR_gen-21",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","167","B2","BJO","gen-21","BJO_gen-21",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","168","B2","HOR","gen-21","HOR_gen-21",34.23173828125,25.8003762629227,16,16
"TempWarm-5psu","169","B2","KAL","gen-22","KAL_gen-22",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","170","B2","HOR","gen-22","HOR_gen-22",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","171","B2","VIK","gen-22","VIK_gen-22",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","172","B2","KUR","gen-22","KUR_gen-22",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","173","B2","BAR","gen-22","BAR_gen-22",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","174","B2","BJO","gen-22","BJO_gen-22",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","175","B2","VAT","gen-22","VAT_gen-22",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","176","B2","HOG","gen-22","HOG_gen-22",34.23173828125,25.8003762629227,5,5
"TempWarm-16psu","177","B2","KAL","gen-23","KAL_gen-23",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","178","B2","HOG","gen-23","HOG_gen-23",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","179","B2","BJO","gen-23","BJO_gen-23",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","180","B2","KUR","gen-23","KUR_gen-23",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","181","B2","VIK","gen-23","VIK_gen-23",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","182","B2","BAR","gen-23","BAR_gen-23",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","183","B2","HOR","gen-23","HOR_gen-23",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","184","B2","VAT","gen-23","VAT_gen-23",34.23173828125,25.8003762629227,16,16
"TempWarm-5psu","185","B2","BJO","gen-24","BJO_gen-24",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","186","B2","KUR","gen-24","KUR_gen-24",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","187","B2","KAL","gen-24","KAL_gen-24",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","188","B2","HOR","gen-24","HOR_gen-24",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","189","B2","VAT","gen-24","VAT_gen-24",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","190","B2","VIK","gen-24","VIK_gen-24",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","191","B2","HOG","gen-24","HOG_gen-24",34.23173828125,25.8003762629227,5,5
"TempWarm-5psu","192","B2","BAR","gen-24","BAR_gen-24",34.23173828125,25.8003762629227,5,5
"TempWarm-16psu","193","B3","HOR","gen-25","HOR_gen-25",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","194","B3","KUR","gen-25","KUR_gen-25",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","195","B3","BJO","gen-25","BJO_gen-25",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","196","B3","KAL","gen-25","KAL_gen-25",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","197","B3","BAR","gen-25","BAR_gen-25",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","198","B3","VIK","gen-25","VIK_gen-25",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","199","B3","HOG","gen-25","HOG_gen-25",34.23173828125,25.8003762629227,16,16
"TempWarm-16psu","200","B3","VAT","gen-25","VAT_gen-25",34.23173828125,25.8003762629227,16,16
