"","Pop","MLL_no","Indv_no","Pop_no","region","site_full","long","lat","temp_scaled8.5","sal_scaled8.5"
"98","BJO",703,"BJO-16","16","Östersjö","Björkö",1907867998,5983484289,0.482321424915461,-0.851381407187882
"99","BJO",703,"BJO-20","20","Östersjö","Björkö",1907867998,5983484289,0.482321424915461,-0.851381407187882
"100","BJO",703,"BJO-03","03","Östersjö","Björkö",1907867998,5983484289,0.482321424915461,-0.851381407187882
"101","BJO",703,"BJO-17","17","Östersjö","Björkö",1907867998,5983484289,0.482321424915461,-0.851381407187882
"102","BJO",703,"BJO-18","18","Östersjö","Björkö",1907867998,5983484289,0.482321424915461,-0.851381407187882
"103","BJO",703,"BJO-19","19","Östersjö","Björkö",1907867998,5983484289,0.482321424915461,-0.851381407187882
"104","BLA",404,"BLA-01","01","Öland","Bläsinge",16704923,56621246,-2.3190336104767,-0.522363384199117
"105","BLA",404,"BLA-02","02","Öland","Bläsinge",16704923,56621246,-2.3190336104767,-0.522363384199117
"106","BLA",404,"BLA-03","03","Öland","Bläsinge",16704923,56621246,-2.3190336104767,-0.522363384199117
"107","BLA",404,"BLA-04","04","Öland","Bläsinge",16704923,56621246,-2.3190336104767,-0.522363384199117
"108","BLA",404,"BLA-05","05","Öland","Bläsinge",16704923,56621246,-2.3190336104767,-0.522363384199117
"109","BLA",404,"BLA-06","06","Öland","Bläsinge",16704923,56621246,-2.3190336104767,-0.522363384199117
"110","BLA",404,"BLA-07","07","Öland","Bläsinge",16704923,56621246,-2.3190336104767,-0.522363384199117
"111","BLA",404,"BLA-08","08","Öland","Bläsinge",16704923,56621246,-2.3190336104767,-0.522363384199117
"112","BLA",404,"BLA-09","09","Öland","Bläsinge",16704923,56621246,-2.3190336104767,-0.522363384199117
"113","BLA",404,"BLA-10","10","Öland","Bläsinge",16704923,56621246,-2.3190336104767,-0.522363384199117
"114","BLA",404,"BLA-11","11","Öland","Bläsinge",16704923,56621246,-2.3190336104767,-0.522363384199117
"115","BLA",404,"BLA-12","12","Öland","Bläsinge",16704923,56621246,-2.3190336104767,-0.522363384199117
"116","BLA",404,"BLA-13","13","Öland","Bläsinge",16704923,56621246,-2.3190336104767,-0.522363384199117
"117","BLA",404,"BLA-14","14","Öland","Bläsinge",16704923,56621246,-2.3190336104767,-0.522363384199117
"118","BLA",404,"BLA-15","15","Öland","Bläsinge",16704923,56621246,-2.3190336104767,-0.522363384199117
"119","BLA",404,"BLA-16","16","Öland","Bläsinge",16704923,56621246,-2.3190336104767,-0.522363384199117
"120","BLA",404,"BLA-17","17","Öland","Bläsinge",16704923,56621246,-2.3190336104767,-0.522363384199117
"121","BLA",404,"BLA-18","18","Öland","Bläsinge",16704923,56621246,-2.3190336104767,-0.522363384199117
"122","BLA",404,"BLA-19","19","Öland","Bläsinge",16704923,56621246,-2.3190336104767,-0.522363384199117
"123","BLA",404,"BLA-20","20","Öland","Bläsinge",16704923,56621246,-2.3190336104767,-0.522363384199117
"124","BUR",489,"BUR-01","01","Gotland","Burgsvik",18223786,57032289,0.949213930814155,-0.6868723956935
"125","BUR",489,"BUR-02","02","Gotland","Burgsvik",18223786,57032289,0.949213930814155,-0.6868723956935
"126","BUR",491,"BUR-03","03","Gotland","Burgsvik",18223786,57032289,0.949213930814155,-0.6868723956935
"127","BUR",491,"BUR-04","04","Gotland","Burgsvik",18223786,57032289,0.949213930814155,-0.6868723956935
"128","BUR",493,"BUR-05","05","Gotland","Burgsvik",18223786,57032289,0.949213930814155,-0.6868723956935
"129","BUR",494,"BUR-06","06","Gotland","Burgsvik",18223786,57032289,0.949213930814155,-0.6868723956935
"130","BUR",496,"BUR-07","07","Gotland","Burgsvik",18223786,57032289,0.949213930814155,-0.6868723956935
"131","BUR",496,"BUR-08","08","Gotland","Burgsvik",18223786,57032289,0.949213930814155,-0.6868723956935
"132","BUR",498,"BUR-09","09","Gotland","Burgsvik",18223786,57032289,0.949213930814155,-0.6868723956935
"133","BUR",499,"BUR-10","10","Gotland","Burgsvik",18223786,57032289,0.949213930814155,-0.6868723956935
"134","BUR",501,"BUR-11","11","Gotland","Burgsvik",18223786,57032289,0.949213930814155,-0.6868723956935
"135","BUR",494,"BUR-12","12","Gotland","Burgsvik",18223786,57032289,0.949213930814155,-0.6868723956935
"136","BUR",504,"BUR-13","13","Gotland","Burgsvik",18223786,57032289,0.949213930814155,-0.6868723956935
"137","BUR",507,"BUR-14","14","Gotland","Burgsvik",18223786,57032289,0.949213930814155,-0.6868723956935
