"bagnum_num","tank_ID","bagKey","trt","bagnum_text","pop","new_label","genetID","DNA_label","temp_full","sal_full","gen","genet","board","mean_sal","median_sal","min_sal","max_sal","sd_sal","mean_temp","median_temp","min_temp","max_temp","sd_temp","x_coord","y_coord","position"
66,"A3","146E545D","TempWarm-16psu",66,"KAL","066_A3_KAL_gen-09_TempWarm-16psu",9,"KAL_gen-09","TempWarm","16psu","gen-09","KAL-09",9,16.08,16.1,16,16.1,0.0447213595499964,25.8025284445741,26.123564453125,15.827470703125,32.34412109375,2.39952191130576,1,10,"1_10"
67,"A3","F8EE1E70","TempWarm-16psu",67,"HOG","067_A3_HOG_gen-09_TempWarm-16psu",9,"HOG_gen-09","TempWarm","16psu","gen-09","HOG-09",9,16.22,16.2,16.1,16.4,0.109544511501032,25.8025284445741,26.123564453125,15.827470703125,32.34412109375,2.39952191130576,1,11,"1_11"
68,"A3","DEE179F7","TempWarm-16psu",68,"KUR","068_A3_KUR_gen-09_TempWarm-16psu",9,"KUR_gen-09","TempWarm","16psu","gen-09","KUR-09",9,16.2,16.2,16.1,16.3,0.0999999999999996,25.8025284445741,26.123564453125,15.827470703125,32.34412109375,2.39952191130576,1,12,"1_12"
69,"A3","5ACBB993","TempWarm-16psu",69,"BJO","069_A3_BJO_gen-09_TempWarm-16psu",9,"BJO_gen-09","TempWarm","16psu","gen-09","BJO-09",9,15.74,15.7,15.7,15.8,0.0547722557505174,25.8025284445741,26.123564453125,15.827470703125,32.34412109375,2.39952191130576,2,9,"2_9"
70,"A3","9DD26146","TempWarm-16psu",70,"BAR","070_A3_BAR_gen-09_TempWarm-16psu",9,"BAR_gen-09","TempWarm","16psu","gen-09","BAR-09",9,16.26,16.3,16.2,16.3,0.0547722557505174,25.8025284445741,26.123564453125,15.827470703125,32.34412109375,2.39952191130576,2,10,"2_10"
71,"A3","593CE2A5","TempWarm-16psu",71,"VAT","071_A3_VAT_gen-09_TempWarm-16psu",9,"VAT_gen-09","TempWarm","16psu","gen-09","VAT-09",9,16.14,16.1,16.1,16.2,0.0547722557505154,25.8025284445741,26.123564453125,15.827470703125,32.34412109375,2.39952191130576,2,11,"2_11"
72,"A3","02A3413D","TempWarm-16psu",72,"HOR","072_A3_HOR_gen-09_TempWarm-16psu",9,"HOR_gen-09","TempWarm","16psu","gen-09","HOR-09",9,16.16,16.2,16.1,16.2,0.0547722557505154,25.8025284445741,26.123564453125,15.827470703125,32.34412109375,2.39952191130576,2,12,"2_12"
73,"A3","992553F7","TempWarm-5psu",73,"KAL","073_A3_KAL_gen-10_TempWarm-5psu",10,"KAL_gen-10","TempWarm","5psu","gen-10","KAL-10",10,5.1,5.1,5.1,5.1,0,25.8025284445741,26.123564453125,15.827470703125,32.34412109375,2.39952191130576,3,9,"3_9"
74,"A3","73172B23","TempWarm-5psu",74,"HOR","074_A3_HOR_gen-10_TempWarm-5psu",10,"HOR_gen-10","TempWarm","5psu","gen-10","HOR-10",10,5.16,5.2,5.1,5.2,0.0547722557505169,25.8025284445741,26.123564453125,15.827470703125,32.34412109375,2.39952191130576,3,10,"3_10"
75,"A3","B98C052C","TempWarm-5psu",75,"VAT","075_A3_VAT_gen-10_TempWarm-5psu",10,"VAT_gen-10","TempWarm","5psu","gen-10","VAT-10",10,5.2,5.2,5.2,5.2,0,25.8025284445741,26.123564453125,15.827470703125,32.34412109375,2.39952191130576,3,11,"3_11"
