"","pop","mll_no","indv_no","pop_no","df","order","median_temp","max_temp","median_sal","min_sal"
"68","KAV",79,"KAV-08","08","seascape",68,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"69","KAV",84,"KAV-11","11","seascape",69,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"70","KAV",84,"KAV-11","11","seascape",70,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"71","KAV",84,"KAV-11","11","seascape",71,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"72","KAV",85,"KAV-14","14","seascape",72,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"73","KAV",86,"KAV-15","15","seascape",73,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"74","KAV",87,"KAV-16","16","seascape",74,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"75","KAV",90,"KAV-17","17","seascape",75,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"76","KAV",90,"KAV-17","17","seascape",76,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"77","KAV",90,"KAV-17","17","seascape",77,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"78","KAV",90,"KAV-17","17","seascape",78,-0.0922173812181188,-0.594677256838114,1.43640660305792,1.43377474223807
"79","VHA",92,"VHA-01","01","seascape",79,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"80","VHA",93,"VHA-02","02","seascape",80,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"81","VHA",94,"VHA-03","03","seascape",81,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"82","VHA",96,"VHA-04","04","seascape",82,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"83","VHA",96,"VHA-04","04","seascape",83,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"84","VHA",97,"VHA-06","06","seascape",84,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"85","VHA",98,"VHA-07","07","seascape",85,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"86","VHA",99,"VHA-08","08","seascape",86,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"87","VHA",100,"VHA-09","09","seascape",87,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"88","VHA",101,"VHA-10","10","seascape",88,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"89","VHA",102,"VHA-11","11","seascape",89,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"90","VHA",102,"VHA-11","11","seascape",90,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"91","VHA",104,"VHA-13","13","seascape",91,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"92","VHA",104,"VHA-13","13","seascape",92,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"93","VHA",106,"VHA-15","15","seascape",93,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"94","VHA",107,"VHA-16","16","seascape",94,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"95","VHA",108,"VHA-17","17","seascape",95,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"96","VHA",110,"VHA-18","18","seascape",96,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"97","VHA",112,"VHA-19","19","seascape",97,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"98","VHA",115,"VHA-20","20","seascape",98,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"99","STE",116,"STE-01","01","seascape",99,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"100","STE",117,"STE-03","03","seascape",100,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"101","STE",118,"STE-04","04","seascape",101,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"102","STE",119,"STE-05","05","seascape",102,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
