"Pop","MLL_no","Indv_no","Pop_no","region","site_full","long","lat","temp_curr","sal_curr","temp_8.5","sal_8.5","max_temp_curr","min_sal_curr","temp_scaled","max_temp_scaled","sal_scaled","min_sal_scaled"
"GAL",669,"GAL-01","01","Haninge","Gålö",18.32692339,59.09087305,15,7,18,5,24,6,0.70588022342345,-0.121270482189138,-0.813472223182465,-0.67525690900828
"GAL",687,"GAL-16","16","Haninge","Gålö",18.32692339,59.09087305,15,7,18,5,24,6,0.70588022342345,-0.121270482189138,-0.813472223182465,-0.67525690900828
"GAS",44,"GAS-01","01","Kosterhavet","Gåsholmen ",11.134688,58.878628,17,22,19,21,23,9,0.00632145196478833,-0.528792618165885,1.59836815758678,0.440658348900465
"GAS",46,"GAS-02","02","Kosterhavet","Gåsholmen ",11.134688,58.878628,17,22,19,21,23,9,0.00632145196478833,-0.528792618165885,1.59836815758678,0.440658348900465
"GAS",47,"GAS-04","04","Kosterhavet","Gåsholmen ",11.134688,58.878628,17,22,19,21,23,9,0.00632145196478833,-0.528792618165885,1.59836815758678,0.440658348900465
"GAS",48,"GAS-05","05","Kosterhavet","Gåsholmen ",11.134688,58.878628,17,22,19,21,23,9,0.00632145196478833,-0.528792618165885,1.59836815758678,0.440658348900465
"GAS",49,"GAS-06","06","Kosterhavet","Gåsholmen ",11.134688,58.878628,17,22,19,21,23,9,0.00632145196478833,-0.528792618165885,1.59836815758678,0.440658348900465
"GAS",50,"GAS-07","07","Kosterhavet","Gåsholmen ",11.134688,58.878628,17,22,19,21,23,9,0.00632145196478833,-0.528792618165885,1.59836815758678,0.440658348900465
"GAS",51,"GAS-08","08","Kosterhavet","Gåsholmen ",11.134688,58.878628,17,22,19,21,23,9,0.00632145196478833,-0.528792618165885,1.59836815758678,0.440658348900465
"GAS",52,"GAS-09","09","Kosterhavet","Gåsholmen ",11.134688,58.878628,17,22,19,21,23,9,0.00632145196478833,-0.528792618165885,1.59836815758678,0.440658348900465
"GAS",53,"GAS-10","10","Kosterhavet","Gåsholmen ",11.134688,58.878628,17,22,19,21,23,9,0.00632145196478833,-0.528792618165885,1.59836815758678,0.440658348900465
"GAS",56,"GAS-11","11","Kosterhavet","Gåsholmen ",11.134688,58.878628,17,22,19,21,23,9,0.00632145196478833,-0.528792618165885,1.59836815758678,0.440658348900465
"GAS",66,"GAS-20","20","Kosterhavet","Gåsholmen ",11.134688,58.878628,17,22,19,21,23,9,0.00632145196478833,-0.528792618165885,1.59836815758678,0.440658348900465
"GOT",176,"GOT-01","01","Kungsbacka","Gottskär",12.02123,57.39626,17,19,20,18,24,10,0.00632145196478833,-0.121270482189138,1.14614808619255,0.719637163377652
"GOT",177,"GOT-05","05","Kungsbacka","Gottskär",12.02123,57.39626,17,19,20,18,24,10,0.00632145196478833,-0.121270482189138,1.14614808619255,0.719637163377652
"GOT",178,"GOT-06","06","Kungsbacka","Gottskär",12.02123,57.39626,17,19,20,18,24,10,0.00632145196478833,-0.121270482189138,1.14614808619255,0.719637163377652
"GOT",179,"GOT-09","09","Kungsbacka","Gottskär",12.02123,57.39626,17,19,20,18,24,10,0.00632145196478833,-0.121270482189138,1.14614808619255,0.719637163377652
"GRO",193,"GRO-01","01","Lahalmsbukten","Grötvik",12.78014,56.64116,19,13,21,12,23,9,0.70588022342345,-0.528792618165885,0.241707943404081,0.440658348900465
"GRO",197,"GRO-10","10","Lahalmsbukten","Grötvik",12.78014,56.64116,19,13,21,12,23,9,0.70588022342345,-0.528792618165885,0.241707943404081,0.440658348900465
"HAN",744,"HAN-01","01","Finland","Hanko",22.990247,59.824232,12,7,15,5,24,6,-0.693237319493874,-0.121270482189138,-0.813472223182465,-0.954235723485466
"HAN",749,"HAN-11","11","Finland","Hanko",22.990247,59.824232,12,7,15,5,24,6,-0.693237319493874,-0.121270482189138,-0.813472223182465,-0.954235723485466
"HAN",754,"HAN-16","16","Finland","Hanko",22.990247,59.824232,12,7,15,5,24,6,-0.693237319493874,-0.121270482189138,-0.813472223182465,-0.954235723485466
"HOG",200,"HOG-01","01","Södra Höganäs","Höganäs",12.55141,56.1969,16,5,19,4,23,5,0.26750171928888,-0.755978778111232,0.805942926482666,-0.0661754506010758
"HOG",216,"HOG-02","02","Södra Höganäs","Höganäs",12.55141,56.1969,16,5,19,4,23,5,0.26750171928888,-0.755978778111232,0.805942926482666,-0.0661754506010758
"HOG",203,"HOG-04","04","Södra Höganäs","Höganäs",12.55141,56.1969,16,5,19,4,23,5,0.26750171928888,-0.755978778111232,0.805942926482666,-0.0661754506010758
"HOG",204,"HOG-05","05","Södra Höganäs","Höganäs",12.55141,56.1969,16,5,19,4,23,5,0.26750171928888,-0.755978778111232,0.805942926482666,-0.0661754506010758
"HOG",205,"HOG-06","06","Södra Höganäs","Höganäs",12.55141,56.1969,16,5,19,4,23,5,0.26750171928888,-0.755978778111232,0.805942926482666,-0.0661754506010758
"HOG",217,"HOG-07","07","Södra Höganäs","Höganäs",12.55141,56.1969,16,5,19,4,23,5,0.26750171928888,-0.755978778111232,0.805942926482666,-0.0661754506010758
"HOG",208,"HOG-09","09","Södra Höganäs","Höganäs",12.55141,56.1969,16,5,19,4,23,5,0.26750171928888,-0.755978778111232,0.805942926482666,-0.0661754506010758
"HOG",210,"HOG-15","15","Södra Höganäs","Höganäs",12.55141,56.1969,16,5,19,4,23,5,0.26750171928888,-0.755978778111232,0.805942926482666,-0.0661754506010758
"HOG",212,"HOG-17","17","Södra Höganäs","Höganäs",12.55141,56.1969,16,5,19,4,23,5,0.26750171928888,-0.755978778111232,0.805942926482666,-0.0661754506010758
"HOG",213,"HOG-18","18","Södra Höganäs","Höganäs",12.55141,56.1969,16,5,19,4,23,5,0.26750171928888,-0.755978778111232,0.805942926482666,-0.0661754506010758
"HOG",214,"HOG-10","10","Södra Höganäs","Höganäs",12.55141,56.1969,16,5,19,4,23,5,0.26750171928888,-0.755978778111232,0.805942926482666,-0.0661754506010758
"HOG",218,"HOG-19","19","Södra Höganäs","Höganäs",12.55141,56.1969,16,5,19,4,23,5,0.26750171928888,-0.755978778111232,0.805942926482666,-0.0661754506010758
"HOR",587,"HOR-10","10","Hornsudde","Hornsudde",16.730625,57.695151,15,6,18,4,24,4,-0.636083367865701,-0.320176875989651,-1.45339377221007,-0.469663538157575
"ING",771,"ING-01","01","Finland","Ingå",24.039419,59.9906558,13,7,16,5,24,5,-0.343457933764543,-0.121270482189138,-0.813472223182465,-0.954235723485466
"KAL",426,"KAL-01","01","Kalmar","Kalmarsund",16.351908,56.654431,16,6,18,4,24,4,0.70766409829067,-0.0484117641275608,-0.665113891760397,-0.421663681352526
"KAL",427,"KAL-02","02","Kalmar","Kalmarsund",16.351908,56.654431,16,6,18,4,24,4,0.70766409829067,-0.0484117641275608,-0.665113891760397,-0.421663681352526
"KAL",441,"KAL-04","04","Kalmar","Kalmarsund",16.351908,56.654431,16,6,18,4,24,4,0.70766409829067,-0.0484117641275608,-0.665113891760397,-0.421663681352526
"KAL",436,"KAL-06","06","Kalmar","Kalmarsund",16.351908,56.654431,16,6,18,4,24,4,0.70766409829067,-0.0484117641275608,-0.665113891760397,-0.421663681352526
"KAL",448,"KAL-20","20","Kalmar","Kalmarsund",16.351908,56.654431,16,6,18,4,24,4,0.70766409829067,-0.0484117641275608,-0.665113891760397,-0.421663681352526
"KAR",451,"KAR-02","02","Öland","Kårehamn",16.912377,56.969566,15,7,17,6,23,6,-0.343457933764543,0.28625165378761,-0.662732199384387,-0.396278094531094
"KAR",460,"KAR-03","03","Öland","Kårehamn",16.912377,56.969566,15,7,17,6,23,6,-0.343457933764543,0.28625165378761,-0.662732199384387,-0.396278094531094
"KAV",69,"KAV-01","01","Grebbestad-Fjällbacka","Kämpersvik",11.27672,58.64622,18,21,21,20,23,15,0.356100837694119,-0.528792618165885,1.4476281337887,2.11453123576358
"KAV",71,"KAV-02","02","Grebbestad-Fjällbacka","Kämpersvik",11.27672,58.64622,18,21,21,20,23,15,0.356100837694119,-0.528792618165885,1.4476281337887,2.11453123576358
"KAV",72,"KAV-03","03","Grebbestad-Fjällbacka","Kämpersvik",11.27672,58.64622,18,21,21,20,23,15,0.356100837694119,-0.528792618165885,1.4476281337887,2.11453123576358
"KAV",75,"KAV-04","04","Grebbestad-Fjällbacka","Kämpersvik",11.27672,58.64622,18,21,21,20,23,15,0.356100837694119,-0.528792618165885,1.4476281337887,2.11453123576358
"KAV",76,"KAV-05","05","Grebbestad-Fjällbacka","Kämpersvik",11.27672,58.64622,18,21,21,20,23,15,0.356100837694119,-0.528792618165885,1.4476281337887,2.11453123576358
"KAV",77,"KAV-06","06","Grebbestad-Fjällbacka","Kämpersvik",11.27672,58.64622,18,21,21,20,23,15,0.356100837694119,-0.528792618165885,1.4476281337887,2.11453123576358
"KAV",78,"KAV-07","07","Grebbestad-Fjällbacka","Kämpersvik",11.27672,58.64622,18,21,21,20,23,15,0.356100837694119,-0.528792618165885,1.4476281337887,2.11453123576358
"KAV",79,"KAV-08","08","Grebbestad-Fjällbacka","Kämpersvik",11.27672,58.64622,18,21,21,20,23,15,0.356100837694119,-0.528792618165885,1.4476281337887,2.11453123576358
"KAV",84,"KAV-11","11","Grebbestad-Fjällbacka","Kämpersvik",11.27672,58.64622,18,21,21,20,23,15,0.356100837694119,-0.528792618165885,1.4476281337887,2.11453123576358
