"pop","mll_no","indv_no","pop_no","region","site_full","long","lat","median_temp","median_sal","temp_8.5","sal_8.5","max_temp","min_sal","median_temp_scaled","max_temp_scaled","median_sal_scaled","min_sal_scaled"
"SBR",171,"SBR-16","16","Göteborgs S skärgård","S. Brännö",11.79115,57.64159,19,17,21,16,23,1,0.6895323991586,-0.528792618165885,0.875542636674888,-1.86254045938402
"SBR",172,"SBR-17","17","Göteborgs S skärgård","S. Brännö",11.79115,57.64159,19,17,21,16,23,1,0.6895323991586,-0.528792618165885,0.875542636674888,-1.86254045938402
"SBR",173,"SBR-18","18","Göteborgs S skärgård","S. Brännö",11.79115,57.64159,19,17,21,16,23,1,0.6895323991586,-0.528792618165885,0.875542636674888,-1.86254045938402
"SBR",174,"SBR-19","19","Göteborgs S skärgård","S. Brännö",11.79115,57.64159,19,17,21,16,23,1,0.6895323991586,-0.528792618165885,0.875542636674888,-1.86254045938402
"SBR",175,"SBR-20","20","Göteborgs S skärgård","S. Brännö",11.79115,57.64159,19,17,21,16,23,1,0.6895323991586,-0.528792618165885,0.875542636674888,-1.86254045938402
"GOT",176,"GOT-01","01","Kungsbacka","Gottskär",12.02123,57.39626,17,19,20,18,24,10,0.000570701900369464,-0.121270482189138,1.18878784649956,0.772939611717519
"GOT",177,"GOT-05","05","Kungsbacka","Gottskär",12.02123,57.39626,17,19,20,18,24,10,0.000570701900369464,-0.121270482189138,1.18878784649956,0.772939611717519
"GOT",178,"GOT-06","06","Kungsbacka","Gottskär",12.02123,57.39626,17,19,20,18,24,10,0.000570701900369464,-0.121270482189138,1.18878784649956,0.772939611717519
"GOT",179,"GOT-09","09","Kungsbacka","Gottskär",12.02123,57.39626,17,19,20,18,24,10,0.000570701900369464,-0.121270482189138,1.18878784649956,0.772939611717519
"GRO",193,"GRO-01","01","Lahalmsbukten","Grötvik",12.78014,56.64116,19,13,21,12,23,9,0.6895323991586,-0.528792618165885,0.249052217025537,0.480108492706237
"GRO",197,"GRO-10","10","Lahalmsbukten","Grötvik",12.78014,56.64116,19,13,21,12,23,9,0.6895323991586,-0.528792618165885,0.249052217025537,0.480108492706237
"HOG",200,"HOG-01","01","Södra Höganäs","Höganäs",12.55141,56.1969,18,17,20,15,22,7,0.25779455157173,-0.755978778111232,0.835306289472908,-0.0518914333057537
"HOG",203,"HOG-04","04","Södra Höganäs","Höganäs",12.55141,56.1969,18,17,20,15,22,7,0.25779455157173,-0.755978778111232,0.835306289472908,-0.0518914333057537
"HOG",204,"HOG-05","05","Södra Höganäs","Höganäs",12.55141,56.1969,18,17,20,15,22,7,0.25779455157173,-0.755978778111232,0.835306289472908,-0.0518914333057537
"HOG",205,"HOG-06","06","Södra Höganäs","Höganäs",12.55141,56.1969,18,17,20,15,22,7,0.25779455157173,-0.755978778111232,0.835306289472908,-0.0518914333057537
"HOG",208,"HOG-09","09","Södra Höganäs","Höganäs",12.55141,56.1969,18,17,20,15,22,7,0.25779455157173,-0.755978778111232,0.835306289472908,-0.0518914333057537
"HOG",210,"HOG-15","15","Södra Höganäs","Höganäs",12.55141,56.1969,18,17,20,15,22,7,0.25779455157173,-0.755978778111232,0.835306289472908,-0.0518914333057537
"HOG",212,"HOG-17","17","Södra Höganäs","Höganäs",12.55141,56.1969,18,17,20,15,22,7,0.25779455157173,-0.755978778111232,0.835306289472908,-0.0518914333057537
"HOG",213,"HOG-18","18","Södra Höganäs","Höganäs",12.55141,56.1969,18,17,20,15,22,7,0.25779455157173,-0.755978778111232,0.835306289472908,-0.0518914333057537
"HOG",214,"HOG-10","10","Södra Höganäs","Höganäs",12.55141,56.1969,18,17,20,15,22,7,0.25779455157173,-0.755978778111232,0.835306289472908,-0.0518914333057537
"HOG",216,"HOG-02","02","Södra Höganäs","Höganäs",12.55141,56.1969,18,17,20,15,22,7,0.25779455157173,-0.755978778111232,0.835306289472908,-0.0518914333057537
"HOG",217,"HOG-07","07","Södra Höganäs","Höganäs",12.55141,56.1969,18,17,20,15,22,7,0.25779455157173,-0.755978778111232,0.835306289472908,-0.0518914333057537
"HOG",218,"HOG-19","19","Södra Höganäs","Höganäs",12.55141,56.1969,18,17,20,15,22,7,0.25779455157173,-0.755978778111232,0.835306289472908,-0.0518914333057537
"ALA",219,"ALA-01","01","Øresund","Ålabadarna",12.771034,55.940683,17,16,20,15,23,7,0.000570701900369464,-0.528792618165885,0.71892003176255,-0.105553745316327
"ALA",220,"ALA-04","04","Øresund","Ålabadarna",12.771034,55.940683,17,16,20,15,23,7,0.000570701900369464,-0.528792618165885,0.71892003176255,-0.105553745316327
"ALA",222,"ALA-02","02","Øresund","Ålabadarna",12.771034,55.940683,17,16,20,15,23,7,0.000570701900369464,-0.528792618165885,0.71892003176255,-0.105553745316327
"ALA",229,"ALA-09","09","Øresund","Ålabadarna",12.771034,55.940683,17,16,20,15,23,7,0.000570701900369464,-0.528792618165885,0.71892003176255,-0.105553745316327
"ALA",230,"ALA-03","03","Øresund","Ålabadarna",12.771034,55.940683,17,16,20,15,23,7,0.000570701900369464,-0.528792618165885,0.71892003176255,-0.105553745316327
"ALA",231,"ALA-11","11","Øresund","Ålabadarna",12.771034,55.940683,17,16,20,15,23,7,0.000570701900369464,-0.528792618165885,0.71892003176255,-0.105553745316327
"ALA",233,"ALA-13","13","Øresund","Ålabadarna",12.771034,55.940683,17,16,20,15,23,7,0.000570701900369464,-0.528792618165885,0.71892003176255,-0.105553745316327
"ALA",234,"ALA-14","14","Øresund","Ålabadarna",12.771034,55.940683,17,16,20,15,23,7,0.000570701900369464,-0.528792618165885,0.71892003176255,-0.105553745316327
"ALA",236,"ALA-15","15","Øresund","Ålabadarna",12.771034,55.940683,17,16,20,15,23,7,0.000570701900369464,-0.528792618165885,0.71892003176255,-0.105553745316327
"ALA",237,"ALA-17","17","Øresund","Ålabadarna",12.771034,55.940683,17,16,20,15,23,7,0.000570701900369464,-0.528792618165885,0.71892003176255,-0.105553745316327
"ALA",238,"ALA-18","18","Øresund","Ålabadarna",12.771034,55.940683,17,16,20,15,23,7,0.000570701900369464,-0.528792618165885,0.71892003176255,-0.105553745316327
"ALA",239,"ALA-19","19","Øresund","Ålabadarna",12.771034,55.940683,17,16,20,15,23,7,0.000570701900369464,-0.528792618165885,0.71892003176255,-0.105553745316327
"ALA",240,"ALA-20","20","Øresund","Ålabadarna",12.771034,55.940683,17,16,20,15,23,7,0.000570701900369464,-0.528792618165885,0.71892003176255,-0.105553745316327
"BAR",241,"BAR-01","01","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,16,19,15,23,7,-0.0260232196137987,-0.579786258855822,0.795837393034999,-0.222159339904854
"BAR",244,"BAR-02","02","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,16,19,15,23,7,-0.0260232196137987,-0.579786258855822,0.795837393034999,-0.222159339904854
"BAR",247,"BAR-03","03","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,16,19,15,23,7,-0.0260232196137987,-0.579786258855822,0.795837393034999,-0.222159339904854
"BAR",250,"BAR-06","06","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,16,19,15,23,7,-0.0260232196137987,-0.579786258855822,0.795837393034999,-0.222159339904854
"BAR",251,"BAR-07","07","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,16,19,15,23,7,-0.0260232196137987,-0.579786258855822,0.795837393034999,-0.222159339904854
"BAR",255,"BAR-10","10","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,16,19,15,23,7,-0.0260232196137987,-0.579786258855822,0.795837393034999,-0.222159339904854
"BAR",258,"BAR-14","14","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,16,19,15,23,7,-0.0260232196137987,-0.579786258855822,0.795837393034999,-0.222159339904854
"BAR",259,"BAR-15","15","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,16,19,15,23,7,-0.0260232196137987,-0.579786258855822,0.795837393034999,-0.222159339904854
"BAR",260,"BAR-16","16","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,16,19,15,23,7,-0.0260232196137987,-0.579786258855822,0.795837393034999,-0.222159339904854
"BAR",261,"BAR-17","17","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,16,19,15,23,7,-0.0260232196137987,-0.579786258855822,0.795837393034999,-0.222159339904854
"BAR",262,"BAR-18","18","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,16,19,15,23,7,-0.0260232196137987,-0.579786258855822,0.795837393034999,-0.222159339904854
"BAR",263,"BAR-19","19","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,16,19,15,23,7,-0.0260232196137987,-0.579786258855822,0.795837393034999,-0.222159339904854
"BAR",264,"BAR-20","20","Barsebäck","Barsebäck hamn",12.90189,55.75528,17,16,19,15,23,7,-0.0260232196137987,-0.579786258855822,0.795837393034999,-0.222159339904854
"LOM",265,"LOM-01","01","Lomma","South Lomma Bay",13.05485,55.67242,18,9,20,7,23,7,0.345051550529484,-0.528792618165885,-0.377438202623813,-0.105553745316327
"LOM",267,"LOM-02","02","Lomma","South Lomma Bay",13.05485,55.67242,18,9,20,7,23,7,0.345051550529484,-0.528792618165885,-0.377438202623813,-0.105553745316327
"LOM",268,"LOM-04","04","Lomma","South Lomma Bay",13.05485,55.67242,18,9,20,7,23,7,0.345051550529484,-0.528792618165885,-0.377438202623813,-0.105553745316327
"LOM",270,"LOM-05","05","Lomma","South Lomma Bay",13.05485,55.67242,18,9,20,7,23,7,0.345051550529484,-0.528792618165885,-0.377438202623813,-0.105553745316327
