"","pop","trt","tank_ID","bagnum_text","median_temp","max_temp","median_sal","min_sal"
"40","KUR","TempControl-21psu","A2",40,1.8354145293051,0.932134742725474,1.73410253180569,5.54353131430873
"41","VAT","TempControl-7psu","A2",41,1.8354145293051,0.932134742725474,-0.596886270355598,0.159890096323618
"42","HOG","TempControl-7psu","A2",42,1.8354145293051,0.932134742725474,-0.596886270355598,0.159890096323618
"43","BJO","TempControl-7psu","A2",43,1.8354145293051,0.932134742725474,-0.580354434879277,0.198344676452083
"44","KUR","TempControl-7psu","A2",44,1.8354145293051,0.932134742725474,-0.596886270355598,0.121435516195153
"45","BAR","TempControl-7psu","A2",45,1.8354145293051,0.932134742725474,-0.613418105831919,0.121435516195153
"46","VIK","TempControl-7psu","A2",46,1.8354145293051,0.932134742725474,-0.596886270355598,0.159890096323618
"47","KAL","TempControl-7psu","A2",47,1.8354145293051,0.932134742725474,-0.613418105831919,0.082980936066688
"48","HOR","TempControl-7psu","A2",48,1.8354145293051,0.932134742725474,-0.613418105831919,0.121435516195153
"49","HOG","TempControl-21psu","A2",49,1.8354145293051,0.932134742725474,1.76716620275834,5.62044047456566
"50","BJO","TempControl-21psu","A2",50,1.8354145293051,0.932134742725474,1.68450702537673,5.42816757392333
"51","HOR","TempControl-21psu","A2",51,1.8354145293051,0.932134742725474,1.76716620275834,5.62044047456566
"52","KAL","TempControl-21psu","A2",52,1.8354145293051,0.932134742725474,1.75063436728202,5.62044047456566
"53","VAT","TempControl-21psu","A2",53,1.8354145293051,0.932134742725474,1.76716620275834,5.62044047456566
"54","KUR","TempControl-21psu","A2",54,1.8354145293051,0.932134742725474,1.73410253180569,5.54353131430873
"55","VIK","TempControl-21psu","A2",55,1.8354145293051,0.932134742725474,1.75063436728202,5.5819858944372
"56","BAR","TempControl-21psu","A2",56,1.8354145293051,0.932134742725474,1.73410253180569,5.54353131430873
"57","KUR","TempControl-7psu","A2",57,1.8354145293051,0.932134742725474,-0.613418105831919,0.121435516195153
"58","BJO","TempControl-7psu","A2",58,1.8354145293051,0.932134742725474,-0.613418105831919,0.082980936066688
"59","KAL","TempControl-7psu","A2",59,1.8354145293051,0.932134742725474,-0.613418105831919,0.121435516195153
"60","HOR","TempControl-7psu","A2",60,1.8354145293051,0.932134742725474,-0.596886270355598,0.159890096323618
"61","VIK","TempControl-7psu","A2",61,1.8354145293051,0.932134742725474,-0.580354434879277,0.198344676452083
"62","HOG","TempControl-7psu","A2",62,1.8354145293051,0.932134742725474,-0.613418105831919,0.121435516195153
"63","BAR","TempControl-7psu","A2",63,1.8354145293051,0.932134742725474,-0.613418105831919,0.121435516195153
"64","VAT","TempControl-7psu","A2",64,1.8354145293051,0.932134742725474,-0.580354434879277,0.159890096323618
"65","VIK","TempWarm-16psu","A3",65,4.75526060938339,9.06356207654117,0.924042593465955,3.62080230788548
"66","KAL","TempWarm-16psu","A3",66,4.75526060938339,9.06356207654117,0.890978922513312,3.58234772775701
"67","HOG","TempWarm-16psu","A3",67,4.75526060938339,9.06356207654117,0.907510757989633,3.62080230788548
"68","KUR","TempWarm-16psu","A3",68,4.75526060938339,9.06356207654117,0.907510757989633,3.62080230788548
"69","BJO","TempWarm-16psu","A3",69,4.75526060938339,9.06356207654117,0.824851580608027,3.46698398737162
"70","BAR","TempWarm-16psu","A3",70,4.75526060938339,9.06356207654117,0.924042593465955,3.65925688801394
"71","VAT","TempWarm-16psu","A3",71,4.75526060938339,9.06356207654117,0.890978922513312,3.62080230788548
"72","HOR","TempWarm-16psu","A3",72,4.75526060938339,9.06356207654117,0.907510757989633,3.62080230788548
"73","KAL","TempWarm-5psu","A3",73,4.75526060938339,9.06356207654117,-0.927522979882022,-0.609201506245684
"74","HOR","TempWarm-5psu","A3",74,4.75526060938339,9.06356207654117,-0.910991144405701,-0.609201506245684
"75","VAT","TempWarm-5psu","A3",75,4.75526060938339,9.06356207654117,-0.910991144405701,-0.570746926117219
"76","BAR","TempWarm-5psu","A3",76,4.75526060938339,9.06356207654117,-0.919257062143862,-0.609201506245684
"77","VIK","TempWarm-5psu","A3",77,4.75526060938339,9.06356207654117,-0.89445930892938,-0.532292345988754
"78","KUR","TempWarm-5psu","A3",78,4.75526060938339,9.06356207654117,-0.927522979882022,-0.647656086374149
"79","BJO","TempWarm-5psu","A3",79,4.75526060938339,9.06356207654117,-0.910991144405701,-0.570746926117219
"80","HOG","TempWarm-5psu","A3",80,4.75526060938339,9.06356207654117,-0.927522979882022,-0.609201506245684
"81","KAL","TempWarm-16psu","A3",81,4.75526060938339,9.06356207654117,0.85791525156067,3.50543856750008
"82","BJO","TempWarm-16psu","A3",82,4.75526060938339,9.06356207654117,0.907510757989633,3.65925688801394
"83","BAR","TempWarm-16psu","A3",83,4.75526060938339,9.06356207654117,0.907510757989633,3.62080230788548
"84","HOR","TempWarm-16psu","A3",84,4.75526060938339,9.06356207654117,0.890978922513312,3.62080230788548
"85","HOG","TempWarm-16psu","A3",85,4.75526060938339,9.06356207654117,0.890978922513312,3.58234772775701
"86","VIK","TempWarm-16psu","A3",86,4.75526060938339,9.06356207654117,0.907510757989633,3.65925688801394
