"","Pop","MLL_no","Indv_no","Pop_no","coast","lat","long","temp_mean_adjust","temp_max","temp_mean_adjust.1","sal_min","sal_mean_adjust","temp_scaled","max_temp_scaled","sal_scaled","min_sal_scaled"
"45","HOG",213,"HOG-18","18","West",56.1969,12.55141,17.7467,22.4425182342529,17.7467,7.18325344721476,16.7431,0.461358808178416,-0.534445959589902,0.944875963718393,1.10676926718713
"46","HOG",217,"HOG-07","07","West",56.1969,12.55141,17.7467,22.4425182342529,17.7467,7.18325344721476,16.7431,0.461358808178416,-0.534445959589902,0.944875963718393,1.10676926718713
"47","HOG",214,"HOG-10","10","West",56.1969,12.55141,17.7467,22.4425182342529,17.7467,7.18325344721476,16.7431,0.461358808178416,-0.534445959589902,0.944875963718393,1.10676926718713
"48","HOG",212,"HOG-17","17","West",56.1969,12.55141,17.7467,22.4425182342529,17.7467,7.18325344721476,16.7431,0.461358808178416,-0.534445959589902,0.944875963718393,1.10676926718713
"49","HOG",205,"HOG-06","06","West",56.1969,12.55141,17.7467,22.4425182342529,17.7467,7.18325344721476,16.7431,0.461358808178416,-0.534445959589902,0.944875963718393,1.10676926718713
"50","HOG",210,"HOG-15","15","West",56.1969,12.55141,17.7467,22.4425182342529,17.7467,7.18325344721476,16.7431,0.461358808178416,-0.534445959589902,0.944875963718393,1.10676926718713
"51","HOG",216,"HOG-08","08","West",56.1969,12.55141,17.7467,22.4425182342529,17.7467,7.18325344721476,16.7431,0.461358808178416,-0.534445959589902,0.944875963718393,1.10676926718713
"52","HOG",204,"HOG-05","05","West",56.1969,12.55141,17.7467,22.4425182342529,17.7467,7.18325344721476,16.7431,0.461358808178416,-0.534445959589902,0.944875963718393,1.10676926718713
"53","HOG",216,"HOG-11","11","West",56.1969,12.55141,17.7467,22.4425182342529,17.7467,7.18325344721476,16.7431,0.461358808178416,-0.534445959589902,0.944875963718393,1.10676926718713
"54","HOG",216,"HOG-12","12","West",56.1969,12.55141,17.7467,22.4425182342529,17.7467,7.18325344721476,16.7431,0.461358808178416,-0.534445959589902,0.944875963718393,1.10676926718713
"55","HOG",217,"HOG-13","13","West",56.1969,12.55141,17.7467,22.4425182342529,17.7467,7.18325344721476,16.7431,0.461358808178416,-0.534445959589902,0.944875963718393,1.10676926718713
"56","HOG",218,"HOG-19","19","West",56.1969,12.55141,17.7467,22.4425182342529,17.7467,7.18325344721476,16.7431,0.461358808178416,-0.534445959589902,0.944875963718393,1.10676926718713
"57","HOG",208,"HOG-09","09","West",56.1969,12.55141,17.7467,22.4425182342529,17.7467,7.18325344721476,16.7431,0.461358808178416,-0.534445959589902,0.944875963718393,1.10676926718713
"58","HOR",587,"HOR-02","02","West",57.695151,16.730625,15.1634,23.5119126637777,15.1634,5.73694976170858,1.7548,-1.74327365050268,0.655820538719076,-1.25927241452188,-0.375590409278697
"59","HOR",587,"HOR-03","03","West",57.695151,16.730625,15.1634,23.5119126637777,15.1634,5.73694976170858,1.7548,-1.74327365050268,0.655820538719076,-1.25927241452188,-0.375590409278697
"60","HOR",587,"HOR-10","10","West",57.695151,16.730625,15.1634,23.5119126637777,15.1634,5.73694976170858,1.7548,-1.74327365050268,0.655820538719076,-1.25927241452188,-0.375590409278697
"61","HOR",587,"HOR-11","11","West",57.695151,16.730625,15.1634,23.5119126637777,15.1634,5.73694976170858,1.7548,-1.74327365050268,0.655820538719076,-1.25927241452188,-0.375590409278697
"62","HOR",587,"HOR-12","12","West",57.695151,16.730625,15.1634,23.5119126637777,15.1634,5.73694976170858,1.7548,-1.74327365050268,0.655820538719076,-1.25927241452188,-0.375590409278697
