"","Pop","MLL_no","Indv_no","Pop_no","region","site_full","long","lat","temp_scaled8.5","sal_scaled8.5"
"76","HAN",754,"HAN-16","16","Finland","Hanko",22990247,59824232,-1.12395337498965,-1.38574164499056
"77","HOG",200,"HOG-01","01","Södra Höganäs","Höganäs",1255141,561969,0.165130590638291,0.288722385406568
"78","HOG",216,"HOG-02","02","Södra Höganäs","Höganäs",1255141,561969,0.165130590638291,0.288722385406568
"79","HOG",203,"HOG-04","04","Södra Höganäs","Höganäs",1255141,561969,0.165130590638291,0.288722385406568
"80","HOG",204,"HOG-05","05","Södra Höganäs","Höganäs",1255141,561969,0.165130590638291,0.288722385406568
"81","HOG",205,"HOG-06","06","Södra Höganäs","Höganäs",1255141,561969,0.165130590638291,0.288722385406568
"82","HOG",217,"HOG-07","07","Södra Höganäs","Höganäs",1255141,561969,0.165130590638291,0.288722385406568
"83","HOG",208,"HOG-09","09","Södra Höganäs","Höganäs",1255141,561969,0.165130590638291,0.288722385406568
"84","HOG",210,"HOG-15","15","Södra Höganäs","Höganäs",1255141,561969,0.165130590638291,0.288722385406568
"85","HOG",212,"HOG-17","17","Södra Höganäs","Höganäs",1255141,561969,0.165130590638291,0.288722385406568
"86","HOG",213,"HOG-18","18","Södra Höganäs","Höganäs",1255141,561969,0.165130590638291,0.288722385406568
"87","HOG",214,"HOG-10","10","Södra Höganäs","Höganäs",1255141,561969,0.165130590638291,0.288722385406568
"88","HOG",218,"HOG-19","19","Södra Höganäs","Höganäs",1255141,561969,0.165130590638291,0.288722385406568
"89","HOR",587,"HOR-10","10","Hornsudde","Hornsudde",16730625,57695151,-1.12395337498965,-1.23351764222719
"90","ING",771,"ING-01","01","Finland","Ingå",24039419,599906558,-1.12395337498965,-1.38574164499056
"91","KAL",426,"KAL-01","01","Kalmar","Kalmarsund",16351908,56654431,1.45421455626624,-1.08129363946381
"92","KAL",427,"KAL-02","02","Kalmar","Kalmarsund",16351908,56654431,1.45421455626624,-1.08129363946381
"93","KAL",441,"KAL-04","04","Kalmar","Kalmarsund",16351908,56654431,1.45421455626624,-1.08129363946381
"94","KAL",436,"KAL-06","06","Kalmar","Kalmarsund",16351908,56654431,1.45421455626624,-1.08129363946381
"95","KAL",448,"KAL-20","20","Kalmar","Kalmarsund",16351908,56654431,1.45421455626624,-1.08129363946381
"96","KAR",451,"KAR-02","02","Öland","Kårehamn",16912377,56969566,-0.479411392175681,-1.23351764222719
"97","KAR",460,"KAR-03","03","Öland","Kårehamn",16912377,56969566,-0.479411392175681,-1.23351764222719
"98","KAV",69,"KAV-01","01","Grebbestad-Fjällbacka","Kämpersvik",1127672,5864622,0.809672573452264,1.04984239922345
"99","KAV",71,"KAV-02","02","Grebbestad-Fjällbacka","Kämpersvik",1127672,5864622,0.809672573452264,1.04984239922345
"100","KAV",72,"KAV-03","03","Grebbestad-Fjällbacka","Kämpersvik",1127672,5864622,0.809672573452264,1.04984239922345
"101","KAV",75,"KAV-04","04","Grebbestad-Fjällbacka","Kämpersvik",1127672,5864622,0.809672573452264,1.04984239922345
"102","KAV",76,"KAV-05","05","Grebbestad-Fjällbacka","Kämpersvik",1127672,5864622,0.809672573452264,1.04984239922345
"103","KAV",77,"KAV-06","06","Grebbestad-Fjällbacka","Kämpersvik",1127672,5864622,0.809672573452264,1.04984239922345
"104","KAV",78,"KAV-07","07","Grebbestad-Fjällbacka","Kämpersvik",1127672,5864622,0.809672573452264,1.04984239922345
"105","KAV",79,"KAV-08","08","Grebbestad-Fjällbacka","Kämpersvik",1127672,5864622,0.809672573452264,1.04984239922345
"106","KAV",84,"KAV-11","11","Grebbestad-Fjällbacka","Kämpersvik",1127672,5864622,0.809672573452264,1.04984239922345
"107","KAV",85,"KAV-14","14","Grebbestad-Fjällbacka","Kämpersvik",1127672,5864622,0.809672573452264,1.04984239922345
"108","KAV",86,"KAV-15","15","Grebbestad-Fjällbacka","Kämpersvik",1127672,5864622,0.809672573452264,1.04984239922345
"109","KAV",87,"KAV-16","16","Grebbestad-Fjällbacka","Kämpersvik",1127672,5864622,0.809672573452264,1.04984239922345
"110","KAV",90,"KAV-17","17","Grebbestad-Fjällbacka","Kämpersvik",1127672,5864622,0.809672573452264,1.04984239922345
"111","KIE",2,"KIE-01","01","Germany","Kiel",10154972,54345615,1.45421455626624,-0.472397628410311
"112","KIE",4,"KIE-03","03","Germany","Kiel",10154972,54345615,1.45421455626624,-0.472397628410311
"113","KIE",5,"KIE-04","04","Germany","Kiel",10154972,54345615,1.45421455626624,-0.472397628410311
"114","KIE",7,"KIE-05","05","Germany","Kiel",10154972,54345615,1.45421455626624,-0.472397628410311
"115","KIE",11,"KIE-09","09","Germany","Kiel",10154972,54345615,1.45421455626624,-0.472397628410311
"116","KIE",12,"KIE-10","10","Germany","Kiel",10154972,54345615,1.45421455626624,-0.472397628410311
"117","KIE",14,"KIE-11","11","Germany","Kiel",10154972,54345615,1.45421455626624,-0.472397628410311
"118","KIE",15,"KIE-12","12","Germany","Kiel",10154972,54345615,1.45421455626624,-0.472397628410311
"119","KIE",16,"KIE-13","13","Germany","Kiel",10154972,54345615,1.45421455626624,-0.472397628410311
"120","KIE",20,"KIE-14","14","Germany","Kiel",10154972,54345615,1.45421455626624,-0.472397628410311
"121","KIE",21,"KIE-18","18","Germany","Kiel",10154972,54345615,1.45421455626624,-0.472397628410311
"122","KLI",563,"KLI-02","02","Gotland","Klintehamn",18152719,57401162,0.809672573452264,-1.23351764222719
"123","KLI",561,"KLI-07","07","Gotland","Klintehamn",18152719,57401162,0.809672573452264,-1.23351764222719
"124","KLI",575,"KLI-17","17","Gotland","Klintehamn",18152719,57401162,0.809672573452264,-1.23351764222719
"125","KLI",569,"KLI-06","06","Gotland","Klintehamn",18152719,57401162,0.809672573452264,-1.23351764222719
"126","KLI",573,"KLI-18","18","Gotland","Klintehamn",18152719,57401162,0.809672573452264,-1.23351764222719
"127","KOD",39,"KOD-04","04","Kosterhavet","Koster donor site",10991989,58882538,0.165130590638291,1.04984239922345
"128","KOD",25,"KOD-13","13","Kosterhavet","Koster donor site",10991989,58882538,0.165130590638291,1.04984239922345
"129","KOD",43,"KOD-15","15","Kosterhavet","Koster donor site",10991989,58882538,0.165130590638291,1.04984239922345
"130","KOD",28,"KOD-16","16","Kosterhavet","Koster donor site",10991989,58882538,0.165130590638291,1.04984239922345
"131","KOD",29,"KOD-18","18","Kosterhavet","Koster donor site",10991989,58882538,0.165130590638291,1.04984239922345
"132","KOD",30,"KOD-19","19","Kosterhavet","Koster donor site",10991989,58882538,0.165130590638291,1.04984239922345
"133","KOD",31,"KOD-20","20","Kosterhavet","Koster donor site",10991989,58882538,0.165130590638291,1.04984239922345
"134","KOD",33,"KOD-01","01","Kosterhavet","Koster donor site",10991989,58882538,0.165130590638291,1.04984239922345
"135","KOD",41,"KOD-10","10","Kosterhavet","Koster donor site",10991989,58882538,0.165130590638291,1.04984239922345
"136","KOD",42,"KOD-11","11","Kosterhavet","Koster donor site",10991989,58882538,0.165130590638291,1.04984239922345
"137","KRA",642,"KRA-04","04","Tystberga","Krampö",174658689,58690647,-2.4130373406176,-1.23351764222719
"138","KUR",288,"KUR-01","01","Trelleborg","Kurland",12982861,55395972,0.165130590638291,-0.929069636700438
"139","KUR",291,"KUR-07","07","Trelleborg","Kurland",12982861,55395972,0.165130590638291,-0.929069636700438
"140","KUR",294,"KUR-09","09","Trelleborg","Kurland",12982861,55395972,0.165130590638291,-0.929069636700438
"141","KUR",296,"KUR-10","10","Trelleborg","Kurland",12982861,55395972,0.165130590638291,-0.929069636700438
"142","KUR",297,"KUR-11","11","Trelleborg","Kurland",12982861,55395972,0.165130590638291,-0.929069636700438
"143","KUR",299,"KUR-13","13","Trelleborg","Kurland",12982861,55395972,0.165130590638291,-0.929069636700438
"144","KUR",302,"KUR-14","14","Trelleborg","Kurland",12982861,55395972,0.165130590638291,-0.929069636700438
"145","KUR",306,"KUR-18","18","Trelleborg","Kurland",12982861,55395972,0.165130590638291,-0.929069636700438
"146","LJU",540,"LJU-01","01","Gotland","Ljugarn",18695397,57319176,-0.479411392175681,-1.23351764222719
"147","LJU",546,"LJU-08","08","Gotland","Ljugarn",18695397,57319176,-0.479411392175681,-1.23351764222719
"148","LJU",551,"LJU-17","17","Gotland","Ljugarn",18695397,57319176,-0.479411392175681,-1.23351764222719
"149","LJU",555,"LJU-20","20","Gotland","Ljugarn",18695397,57319176,-0.479411392175681,-1.23351764222719
"150","LOM",265,"LOM-01","01","Lomma","South Lomma Bay",1305485,5567242,0.165130590638291,-0.929069636700438
"151","LOM",267,"LOM-02","02","Lomma","South Lomma Bay",1305485,5567242,0.165130590638291,-0.929069636700438
"152","LOM",268,"LOM-04","04","Lomma","South Lomma Bay",1305485,5567242,0.165130590638291,-0.929069636700438
"153","LOM",270,"LOM-05","05","Lomma","South Lomma Bay",1305485,5567242,0.165130590638291,-0.929069636700438
"154","LOM",273,"LOM-07","07","Lomma","South Lomma Bay",1305485,5567242,0.165130590638291,-0.929069636700438
"155","LOM",274,"LOM-10","10","Lomma","South Lomma Bay",1305485,5567242,0.165130590638291,-0.929069636700438
"156","LOM",275,"LOM-11","11","Lomma","South Lomma Bay",1305485,5567242,0.165130590638291,-0.929069636700438
"157","LOM",277,"LOM-12","12","Lomma","South Lomma Bay",1305485,5567242,0.165130590638291,-0.929069636700438
"158","LOM",278,"LOM-14","14","Lomma","South Lomma Bay",1305485,5567242,0.165130590638291,-0.929069636700438
"159","LOM",279,"LOM-16","16","Lomma","South Lomma Bay",1305485,5567242,0.165130590638291,-0.929069636700438
"160","LOM",280,"LOM-17","17","Lomma","South Lomma Bay",1305485,5567242,0.165130590638291,-0.929069636700438
"161","LOM",281,"LOM-18","18","Lomma","South Lomma Bay",1305485,5567242,0.165130590638291,-0.929069636700438
"162","LOM",282,"LOM-19","19","Lomma","South Lomma Bay",1305485,5567242,0.165130590638291,-0.929069636700438
"163","LOM",284,"LOM-20","20","Lomma","South Lomma Bay",1305485,5567242,0.165130590638291,-0.929069636700438
"164","NOV",138,"NOV-01","01","Sälöfjorden","N. Överön",11728779,57795244,0.809672573452264,0.593170390933319
"165","NOV",144,"NOV-04","04","Sälöfjorden","N. Överön",11728779,57795244,0.809672573452264,0.593170390933319
"166","NOV",147,"NOV-06","06","Sälöfjorden","N. Överön",11728779,57795244,0.809672573452264,0.593170390933319
"167","NOV",146,"NOV-08","08","Sälöfjorden","N. Överön",11728779,57795244,0.809672573452264,0.593170390933319
"168","NOV",148,"NOV-13","13","Sälöfjorden","N. Överön",11728779,57795244,0.809672573452264,0.593170390933319
"169","NOV",149,"NOV-14","14","Sälöfjorden","N. Överön",11728779,57795244,0.809672573452264,0.593170390933319
"170","NOV",150,"NOV-15","15","Sälöfjorden","N. Överön",11728779,57795244,0.809672573452264,0.593170390933319
"171","NOV",152,"NOV-18","18","Sälöfjorden","N. Överön",11728779,57795244,0.809672573452264,0.593170390933319
"172","NOV",153,"NOV-20","20","Sälöfjorden","N. Överön",11728779,57795244,0.809672573452264,0.593170390933319
"173","NYN",659,"NYN-02","02","Nynäshamn","Nynäshamn",179542217,588811079,-4.34666328905952,-1.23351764222719
"174","NYN",649,"NYN-03","03","Nynäshamn","Nynäshamn",179542217,588811079,-4.34666328905952,-1.23351764222719
"175","OSK",471,"OSK-01","01","Oskarshamn","Oskarshamn",16583068,57031518,-1.76849535780363,-1.08129363946381
"176","OSK",474,"OSK-06","06","Oskarshamn","Oskarshamn",16583068,57031518,-1.76849535780363,-1.08129363946381
