"","pop","mll_no","indv_no","pop_no","df","order","median_temp","max_temp","median_sal","min_sal"
"50","VHA",97,"VHA-06","06","seascape",84,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"51","VHA",98,"VHA-07","07","seascape",85,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"52","VHA",99,"VHA-08","08","seascape",86,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"53","VHA",100,"VHA-09","09","seascape",87,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"54","VHA",101,"VHA-10","10","seascape",88,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"55","VHA",102,"VHA-11","11","seascape",89,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"56","VHA",104,"VHA-13","13","seascape",91,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"57","VHA",106,"VHA-15","15","seascape",93,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"58","VHA",107,"VHA-16","16","seascape",94,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"59","VHA",108,"VHA-17","17","seascape",95,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"60","VHA",110,"VHA-18","18","seascape",96,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"61","VHA",112,"VHA-19","19","seascape",97,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"62","VHA",115,"VHA-20","20","seascape",98,-0.643619908891747,0.0432025998331731,2.05921534466598,1.00234305504151
"63","STE",116,"STE-01","01","seascape",99,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"64","STE",117,"STE-03","03","seascape",100,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"65","STE",118,"STE-04","04","seascape",101,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"66","STE",119,"STE-05","05","seascape",102,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"67","STE",121,"STE-07","07","seascape",103,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"68","STE",122,"STE-09","09","seascape",104,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"69","STE",123,"STE-11","11","seascape",105,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"70","STE",124,"STE-12","12","seascape",107,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"71","STE",126,"STE-14","14","seascape",108,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"72","STE",127,"STE-17","17","seascape",109,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"73","STE",131,"STE-19","19","seascape",110,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"74","STE",132,"STE-20","20","seascape",111,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"75","STE",133,"STE-02","02","seascape",112,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"76","STE",135,"STE-06","06","seascape",113,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"77","STE",136,"STE-08","08","seascape",115,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"78","STE",137,"STE-18","18","seascape",118,-0.0922173812181188,-0.594677256838114,1.59210878845993,0.786627211443226
"79","NOV",138,"NOV-01","01","seascape",119,0.183483882618695,-0.594677256838114,0.969300046851878,-0.507667850146463
"80","NOV",144,"NOV-04","04","seascape",121,0.183483882618695,-0.594677256838114,0.969300046851878,-0.507667850146463
"81","NOV",146,"NOV-08","08","seascape",123,0.183483882618695,-0.594677256838114,0.969300046851878,-0.507667850146463
"82","NOV",147,"NOV-06","06","seascape",124,0.183483882618695,-0.594677256838114,0.969300046851878,-0.507667850146463
"83","NOV",148,"NOV-13","13","seascape",126,0.183483882618695,-0.594677256838114,0.969300046851878,-0.507667850146463
"84","NOV",149,"NOV-14","14","seascape",127,0.183483882618695,-0.594677256838114,0.969300046851878,-0.507667850146463
"85","NOV",150,"NOV-15","15","seascape",128,0.183483882618695,-0.594677256838114,0.969300046851878,-0.507667850146463
"86","NOV",152,"NOV-18","18","seascape",130,0.183483882618695,-0.594677256838114,0.969300046851878,-0.507667850146463
"87","NOV",153,"NOV-20","20","seascape",131,0.183483882618695,-0.594677256838114,0.969300046851878,-0.507667850146463
"88","SBR",154,"SBR-01","01","seascape",132,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"89","SBR",157,"SBR-02","02","seascape",133,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"90","SBR",159,"SBR-03","03","seascape",134,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"91","SBR",160,"SBR-04","04","seascape",135,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"92","SBR",161,"SBR-05","05","seascape",136,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"93","SBR",162,"SBR-07","07","seascape",137,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"94","SBR",163,"SBR-08","08","seascape",138,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"95","SBR",164,"SBR-09","09","seascape",139,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"96","SBR",165,"SBR-10","10","seascape",140,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"97","SBR",166,"SBR-11","11","seascape",141,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"98","SBR",167,"SBR-12","12","seascape",142,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"99","SBR",168,"SBR-13","13","seascape",143,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"100","SBR",169,"SBR-14","14","seascape",144,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"101","SBR",170,"SBR-15","15","seascape",145,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"102","SBR",171,"SBR-16","16","seascape",146,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"103","SBR",172,"SBR-17","17","seascape",147,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"104","SBR",173,"SBR-18","18","seascape",148,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"105","SBR",174,"SBR-19","19","seascape",149,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"106","SBR",175,"SBR-20","20","seascape",150,0.183483882618695,-0.594677256838114,0.813597861449864,-1.58624706813787
"107","GOT",176,"GOT-01","01","seascape",151,-0.367918645054933,-0.275737328502471,1.12500223225389,0.355195524246663
"108","GOT",177,"GOT-05","05","seascape",152,-0.367918645054933,-0.275737328502471,1.12500223225389,0.355195524246663
"109","GOT",178,"GOT-06","06","seascape",153,-0.367918645054933,-0.275737328502471,1.12500223225389,0.355195524246663
"110","GOT",179,"GOT-09","09","seascape",154,-0.367918645054933,-0.275737328502471,1.12500223225389,0.355195524246663
"111","GRO",193,"GRO-01","01","seascape",155,0.183483882618695,-0.594677256838114,0.190789119841807,0.139479680648381
"112","GRO",197,"GRO-10","10","seascape",172,0.183483882618695,-0.594677256838114,0.190789119841807,0.139479680648381
"113","HOG",200,"HOG-01","01","seascape",173,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
"114","HOG",203,"HOG-04","04","seascape",174,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
"115","HOG",204,"HOG-05","05","seascape",175,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
"116","HOG",205,"HOG-06","06","seascape",176,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
"117","HOG",208,"HOG-09","09","seascape",177,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
"118","HOG",210,"HOG-15","15","seascape",178,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
"119","HOG",212,"HOG-17","17","seascape",180,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
"120","HOG",213,"HOG-18","18","seascape",181,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
"121","HOG",214,"HOG-10","10","seascape",182,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
"122","HOG",216,"HOG-02","02","seascape",187,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
"123","HOG",217,"HOG-07","07","seascape",189,-0.0922173812181188,-0.913617185173758,0.813597861449864,-0.291952006548182
