"","coast","pop","mll_no","indv_no","pop_no","site_full","trt","median_temp","max_temp","median_sal","min_sal","cf"
"61","east","AHU",361,"AHU-09","09","Åhus","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"62","east","AHU",361,"AHU-10","10","Åhus","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"63","east","AHU",361,"AHU-11","11","Åhus","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"64","east","AHU",366,"AHU-02","02","Åhus","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"65","east","AHU",366,"AHU-03","03","Åhus","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"66","east","AHU",366,"AHU-04","04","Åhus","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"67","east","AHU",366,"AHU-06","06","Åhus","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"68","east","AHU",366,"AHU-07","07","Åhus","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"69","east","AHU",366,"AHU-14","14","Åhus","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"70","east","AHU",366,"AHU-15","15","Åhus","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"71","east","AHU",366,"AHU-16","16","Åhus","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"72","east","AHU",366,"AHU-19","19","Åhus","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"73","east","AHU",366,"AHU-20","20","Åhus","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"74","east","AHU",367,"AHU-13","13","Åhus","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"75","east","AHU",367,"AHU-17","17","Åhus","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"76","east","AHU",367,"AHU-18","18","Åhus","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"77","east","FUR",379,"FUR-18","18","Furumon","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"78","east","FUR",379,"FUR-19","19","Furumon","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"79","east","FUR",383,"FUR-02","02","Furumon","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"80","east","FUR",383,"FUR-07","07","Furumon","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"81","east","FUR",383,"FUR-08","08","Furumon","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"82","east","FUR",383,"FUR-09","09","Furumon","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"83","east","FUR",383,"FUR-11","11","Furumon","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"84","east","FUR",383,"FUR-13","13","Furumon","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"85","east","FUR",383,"FUR-14","14","Furumon","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
