"","pop","trt","tank_ID","bagnum_text","median_temp","max_temp","median_sal","min_sal","df","median_temp_std","max_temp_std","median_sal_std","min_sal_std"
"57","KUR","TempControl-7psu","A2",57,20.117509765625,24.62205078125,7,7,"treatment",1.78399452763005,0.89432832690169,-0.620947143365477,0.0844386303146261
"58","BJO","TempControl-7psu","A2",58,20.117509765625,24.62205078125,7,6.9,"treatment",1.78399452763005,0.89432832690169,-0.620947143365477,0.0467660106357931
"59","KAL","TempControl-7psu","A2",59,20.117509765625,24.62205078125,7,7,"treatment",1.78399452763005,0.89432832690169,-0.620947143365477,0.0844386303146261
"60","HOR","TempControl-7psu","A2",60,20.117509765625,24.62205078125,7.1,7.1,"treatment",1.78399452763005,0.89432832690169,-0.604137372389888,0.122111249993459
"61","VIK","TempControl-7psu","A2",61,20.117509765625,24.62205078125,7.2,7.2,"treatment",1.78399452763005,0.89432832690169,-0.5873276014143,0.159783869672292
"62","HOG","TempControl-7psu","A2",62,20.117509765625,24.62205078125,7,7,"treatment",1.78399452763005,0.89432832690169,-0.620947143365477,0.0844386303146261
"63","BAR","TempControl-7psu","A2",63,20.117509765625,24.62205078125,7,7,"treatment",1.78399452763005,0.89432832690169,-0.620947143365477,0.0844386303146261
"64","VAT","TempControl-7psu","A2",64,20.117509765625,24.62205078125,7.2,7.1,"treatment",1.78399452763005,0.89432832690169,-0.5873276014143,0.122111249993459
"65","VIK","TempWarm-16psu","A3",65,26.123564453125,32.34412109375,16.3,16.1,"treatment",4.71563920043973,8.87944885442384,0.942361557364223,3.51264702108844
"66","KAL","TempWarm-16psu","A3",66,26.123564453125,32.34412109375,16.1,16,"treatment",4.71563920043973,8.87944885442384,0.908742015413047,3.47497440140961
"67","HOG","TempWarm-16psu","A3",67,26.123564453125,32.34412109375,16.2,16.1,"treatment",4.71563920043973,8.87944885442384,0.925551786388634,3.51264702108844
"68","KUR","TempWarm-16psu","A3",68,26.123564453125,32.34412109375,16.2,16.1,"treatment",4.71563920043973,8.87944885442384,0.925551786388634,3.51264702108844
"69","BJO","TempWarm-16psu","A3",69,26.123564453125,32.34412109375,15.7,15.7,"treatment",4.71563920043973,8.87944885442384,0.841502931510694,3.36195654237311
"70","BAR","TempWarm-16psu","A3",70,26.123564453125,32.34412109375,16.3,16.2,"treatment",4.71563920043973,8.87944885442384,0.942361557364223,3.55031964076727
"71","VAT","TempWarm-16psu","A3",71,26.123564453125,32.34412109375,16.1,16.1,"treatment",4.71563920043973,8.87944885442384,0.908742015413047,3.51264702108844
"72","HOR","TempWarm-16psu","A3",72,26.123564453125,32.34412109375,16.2,16.1,"treatment",4.71563920043973,8.87944885442384,0.925551786388634,3.51264702108844
"73","KAL","TempWarm-5psu","A3",73,26.123564453125,32.34412109375,5.1,5.1,"treatment",4.71563920043973,8.87944885442384,-0.940332791901652,-0.631341143583203
"74","HOR","TempWarm-5psu","A3",74,26.123564453125,32.34412109375,5.2,5.1,"treatment",4.71563920043973,8.87944885442384,-0.923523020926063,-0.631341143583203
"75","VAT","TempWarm-5psu","A3",75,26.123564453125,32.34412109375,5.2,5.2,"treatment",4.71563920043973,8.87944885442384,-0.923523020926063,-0.59366852390437
"76","BAR","TempWarm-5psu","A3",76,26.123564453125,32.34412109375,5.15,5.1,"treatment",4.71563920043973,8.87944885442384,-0.931927906413857,-0.631341143583203
"77","VIK","TempWarm-5psu","A3",77,26.123564453125,32.34412109375,5.3,5.3,"treatment",4.71563920043973,8.87944885442384,-0.906713249950475,-0.555995904225537
"78","KUR","TempWarm-5psu","A3",78,26.123564453125,32.34412109375,5.1,5,"treatment",4.71563920043973,8.87944885442384,-0.940332791901652,-0.669013763262036
"79","BJO","TempWarm-5psu","A3",79,26.123564453125,32.34412109375,5.2,5.2,"treatment",4.71563920043973,8.87944885442384,-0.923523020926063,-0.59366852390437
"80","HOG","TempWarm-5psu","A3",80,26.123564453125,32.34412109375,5.1,5.1,"treatment",4.71563920043973,8.87944885442384,-0.940332791901652,-0.631341143583203
"81","KAL","TempWarm-16psu","A3",81,26.123564453125,32.34412109375,15.9,15.8,"treatment",4.71563920043973,8.87944885442384,0.87512247346187,3.39962916205194
"82","BJO","TempWarm-16psu","A3",82,26.123564453125,32.34412109375,16.2,16.2,"treatment",4.71563920043973,8.87944885442384,0.925551786388634,3.55031964076727
"83","BAR","TempWarm-16psu","A3",83,26.123564453125,32.34412109375,16.2,16.1,"treatment",4.71563920043973,8.87944885442384,0.925551786388634,3.51264702108844
"84","HOR","TempWarm-16psu","A3",84,26.123564453125,32.34412109375,16.1,16.1,"treatment",4.71563920043973,8.87944885442384,0.908742015413047,3.51264702108844
"85","HOG","TempWarm-16psu","A3",85,26.123564453125,32.34412109375,16.1,16,"treatment",4.71563920043973,8.87944885442384,0.908742015413047,3.47497440140961
"86","VIK","TempWarm-16psu","A3",86,26.123564453125,32.34412109375,16.2,16.2,"treatment",4.71563920043973,8.87944885442384,0.925551786388634,3.55031964076727
"87","VAT","TempWarm-16psu","A3",87,26.123564453125,32.34412109375,16.1,16,"treatment",4.71563920043973,8.87944885442384,0.908742015413047,3.47497440140961
"88","KUR","TempWarm-16psu","A3",88,26.123564453125,32.34412109375,16.1,16,"treatment",4.71563920043973,8.87944885442384,0.908742015413047,3.47497440140961
"89","HOG","TempWarm-5psu","A3",89,26.123564453125,32.34412109375,5.1,5.1,"treatment",4.71563920043973,8.87944885442384,-0.940332791901652,-0.631341143583203
"90","BAR","TempWarm-5psu","A3",90,26.123564453125,32.34412109375,5.1,5.1,"treatment",4.71563920043973,8.87944885442384,-0.940332791901652,-0.631341143583203
"91","BJO","TempWarm-5psu","A3",91,26.123564453125,32.34412109375,5.2,5.2,"treatment",4.71563920043973,8.87944885442384,-0.923523020926063,-0.59366852390437
"92","KUR","TempWarm-5psu","A3",92,26.123564453125,32.34412109375,5.1,5.1,"treatment",4.71563920043973,8.87944885442384,-0.940332791901652,-0.631341143583203
"93","KAL","TempWarm-5psu","A3",93,26.123564453125,32.34412109375,5.1,5.1,"treatment",4.71563920043973,8.87944885442384,-0.940332791901652,-0.631341143583203
"94","VIK","TempWarm-5psu","A3",94,26.123564453125,32.34412109375,5.3,5.3,"treatment",4.71563920043973,8.87944885442384,-0.906713249950475,-0.555995904225537
"95","HOR","TempWarm-5psu","A3",95,26.123564453125,32.34412109375,5.1,5,"treatment",4.71563920043973,8.87944885442384,-0.940332791901652,-0.669013763262036
"96","VAT","TempWarm-5psu","A3",96,26.123564453125,32.34412109375,5.2,5.2,"treatment",4.71563920043973,8.87944885442384,-0.923523020926063,-0.59366852390437
"97","HOG","TempWarm-16psu","A4",97,26.16646484375,34.23173828125,16.2,16.1,"treatment",4.73657951953123,10.8313672055959,0.925551786388634,3.51264702108844
"98","BJO","TempWarm-16psu","A4",98,26.16646484375,34.23173828125,16.3,16.2,"treatment",4.73657951953123,10.8313672055959,0.942361557364223,3.55031964076727
"99","VAT","TempWarm-16psu","A4",99,26.16646484375,34.23173828125,16.2,16.2,"treatment",4.73657951953123,10.8313672055959,0.925551786388634,3.55031964076727
