"","coast","pop","mll_no","indv_no","pop_no","site_full","trt","median_temp","max_temp","median_sal","min_sal","cf"
"56","east","KLI",563,"KLI-02","02","Klintehamn","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"57","east","KLI",569,"KLI-06","06","Klintehamn","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"58","east","KLI",573,"KLI-18","18","Klintehamn","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"59","east","KLI",575,"KLI-17","17","Klintehamn","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"60","east","HOR",587,"HOR-10","10","Hornsudde","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"61","east","SLI",594,"SLI-04","04","Slite","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"62","east","SLI",597,"SLI-02","02","Slite","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"63","east","SLI",606,"SLI-05","05","Slite","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"64","east","EKO",615,"EKO-01","01","Ekön","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"65","east","EKO",624,"EKO-09","09","Ekön","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"66","east","KRA",642,"KRA-04","04","Krampö","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"67","east","NYN",649,"NYN-03","03","Nynäshamn","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"68","east","NYN",659,"NYN-02","02","Nynäshamn","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"69","east","GAL",669,"GAL-01","01","Gålö","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"70","east","GAL",687,"GAL-16","16","Gålö","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"71","east","BJO",703,"BJO-01","01","Björkö","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"72","east","RAU",714,"RAU-01","01","Rauma","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"73","east","HAN",744,"HAN-01","01","Hanko","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"74","east","HAN",749,"HAN-11","11","Hanko","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"75","east","HAN",754,"HAN-16","16","Hanko","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"76","east","ING",771,"ING-01","01","Ingå","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"77","east","TAL",785,"TAL-01","01","Tallinn","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"78","east","TAL",801,"TAL-12","12","Tallinn","TempWarm-5psu",3.12868556426628,4.04838935694092,-0.988266361781929,-0.720499095240018,"future"
"79","west","KIE",2,"KIE-01","01","Kiel","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"80","west","KIE",4,"KIE-03","03","Kiel","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"81","west","KIE",5,"KIE-04","04","Kiel","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"82","west","KIE",7,"KIE-05","05","Kiel","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"83","west","KIE",11,"KIE-09","09","Kiel","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
"84","west","KIE",12,"KIE-10","10","Kiel","TempWarm-16psu",3.12868556426628,4.04838935694092,0.734582292253784,2.44207699008182,"future"
