"","trt","bagnum","tank","pop","genet","ind","max_temp","med_temp","min_sal","avg_sal"
"280","TempWarm-16psu","084","A3","HOR","gen-11","HOR_gen-11",34.23173828125,26.0806640625,16,16
"220","TempWarm-16psu","085","A3","HOG","gen-11","HOG_gen-11",34.23173828125,26.0806640625,16,16
"219","TempWarm-16psu","086","A3","VIK","gen-11","VIK_gen-11",34.23173828125,26.0806640625,16,16
"194","TempWarm-16psu","087","A3","VAT","gen-11","VAT_gen-11",34.23173828125,26.0806640625,16,16
"211","TempWarm-16psu","088","A3","KUR","gen-11","KUR_gen-11",34.23173828125,26.0806640625,16,16
"302","TempWarm-5psu","089","A3","HOG","gen-12","HOG_gen-12",34.23173828125,26.0806640625,5,5
"375","TempWarm-5psu","090","A3","BAR","gen-12","BAR_gen-12",34.23173828125,26.0806640625,5,5
"293","TempWarm-5psu","091","A3","BJO","gen-12","BJO_gen-12",34.23173828125,26.0806640625,5,5
"333","TempWarm-5psu","092","A3","KUR","gen-12","KUR_gen-12",34.23173828125,26.0806640625,5,5
"350","TempWarm-5psu","093","A3","KAL","gen-12","KAL_gen-12",34.23173828125,26.0806640625,5,5
"341","TempWarm-5psu","094","A3","VIK","gen-12","VIK_gen-12",34.23173828125,26.0806640625,5,5
"325","TempWarm-5psu","095","A3","HOR","gen-12","HOR_gen-12",34.23173828125,26.0806640625,5,5
"357","TempWarm-5psu","096","A3","VAT","gen-12","VAT_gen-12",34.23173828125,26.0806640625,5,5
"235","TempWarm-16psu","097","A4","HOG","gen-13","HOG_gen-13",34.23173828125,26.0806640625,16,16
"201","TempWarm-16psu","098","A4","BJO","gen-13","BJO_gen-13",34.23173828125,26.0806640625,16,16
"222","TempWarm-16psu","099","A4","VAT","gen-13","VAT_gen-13",34.23173828125,26.0806640625,16,16
"227","TempWarm-16psu","100","A4","BAR","gen-13","BAR_gen-13",34.23173828125,26.0806640625,16,16
"221","TempWarm-16psu","101","A4","VIK","gen-13","VIK_gen-13",34.23173828125,26.0806640625,16,16
"273","TempWarm-16psu","102","A4","HOR","gen-13","HOR_gen-13",34.23173828125,26.0806640625,16,16
"271","TempWarm-16psu","103","A4","KAL","gen-13","KAL_gen-13",34.23173828125,26.0806640625,16,16
"213","TempWarm-16psu","104","A4","KUR","gen-13","KUR_gen-13",34.23173828125,26.0806640625,16,16
"352","TempWarm-5psu","105","A4","KAL","gen-14","KAL_gen-14",34.23173828125,26.0806640625,5,5
"343","TempWarm-5psu","106","A4","VIK","gen-14","VIK_gen-14",34.23173828125,26.0806640625,5,5
"296","TempWarm-5psu","107","A4","BJO","gen-14","BJO_gen-14",34.23173828125,26.0806640625,5,5
"335","TempWarm-5psu","108","A4","KUR","gen-14","KUR_gen-14",34.23173828125,26.0806640625,5,5
"359","TempWarm-5psu","109","A4","VAT","gen-14","VAT_gen-14",34.23173828125,26.0806640625,5,5
"377","TempWarm-5psu","110","A4","BAR","gen-14","BAR_gen-14",34.23173828125,26.0806640625,5,5
"327","TempWarm-5psu","111","A4","HOR","gen-14","HOR_gen-14",34.23173828125,26.0806640625,5,5
"304","TempWarm-5psu","112","A4","HOG","gen-14","HOG_gen-14",34.23173828125,26.0806640625,5,5
"268","TempWarm-16psu","113","A4","KAL","gen-15","KAL_gen-15",34.23173828125,26.0806640625,16,16
"206","TempWarm-16psu","114","A4","BAR","gen-15","BAR_gen-15",34.23173828125,26.0806640625,16,16
"256","TempWarm-16psu","115","A4","KUR","gen-15","KUR_gen-15",34.23173828125,26.0806640625,16,16
"249","TempWarm-16psu","116","A4","HOR","gen-15","HOR_gen-15",34.23173828125,26.0806640625,16,16
"196","TempWarm-16psu","117","A4","HOG","gen-15","HOG_gen-15",34.23173828125,26.0806640625,16,16
"276","TempWarm-16psu","118","A4","BJO","gen-15","BJO_gen-15",34.23173828125,26.0806640625,16,16
"202","TempWarm-16psu","119","A4","VAT","gen-15","VAT_gen-15",34.23173828125,26.0806640625,16,16
"209","TempWarm-16psu","120","A4","VIK","gen-15","VIK_gen-15",34.23173828125,26.0806640625,16,16
"330","TempWarm-5psu","121","A4","HOR","gen-16","HOR_gen-16",34.23173828125,26.0806640625,5,5
"308","TempWarm-5psu","122","A4","BJO","gen-16","BJO_gen-16",34.23173828125,26.0806640625,5,5
"378","TempWarm-5psu","123","A4","KUR","gen-16","KUR_gen-16",34.23173828125,26.0806640625,5,5
"295","TempWarm-5psu","124","A4","HOG","gen-16","HOG_gen-16",34.23173828125,26.0806640625,5,5
"361","TempWarm-5psu","125","A4","VAT","gen-16","VAT_gen-16",34.23173828125,26.0806640625,5,5
"313","TempWarm-5psu","126","A4","KAL","gen-16","KAL_gen-16",34.23173828125,26.0806640625,5,5
"298","TempWarm-5psu","127","A4","BAR","gen-16","BAR_gen-16",34.23173828125,26.0806640625,5,5
"345","TempWarm-5psu","128","A4","VIK","gen-16","VIK_gen-16",34.23173828125,26.0806640625,5,5
"204","TempWarm-16psu","129","B1","BAR","gen-17","BAR_gen-17",34.23173828125,26.0806640625,16,16
"225","TempWarm-16psu","130","B1","HOG","gen-17","HOG_gen-17",34.23173828125,26.0806640625,16,16
"278","TempWarm-16psu","131","B1","HOR","gen-17","HOR_gen-17",34.23173828125,26.0806640625,16,16
"241","TempWarm-16psu","132","B1","VAT","gen-17","VAT_gen-17",34.23173828125,26.0806640625,16,16
"215","TempWarm-16psu","133","B1","BJO","gen-17","BJO_gen-17",34.23173828125,26.0806640625,16,16
"234","TempWarm-16psu","134","B1","KAL","gen-17","KAL_gen-17",34.23173828125,26.0806640625,16,16
"200","TempWarm-16psu","135","B1","VIK","gen-17","VIK_gen-17",34.23173828125,26.0806640625,16,16
"217","TempWarm-16psu","136","B1","KUR","gen-17","KUR_gen-17",34.23173828125,26.0806640625,16,16
"315","TempWarm-5psu","137","B1","KAL","gen-18","KAL_gen-18",34.23173828125,26.0806640625,5,5
"299","TempWarm-5psu","138","B1","BAR","gen-18","BAR_gen-18",34.23173828125,26.0806640625,5,5
"380","TempWarm-5psu","139","B1","KUR","gen-18","KUR_gen-18",34.23173828125,26.0806640625,5,5
"332","TempWarm-5psu","140","B1","HOR","gen-18","HOR_gen-18",34.23173828125,26.0806640625,5,5
"324","TempWarm-5psu","141","B1","BJO","gen-18","BJO_gen-18",34.23173828125,26.0806640625,5,5
"363","TempWarm-5psu","142","B1","VAT","gen-18","VAT_gen-18",34.23173828125,26.0806640625,5,5
"347","TempWarm-5psu","143","B1","VIK","gen-18","VIK_gen-18",34.23173828125,26.0806640625,5,5
"307","TempWarm-5psu","144","B1","HOG","gen-18","HOG_gen-18",34.23173828125,26.0806640625,5,5
"244","TempWarm-16psu","145","B1","BJO","gen-19","BJO_gen-19",34.23173828125,26.0806640625,16,16
"226","TempWarm-16psu","146","B1","VIK","gen-19","VIK_gen-19",34.23173828125,26.0806640625,16,16
"218","TempWarm-16psu","147","B1","KUR","gen-19","KUR_gen-19",34.23173828125,26.0806640625,16,16
"272","TempWarm-16psu","148","B1","KAL","gen-19","KAL_gen-19",34.23173828125,26.0806640625,16,16
"198","TempWarm-16psu","149","B1","BAR","gen-19","BAR_gen-19",34.23173828125,26.0806640625,16,16
"285","TempWarm-16psu","150","B1","HOR","gen-19","HOR_gen-19",34.23173828125,26.0806640625,16,16
"240","TempWarm-16psu","151","B1","HOG","gen-19","HOG_gen-19",34.23173828125,26.0806640625,16,16
"243","TempWarm-16psu","152","B1","VAT","gen-19","VAT_gen-19",34.23173828125,26.0806640625,16,16
"382","TempWarm-5psu","153","B1","KUR","gen-20","KUR_gen-20",34.23173828125,26.0806640625,5,5
"292","TempWarm-5psu","154","B1","BAR","gen-20","BAR_gen-20",34.23173828125,26.0806640625,5,5
"326","TempWarm-5psu","155","B1","BJO","gen-20","BJO_gen-20",34.23173828125,26.0806640625,5,5
"297","TempWarm-5psu","156","B1","HOG","gen-20","HOG_gen-20",34.23173828125,26.0806640625,5,5
"365","TempWarm-5psu","157","B1","VAT","gen-20","VAT_gen-20",34.23173828125,26.0806640625,5,5
"349","TempWarm-5psu","158","B1","VIK","gen-20","VIK_gen-20",34.23173828125,26.0806640625,5,5
"317","TempWarm-5psu","159","B1","KAL","gen-20","KAL_gen-20",34.23173828125,26.0806640625,5,5
"334","TempWarm-5psu","160","B1","HOR","gen-20","HOR_gen-20",34.23173828125,26.0806640625,5,5
"203","TempWarm-16psu","161","B2","BAR","gen-21","BAR_gen-21",34.23173828125,26.0806640625,16,16
"229","TempWarm-16psu","162","B2","HOG","gen-21","HOG_gen-21",34.23173828125,26.0806640625,16,16
"245","TempWarm-16psu","163","B2","VAT","gen-21","VAT_gen-21",34.23173828125,26.0806640625,16,16
"265","TempWarm-16psu","164","B2","KAL","gen-21","KAL_gen-21",34.23173828125,26.0806640625,16,16
"228","TempWarm-16psu","165","B2","VIK","gen-21","VIK_gen-21",34.23173828125,26.0806640625,16,16
"195","TempWarm-16psu","166","B2","KUR","gen-21","KUR_gen-21",34.23173828125,26.0806640625,16,16
"246","TempWarm-16psu","167","B2","BJO","gen-21","BJO_gen-21",34.23173828125,26.0806640625,16,16
"282","TempWarm-16psu","168","B2","HOR","gen-21","HOR_gen-21",34.23173828125,26.0806640625,16,16
"319","TempWarm-5psu","169","B2","KAL","gen-22","KAL_gen-22",34.23173828125,26.0806640625,5,5
"336","TempWarm-5psu","170","B2","HOR","gen-22","HOR_gen-22",34.23173828125,26.0806640625,5,5
"351","TempWarm-5psu","171","B2","VIK","gen-22","VIK_gen-22",34.23173828125,26.0806640625,5,5
"384","TempWarm-5psu","172","B2","KUR","gen-22","KUR_gen-22",34.23173828125,26.0806640625,5,5
"303","TempWarm-5psu","173","B2","BAR","gen-22","BAR_gen-22",34.23173828125,26.0806640625,5,5
"328","TempWarm-5psu","174","B2","BJO","gen-22","BJO_gen-22",34.23173828125,26.0806640625,5,5
"367","TempWarm-5psu","175","B2","VAT","gen-22","VAT_gen-22",34.23173828125,26.0806640625,5,5
"311","TempWarm-5psu","176","B2","HOG","gen-22","HOG_gen-22",34.23173828125,26.0806640625,5,5
"287","TempWarm-16psu","177","B2","KAL","gen-23","KAL_gen-23",34.23173828125,26.0806640625,16,16
"232","TempWarm-16psu","178","B2","HOG","gen-23","HOG_gen-23",34.23173828125,26.0806640625,16,16
"207","TempWarm-16psu","179","B2","BJO","gen-23","BJO_gen-23",34.23173828125,26.0806640625,16,16
"193","TempWarm-16psu","180","B2","KUR","gen-23","KUR_gen-23",34.23173828125,26.0806640625,16,16
"230","TempWarm-16psu","181","B2","VIK","gen-23","VIK_gen-23",34.23173828125,26.0806640625,16,16
"197","TempWarm-16psu","182","B2","BAR","gen-23","BAR_gen-23",34.23173828125,26.0806640625,16,16
"216","TempWarm-16psu","183","B2","HOR","gen-23","HOR_gen-23",34.23173828125,26.0806640625,16,16
