"","pop","median_temp","max_temp","median_sal","min_sal","trt","tank_ID","bagnum_text"
"238","KAL",1.25120726415033,0.427215138990975,-0.629462205199711,-0.328282579579834,"TempWarm-16psu","B2",177
"124","HOG",0.644419545834576,-1.38392444467545,1.00454201710734,0.158000944396516,"TempWarm-16psu","B2",178
"55","BJO",-0.00402937628162592,-2.53691981689737,-0.888119402488334,-0.962855089610585,"TempWarm-16psu","B2",179
"272","KUR",0.574646673266005,-0.613153656415714,-0.429106688449605,0.0442065954216185,"TempWarm-16psu","B2",180
"355","VIK",1.03807934656008,-1.0207535904901,1.4406660472586,1.93129681744207,"TempWarm-16psu","B2",181
"44","BAR",0.247143321168056,-0.932929359174269,0.96234780833162,-0.0638958979282415,"TempWarm-16psu","B2",182
"165","HOR",-0.60122151640723,-0.268414450610448,-0.66787233017253,-0.39394309235737,"TempWarm-16psu","B2",183
"304","VAT",-1.14373332654475,-1.26001020754689,2.37071347609041,1.05298434132052,"TempWarm-16psu","B2",184
"64","BJO",-0.00402937628162592,-2.53691981689737,-0.888119402488334,-0.962855089610585,"TempWarm-5psu","B2",185
"250","KUR",0.574646673266005,-0.613153656415714,-0.429106688449605,0.0442065954216185,"TempWarm-5psu","B2",186
"216","KAL",1.25120726415033,0.427215138990975,-0.629462205199711,-0.328282579579834,"TempWarm-5psu","B2",187
"147","HOR",-0.60122151640723,-0.268414450610448,-0.66787233017253,-0.39394309235737,"TempWarm-5psu","B2",188
"324","VAT",-1.14373332654475,-1.26001020754689,2.37071347609041,1.05298434132052,"TempWarm-5psu","B2",189
"364","VIK",1.03807934656008,-1.0207535904901,1.4406660472586,1.93129681744207,"TempWarm-5psu","B2",190
"114","HOG",0.644419545834576,-1.38392444467545,1.00454201710734,0.158000944396516,"TempWarm-5psu","B2",191
"27","BAR",0.247143321168056,-0.932929359174269,0.96234780833162,-0.0638958979282415,"TempWarm-5psu","B2",192
"181","HOR",-0.60122151640723,-0.268414450610448,-0.66787233017253,-0.39394309235737,"TempWarm-16psu","B3",193
"287","KUR",0.574646673266005,-0.613153656415714,-0.429106688449605,0.0442065954216185,"TempWarm-16psu","B3",194
"89","BJO",-0.00402937628162592,-2.53691981689737,-0.888119402488334,-0.962855089610585,"TempWarm-16psu","B3",195
"231","KAL",1.25120726415033,0.427215138990975,-0.629462205199711,-0.328282579579834,"TempWarm-16psu","B3",196
"11","BAR",0.247143321168056,-0.932929359174269,0.96234780833162,-0.0638958979282415,"TempWarm-16psu","B3",197
"359","VIK",1.03807934656008,-1.0207535904901,1.4406660472586,1.93129681744207,"TempWarm-16psu","B3",198
"111","HOG",0.644419545834576,-1.38392444467545,1.00454201710734,0.158000944396516,"TempWarm-16psu","B3",199
"293","VAT",-1.14373332654475,-1.26001020754689,2.37071347609041,1.05298434132052,"TempWarm-16psu","B3",200
"298","VAT",-1.14373332654475,-1.26001020754689,2.37071347609041,1.05298434132052,"TempWarm-5psu","B3",201
"57","BJO",-0.00402937628162592,-2.53691981689737,-0.888119402488334,-0.962855089610585,"TempWarm-5psu","B3",202
"271","KUR",0.574646673266005,-0.613153656415714,-0.429106688449605,0.0442065954216185,"TempWarm-5psu","B3",203
"135","HOG",0.644419545834576,-1.38392444467545,1.00454201710734,0.158000944396516,"TempWarm-5psu","B3",204
"166","HOR",-0.60122151640723,-0.268414450610448,-0.66787233017253,-0.39394309235737,"TempWarm-5psu","B3",205
"220","KAL",1.25120726415033,0.427215138990975,-0.629462205199711,-0.328282579579834,"TempWarm-5psu","B3",206
"354","VIK",1.03807934656008,-1.0207535904901,1.4406660472586,1.93129681744207,"TempWarm-5psu","B3",207
"43","BAR",0.247143321168056,-0.932929359174269,0.96234780833162,-0.0638958979282415,"TempWarm-5psu","B3",208
"339","VIK",1.03807934656008,-1.0207535904901,1.4406660472586,1.93129681744207,"TempWarm-16psu","B3",209
"37","BAR",0.247143321168056,-0.932929359174269,0.96234780833162,-0.0638958979282415,"TempWarm-16psu","B3",210
"108","HOG",0.644419545834576,-1.38392444467545,1.00454201710734,0.158000944396516,"TempWarm-16psu","B3",211
"255","KUR",0.574646673266005,-0.613153656415714,-0.429106688449605,0.0442065954216185,"TempWarm-16psu","B3",212
"70","BJO",-0.00402937628162592,-2.53691981689737,-0.888119402488334,-0.962855089610585,"TempWarm-16psu","B3",213
"195","KAL",1.25120726415033,0.427215138990975,-0.629462205199711,-0.328282579579834,"TempWarm-16psu","B3",214
"167","HOR",-0.60122151640723,-0.268414450610448,-0.66787233017253,-0.39394309235737,"TempWarm-16psu","B3",215
"310","VAT",-1.14373332654475,-1.26001020754689,2.37071347609041,1.05298434132052,"TempWarm-16psu","B3",216
"246","KUR",0.574646673266005,-0.613153656415714,-0.429106688449605,0.0442065954216185,"TempWarm-5psu","B3",217
"323","VAT",-1.14373332654475,-1.26001020754689,2.37071347609041,1.05298434132052,"TempWarm-5psu","B3",218
"18","BAR",0.247143321168056,-0.932929359174269,0.96234780833162,-0.0638958979282415,"TempWarm-5psu","B3",219
"126","HOG",0.644419545834576,-1.38392444467545,1.00454201710734,0.158000944396516,"TempWarm-5psu","B3",220
"222","KAL",1.25120726415033,0.427215138990975,-0.629462205199711,-0.328282579579834,"TempWarm-5psu","B3",221
"351","VIK",1.03807934656008,-1.0207535904901,1.4406660472586,1.93129681744207,"TempWarm-5psu","B3",222
"179","HOR",-0.60122151640723,-0.268414450610448,-0.66787233017253,-0.39394309235737,"TempWarm-5psu","B3",223
"72","BJO",-0.00402937628162592,-2.53691981689737,-0.888119402488334,-0.962855089610585,"TempWarm-5psu","B3",224
"87","BJO",-0.00402937628162592,-2.53691981689737,-0.888119402488334,-0.962855089610585,"TempWarm-16psu","B4",225
"120","HOG",0.644419545834576,-1.38392444467545,1.00454201710734,0.158000944396516,"TempWarm-16psu","B4",226
"152","HOR",-0.60122151640723,-0.268414450610448,-0.66787233017253,-0.39394309235737,"TempWarm-16psu","B4",227
"309","VAT",-1.14373332654475,-1.26001020754689,2.37071347609041,1.05298434132052,"TempWarm-16psu","B4",228
"279","KUR",0.574646673266005,-0.613153656415714,-0.429106688449605,0.0442065954216185,"TempWarm-16psu","B4",229
"29","BAR",0.247143321168056,-0.932929359174269,0.96234780833162,-0.0638958979282415,"TempWarm-16psu","B4",230
"338","VIK",1.03807934656008,-1.0207535904901,1.4406660472586,1.93129681744207,"TempWarm-16psu","B4",231
"218","KAL",1.25120726415033,0.427215138990975,-0.629462205199711,-0.328282579579834,"TempWarm-16psu","B4",232
"68","BJO",-0.00402937628162592,-2.53691981689737,-0.888119402488334,-0.962855089610585,"TempWarm-5psu","B4",233
"153","HOR",-0.60122151640723,-0.268414450610448,-0.66787233017253,-0.39394309235737,"TempWarm-5psu","B4",234
"22","BAR",0.247143321168056,-0.932929359174269,0.96234780833162,-0.0638958979282415,"TempWarm-5psu","B4",235
"317","VAT",-1.14373332654475,-1.26001020754689,2.37071347609041,1.05298434132052,"TempWarm-5psu","B4",236
"358","VIK",1.03807934656008,-1.0207535904901,1.4406660472586,1.93129681744207,"TempWarm-5psu","B4",237
"203","KAL",1.25120726415033,0.427215138990975,-0.629462205199711,-0.328282579579834,"TempWarm-5psu","B4",238
"247","KUR",0.574646673266005,-0.613153656415714,-0.429106688449605,0.0442065954216185,"TempWarm-5psu","B4",239
"119","HOG",0.644419545834576,-1.38392444467545,1.00454201710734,0.158000944396516,"TempWarm-5psu","B4",240
"196","KAL",1.25120726415033,0.427215138990975,-0.629462205199711,-0.328282579579834,"TempWarm-16psu","B4",241
"172","HOR",-0.60122151640723,-0.268414450610448,-0.66787233017253,-0.39394309235737,"TempWarm-16psu","B4",242
"286","KUR",0.574646673266005,-0.613153656415714,-0.429106688449605,0.0442065954216185,"TempWarm-16psu","B4",243
"2","BAR",0.247143321168056,-0.932929359174269,0.96234780833162,-0.0638958979282415,"TempWarm-16psu","B4",244
"379","VIK",1.03807934656008,-1.0207535904901,1.4406660472586,1.93129681744207,"TempWarm-16psu","B4",245
"106","HOG",0.644419545834576,-1.38392444467545,1.00454201710734,0.158000944396516,"TempWarm-16psu","B4",246
"313","VAT",-1.14373332654475,-1.26001020754689,2.37071347609041,1.05298434132052,"TempWarm-16psu","B4",247
"96","BJO",-0.00402937628162592,-2.53691981689737,-0.888119402488334,-0.962855089610585,"TempWarm-16psu","B4",248
"7","BAR",0.247143321168056,-0.932929359174269,0.96234780833162,-0.0638958979282415,"TempWarm-5psu","B4",249
"131","HOG",0.644419545834576,-1.38392444467545,1.00454201710734,0.158000944396516,"TempWarm-5psu","B4",250
"372","VIK",1.03807934656008,-1.0207535904901,1.4406660472586,1.93129681744207,"TempWarm-5psu","B4",251
"290","VAT",-1.14373332654475,-1.26001020754689,2.37071347609041,1.05298434132052,"TempWarm-5psu","B4",252
"63","BJO",-0.00402937628162592,-2.53691981689737,-0.888119402488334,-0.962855089610585,"TempWarm-5psu","B4",253
"253","KUR",0.574646673266005,-0.613153656415714,-0.429106688449605,0.0442065954216185,"TempWarm-5psu","B4",254
"206","KAL",1.25120726415033,0.427215138990975,-0.629462205199711,-0.328282579579834,"TempWarm-5psu","B4",255
"149","HOR",-0.60122151640723,-0.268414450610448,-0.66787233017253,-0.39394309235737,"TempWarm-5psu","B4",256
"270","KUR",0.574646673266005,-0.613153656415714,-0.429106688449605,0.0442065954216185,"TempControl-21psu","C1",257
"81","BJO",-0.00402937628162592,-2.53691981689737,-0.888119402488334,-0.962855089610585,"TempControl-21psu","C1",258
"237","KAL",1.25120726415033,0.427215138990975,-0.629462205199711,-0.328282579579834,"TempControl-21psu","C1",259
"190","HOR",-0.60122151640723,-0.268414450610448,-0.66787233017253,-0.39394309235737,"TempControl-21psu","C1",260
"382","VIK",1.03807934656008,-1.0207535904901,1.4406660472586,1.93129681744207,"TempControl-21psu","C1",261
"20","BAR",0.247143321168056,-0.932929359174269,0.96234780833162,-0.0638958979282415,"TempControl-21psu","C1",262
"318","VAT",-1.14373332654475,-1.26001020754689,2.37071347609041,1.05298434132052,"TempControl-21psu","C1",263
"133","HOG",0.644419545834576,-1.38392444467545,1.00454201710734,0.158000944396516,"TempControl-21psu","C1",264
"347","VIK",1.03807934656008,-1.0207535904901,1.4406660472586,1.93129681744207,"TempControl-7psu","C1",265
"306","VAT",-1.14373332654475,-1.26001020754689,2.37071347609041,1.05298434132052,"TempControl-7psu","C1",266
"49","BJO",-0.00402937628162592,-2.53691981689737,-0.888119402488334,-0.962855089610585,"TempControl-7psu","C1",267
"26","BAR",0.247143321168056,-0.932929359174269,0.96234780833162,-0.0638958979282415,"TempControl-7psu","C1",268
"98","HOG",0.644419545834576,-1.38392444467545,1.00454201710734,0.158000944396516,"TempControl-7psu","C1",269
"163","HOR",-0.60122151640723,-0.268414450610448,-0.66787233017253,-0.39394309235737,"TempControl-7psu","C1",270
"252","KUR",0.574646673266005,-0.613153656415714,-0.429106688449605,0.0442065954216185,"TempControl-7psu","C1",271
"229","KAL",1.25120726415033,0.427215138990975,-0.629462205199711,-0.328282579579834,"TempControl-7psu","C1",272
"326","VAT",-1.14373332654475,-1.26001020754689,2.37071347609041,1.05298434132052,"TempControl-21psu","C1",273
"113","HOG",0.644419545834576,-1.38392444467545,1.00454201710734,0.158000944396516,"TempControl-21psu","C1",274
"173","HOR",-0.60122151640723,-0.268414450610448,-0.66787233017253,-0.39394309235737,"TempControl-21psu","C1",275
"34","BAR",0.247143321168056,-0.932929359174269,0.96234780833162,-0.0638958979282415,"TempControl-21psu","C1",276
"71","BJO",-0.00402937628162592,-2.53691981689737,-0.888119402488334,-0.962855089610585,"TempControl-21psu","C1",277
"282","KUR",0.574646673266005,-0.613153656415714,-0.429106688449605,0.0442065954216185,"TempControl-21psu","C1",278
"224","KAL",1.25120726415033,0.427215138990975,-0.629462205199711,-0.328282579579834,"TempControl-21psu","C1",279
"373","VIK",1.03807934656008,-1.0207535904901,1.4406660472586,1.93129681744207,"TempControl-21psu","C1",280
"258","KUR",0.574646673266005,-0.613153656415714,-0.429106688449605,0.0442065954216185,"TempControl-7psu","C1",281
"194","KAL",1.25120726415033,0.427215138990975,-0.629462205199711,-0.328282579579834,"TempControl-7psu","C1",282
"363","VIK",1.03807934656008,-1.0207535904901,1.4406660472586,1.93129681744207,"TempControl-7psu","C1",283
"129","HOG",0.644419545834576,-1.38392444467545,1.00454201710734,0.158000944396516,"TempControl-7psu","C1",284
"67","BJO",-0.00402937628162592,-2.53691981689737,-0.888119402488334,-0.962855089610585,"TempControl-7psu","C1",285
"331","VAT",-1.14373332654475,-1.26001020754689,2.37071347609041,1.05298434132052,"TempControl-7psu","C1",286
"161","HOR",-0.60122151640723,-0.268414450610448,-0.66787233017253,-0.39394309235737,"TempControl-7psu","C1",287
"38","BAR",0.247143321168056,-0.932929359174269,0.96234780833162,-0.0638958979282415,"TempControl-7psu","C1",288
"83","BJO",-0.00402937628162592,-2.53691981689737,-0.888119402488334,-0.962855089610585,"TempControl-21psu","C2",289
