bagKey,tank_ID,trt,bagnum_text,PopID,new_label,bagnum_num,genetID,DNA_label,temp_full,sal_full,gen,genet,board
02A3413D,A3,TempWarm-16psu,072,HOR,072_A3_HOR_gen-09_TempWarm-16psu,72,9,HOR_gen-09,TempWarm,16psu,gen-09,HOR-09,9
992553F7,A3,TempWarm-5psu,073,KAL,073_A3_KAL_gen-10_TempWarm-5psu,73,10,KAL_gen-10,TempWarm,5psu,gen-10,KAL-10,10
73172B23,A3,TempWarm-5psu,074,HOR,074_A3_HOR_gen-10_TempWarm-5psu,74,10,HOR_gen-10,TempWarm,5psu,gen-10,HOR-10,10
B98C052C,A3,TempWarm-5psu,075,VAT,075_A3_VAT_gen-10_TempWarm-5psu,75,10,VAT_gen-10,TempWarm,5psu,gen-10,VAT-10,10
7A882DEA,A3,TempWarm-5psu,076,BAR,076_A3_BAR_gen-10_TempWarm-5psu,76,10,BAR_gen-10,TempWarm,5psu,gen-10,BAR-10,10
76B90E9F,A3,TempWarm-5psu,077,VIK,077_A3_VIK_gen-10_TempWarm-5psu,77,10,VIK_gen-10,TempWarm,5psu,gen-10,VIK-10,10
D0DC85DA,A3,TempWarm-5psu,078,KUR,078_A3_KUR_gen-10_TempWarm-5psu,78,10,KUR_gen-10,TempWarm,5psu,gen-10,KUR-10,10
2314F740,A3,TempWarm-5psu,079,BJO,079_A3_BJO_gen-10_TempWarm-5psu,79,10,BJO_gen-10,TempWarm,5psu,gen-10,BJO-10,10
9F841C1E,A3,TempWarm-5psu,080,HOG,080_A3_HOG_gen-10_TempWarm-5psu,80,10,HOG_gen-10,TempWarm,5psu,gen-10,HOG-10,10
FC77CEBA,A3,TempWarm-16psu,081,KAL,081_A3_KAL_gen-11_TempWarm-16psu,81,11,KAL_gen-11,TempWarm,16psu,gen-11,KAL-11,11
A87C20E7,A3,TempWarm-16psu,082,BJO,082_A3_BJO_gen-11_TempWarm-16psu,82,11,BJO_gen-11,TempWarm,16psu,gen-11,BJO-11,11
B66B32E2,A3,TempWarm-16psu,083,BAR,083_A3_BAR_gen-11_TempWarm-16psu,83,11,BAR_gen-11,TempWarm,16psu,gen-11,BAR-11,11
911BC4B1,A3,TempWarm-16psu,084,HOR,084_A3_HOR_gen-11_TempWarm-16psu,84,11,HOR_gen-11,TempWarm,16psu,gen-11,HOR-11,11
BBD91F67,A3,TempWarm-16psu,085,HOG,085_A3_HOG_gen-11_TempWarm-16psu,85,11,HOG_gen-11,TempWarm,16psu,gen-11,HOG-11,11
F178662B,A3,TempWarm-16psu,086,VIK,086_A3_VIK_gen-11_TempWarm-16psu,86,11,VIK_gen-11,TempWarm,16psu,gen-11,VIK-11,11
AC6FE4FE,A3,TempWarm-16psu,087,VAT,087_A3_VAT_gen-11_TempWarm-16psu,87,11,VAT_gen-11,TempWarm,16psu,gen-11,VAT-11,11
9A8E6AF9,A3,TempWarm-16psu,088,KUR,088_A3_KUR_gen-11_TempWarm-16psu,88,11,KUR_gen-11,TempWarm,16psu,gen-11,KUR-11,11
C32A3CFE,A3,TempWarm-5psu,089,HOG,089_A3_HOG_gen-12_TempWarm-5psu,89,12,HOG_gen-12,TempWarm,5psu,gen-12,HOG-12,12
C5A68D33,A3,TempWarm-5psu,090,BAR,090_A3_BAR_gen-12_TempWarm-5psu,90,12,BAR_gen-12,TempWarm,5psu,gen-12,BAR-12,12
9BDBC70E,A3,TempWarm-5psu,091,BJO,091_A3_BJO_gen-12_TempWarm-5psu,91,12,BJO_gen-12,TempWarm,5psu,gen-12,BJO-12,12
B34EC89F,A3,TempWarm-5psu,092,KUR,092_A3_KUR_gen-12_TempWarm-5psu,92,12,KUR_gen-12,TempWarm,5psu,gen-12,KUR-12,12
8E943B9E,A3,TempWarm-5psu,093,KAL,093_A3_KAL_gen-12_TempWarm-5psu,93,12,KAL_gen-12,TempWarm,5psu,gen-12,KAL-12,12
9965A39C,A3,TempWarm-5psu,094,VIK,094_A3_VIK_gen-12_TempWarm-5psu,94,12,VIK_gen-12,TempWarm,5psu,gen-12,VIK-12,12
58A7BC36,A3,TempWarm-5psu,095,HOR,095_A3_HOR_gen-12_TempWarm-5psu,95,12,HOR_gen-12,TempWarm,5psu,gen-12,HOR-12,12
4A6C3667,A3,TempWarm-5psu,096,VAT,096_A3_VAT_gen-12_TempWarm-5psu,96,12,VAT_gen-12,TempWarm,5psu,gen-12,VAT-12,12
11412828,A4,TempWarm-16psu,097,HOG,097_A4_HOG_gen-13_TempWarm-16psu,97,13,HOG_gen-13,TempWarm,16psu,gen-13,HOG-13,13
5B5747E3,A4,TempWarm-16psu,098,BJO,098_A4_BJO_gen-13_TempWarm-16psu,98,13,BJO_gen-13,TempWarm,16psu,gen-13,BJO-13,13
ADB1A907,A4,TempWarm-16psu,099,VAT,099_A4_VAT_gen-13_TempWarm-16psu,99,13,VAT_gen-13,TempWarm,16psu,gen-13,VAT-13,13
97E60232,A4,TempWarm-16psu,100,BAR,100_A4_BAR_gen-13_TempWarm-16psu,100,13,BAR_gen-13,TempWarm,16psu,gen-13,BAR-13,13
