"","pop","mll_no","median_temp","max_temp","median_sal","min_sal","median_temp_std","max_temp_std","median_sal_std","min_sal_std","df"
"240","LOM","277",18,23,9,7,0.750406499046688,-0.782977170961545,-0.284751723853713,0.0844386303146261,"seascape"
"242","LOM","278",18,23,9,7,0.750406499046688,-0.782977170961545,-0.284751723853713,0.0844386303146261,"seascape"
"243","LOM","279",18,23,9,7,0.750406499046688,-0.782977170961545,-0.284751723853713,0.0844386303146261,"seascape"
"244","LOM","280",18,23,9,7,0.750406499046688,-0.782977170961545,-0.284751723853713,0.0844386303146261,"seascape"
"245","LOM","281",18,23,9,7,0.750406499046688,-0.782977170961545,-0.284751723853713,0.0844386303146261,"seascape"
"246","LOM","282",18,23,9,7,0.750406499046688,-0.782977170961545,-0.284751723853713,0.0844386303146261,"seascape"
"247","LOM","284",18,23,9,7,0.750406499046688,-0.782977170961545,-0.284751723853713,0.0844386303146261,"seascape"
"248","KUR","288",18,23,8,7,0.750406499046688,-0.782977170961545,-0.452849433609595,0.0844386303146261,"seascape"
"255","KUR","291",18,23,8,7,0.750406499046688,-0.782977170961545,-0.452849433609595,0.0844386303146261,"seascape"
"256","KUR","294",18,23,8,7,0.750406499046688,-0.782977170961545,-0.452849433609595,0.0844386303146261,"seascape"
"257","KUR","296",18,23,8,7,0.750406499046688,-0.782977170961545,-0.452849433609595,0.0844386303146261,"seascape"
"258","KUR","297",18,23,8,7,0.750406499046688,-0.782977170961545,-0.452849433609595,0.0844386303146261,"seascape"
"260","KUR","299",18,23,8,7,0.750406499046688,-0.782977170961545,-0.452849433609595,0.0844386303146261,"seascape"
"261","KUR","302",18,23,8,7,0.750406499046688,-0.782977170961545,-0.452849433609595,0.0844386303146261,"seascape"
"265","KUR","306",18,23,8,7,0.750406499046688,-0.782977170961545,-0.452849433609595,0.0844386303146261,"seascape"
"268","YST","312",17,23,8,7,0.262291617423796,-0.782977170961545,-0.452849433609595,0.0844386303146261,"seascape"
"276","YST","315",17,23,8,7,0.262291617423796,-0.782977170961545,-0.452849433609595,0.0844386303146261,"seascape"
"280","YST","317",17,23,8,7,0.262291617423796,-0.782977170961545,-0.452849433609595,0.0844386303146261,"seascape"
"283","YST","321",17,23,8,7,0.262291617423796,-0.782977170961545,-0.452849433609595,0.0844386303146261,"seascape"
"284","YST","326",17,23,8,7,0.262291617423796,-0.782977170961545,-0.452849433609595,0.0844386303146261,"seascape"
"286","SKI","327",13,23,8,7,-1.69016790906777,-0.782977170961545,-0.452849433609595,0.0844386303146261,"seascape"
"290","SKI","336",13,23,8,7,-1.69016790906777,-0.782977170961545,-0.452849433609595,0.0844386303146261,"seascape"
"299","SKI","346",13,23,8,7,-1.69016790906777,-0.782977170961545,-0.452849433609595,0.0844386303146261,"seascape"
"306","AHU","351",16,24,7,6,-0.225823264199097,0.251087555773246,-0.620947143365477,-0.292287566473705,"seascape"
"308","AHU","361",16,24,7,6,-0.225823264199097,0.251087555773246,-0.620947143365477,-0.292287566473705,"seascape"
