gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
6235868601	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/606344649/original.jpg	https://www.inaturalist.org/photos/606344649					2026-01-08T08:27:19Z	naomiyama		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	naomiyama
6235296409	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/624560063/original.jpg	https://www.inaturalist.org/photos/624560063					2026-03-14T21:41:14Z	Daniel Ellehammer Larsen		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Daniel Ellehammer Larsen
6235296409	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/624560104/original.jpg	https://www.inaturalist.org/photos/624560104					2026-03-14T21:41:26Z	Daniel Ellehammer Larsen		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Daniel Ellehammer Larsen
5935411616	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/598178884/original.jpg	https://www.inaturalist.org/photos/598178884					2023-01-07T22:51:42Z	caleidoskopable		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	caleidoskopable
5935411616	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/598178889/original.jpg	https://www.inaturalist.org/photos/598178889					2023-01-07T22:51:42Z	caleidoskopable		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	caleidoskopable
5230933223	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/537046475/original.jpg	https://www.inaturalist.org/photos/537046475					2025-07-09T21:49:14Z	Chiara D’Agata		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Chiara D’Agata
5230426001	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/539495002/original.jpg	https://www.inaturalist.org/photos/539495002					2025-07-20T18:24:01Z	martinskands		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	martinskands
5230048480	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/534982064/original.jpg	https://www.inaturalist.org/photos/534982064					1980-01-01T08:00:34Z	Morten Rosenvold Villadsen		iNaturalist	http://creativecommons.org/publicdomain/zero/1.0/	Morten Rosenvold Villadsen
5176775620	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/512006372/original.jpg	https://www.inaturalist.org/photos/512006372					2013-07-27T15:11:53Z	Sven Ängermark		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sven Ängermark
5168546320	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/509160068/original.jpg	https://www.inaturalist.org/photos/509160068					2021-06-20T21:12:13Z	Björn Källström		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Björn Källström
5167567093	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/509133433/original.jpg	https://www.inaturalist.org/photos/509133433					2019-08-10T23:55:27Z	Björn Källström		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Björn Källström
5069833802	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/469685509/original.jpg	https://www.inaturalist.org/photos/469685509					2025-02-12T21:19:25Z	Mario Aliana Pedrosa		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mario Aliana Pedrosa
5069833802	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/469685511/original.jpg	https://www.inaturalist.org/photos/469685511					2025-02-12T21:24:08Z	Mario Aliana Pedrosa		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mario Aliana Pedrosa
5069833802	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/469685510/original.jpg	https://www.inaturalist.org/photos/469685510					2025-02-12T21:24:06Z	Mario Aliana Pedrosa		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mario Aliana Pedrosa
5069833802	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/469685508/original.jpg	https://www.inaturalist.org/photos/469685508					2025-02-12T21:19:28Z	Mario Aliana Pedrosa		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Mario Aliana Pedrosa
