"trt","pop","fit_off","method","fit","metric","pop_ord","trt_ord","pos_fit_off","log_fit_off"
"TempControl_21psu","VIK",0.459131963286025,"cf","rel","len",2,1,1.23932973522619,0.214570697366727
"TempControl_21psu","KUR",-0.078045042113343,"cf","rel","len",5,1,0.702152729826823,-0.353604334764036
"TempControl_7psu","BAR",0.00406450246850878,"cf","rel","len",4,2,0.784262274408675,-0.243011780891111
"TempControl_7psu","VIK",0,"cf","rel","len",2,2,0.780197771940166,-0.24820783766838
"TempControl_7psu","HOG",0.203674267140693,"cf","rel","len",3,2,0.983872039080859,-0.0162594319705163
"TempControl_7psu","KAL",0,"cf","rel","len",6,2,0.780197771940166,-0.24820783766838
"TempControl_7psu","BJO",0.104959813283252,"cf","rel","len",8,2,0.885157585223418,-0.121989587426092
"TempControl_7psu","HOR",-0.158465461694192,"cf","rel","len",7,2,0.621732310245974,-0.475245648257901
"TempControl_7psu","VAT",0,"cf","rel","len",1,2,0.780197771940166,-0.24820783766838
"TempControl_7psu","KUR",0,"cf","rel","len",5,2,0.780197771940166,-0.24820783766838
"TempWarm_16psu","VAT",1.32687457205104,"cf","rel","len",1,3,2.10707234399121,0.745299469302009
"TempWarm_16psu","BAR",-0.537281146645233,"cf","rel","len",4,3,0.242916625294933,-1.41503700029801
"TempWarm_16psu","VIK",-0.109256607832433,"cf","rel","len",2,3,0.670941164107733,-0.399073829748008
"TempWarm_16psu","KAL",-0.320835790285582,"cf","rel","len",6,3,0.459361981654584,-0.777916748671927
"TempWarm_16psu","HOG",-0.211077658675678,"cf","rel","len",3,3,0.569120113264489,-0.563663771765129
"TempWarm_16psu","HOR",-0.223507465410244,"cf","rel","len",7,3,0.556690306529922,-0.585746196320916
"TempWarm_16psu","BJO",-0.524913814534136,"cf","rel","len",8,3,0.255283957406031,-1.36537879491501
"TempWarm_16psu","KUR",-0.371415397708556,"cf","rel","len",5,3,0.408782374231611,-0.894572356893952
"TempWarm_5psu","HOR",NA,"cf","rel","len",7,4,NA,NA
"TempWarm_5psu","BAR",-0.779197771940166,"cf","rel","len",4,4,0.001,-6.90775527898214
"TempWarm_5psu","BJO",NA,"cf","rel","len",8,4,NA,NA
"TempWarm_5psu","HOG",-0.365206986325008,"cf","rel","len",3,4,0.414990785615158,-0.879498962334905
"TempWarm_5psu","VAT",NA,"cf","rel","len",1,4,NA,NA
"TempWarm_5psu","VIK",NA,"cf","rel","len",2,4,NA,NA
"TempWarm_5psu","KAL",-0.492136608782832,"cf","rel","len",6,4,0.288061163157334,-1.24458244931987
"TempWarm_5psu","KUR",NA,"cf","rel","len",5,4,NA,NA
"TempControl_21psu","BAR",0,"cg","rel","weigh",4,1,6.25699132470279,1.83369945052059
"TempControl_21psu","KUR",0.761129774475457,"cg","rel","weigh",5,1,7.01812109917825,1.94849553252344
"TempControl_21psu","BJO",-0.0394135504011185,"cg","rel","weigh",8,1,6.21757777430167,1.82738040555191
"TempControl_21psu","HOR",-0.128306949838708,"cg","rel","weigh",7,1,6.12868437486408,1.81298010617384
"TempControl_21psu","KAL",-2.26824414813398,"cg","rel","weigh",6,1,3.9887471765688,1.38347719076144
"TempControl_21psu","HOG",-3.53691328558519,"cg","rel","weigh",3,1,2.7200780391176,1.00066057074839
"TempControl_21psu","VAT",0.000345119592575422,"cg","rel","weigh",1,1,6.25733644429536,1.83375460643452
"TempControl_21psu","VIK",-1.60027294321208,"cg","rel","weigh",2,1,4.65671838149071,1.5383109900847
"TempControl_7psu","KUR",0,"cg","rel","weigh",5,2,6.25699132470279,1.83369945052059
"TempControl_7psu","VAT",-2.04848919277384,"cg","rel","weigh",1,2,4.20850213192895,1.43710679624628
"TempControl_7psu","VIK",-1.67233693374859,"cg","rel","weigh",2,2,4.5846543909542,1.52271472466761
"TempControl_7psu","KAL",0.0410307166185581,"cg","rel","weigh",6,2,6.29802204132135,1.84023562240617
"TempControl_7psu","BAR",0.118145898403839,"cg","rel","weigh",4,2,6.37513722310663,1.85240561600602
"TempControl_7psu","HOR",-1.45145120613841,"cg","rel","weigh",7,2,4.80554011856437,1.56976944371464
"TempControl_7psu","BJO",-1.10035449817075,"cg","rel","weigh",8,2,5.15663682653204,1.64028458919011
"TempControl_7psu","HOG",0.207383763488496,"cg","rel","weigh",3,2,6.46437508819128,1.86630634679259
"TempWarm_16psu","BJO",1.34854075945575,"cg","rel","weigh",8,3,7.60553208415853,2.02887588830767
"TempWarm_16psu","BAR",0.535865479231622,"cg","rel","weigh",4,3,6.79285680393441,1.9158715900421
"TempWarm_16psu","VIK",2.08769169433575,"cg","rel","weigh",2,3,8.34468301903854,2.12162457185534
"TempWarm_16psu","VAT",3.40823791160705,"cg","rel","weigh",1,3,9.66522923630983,2.26853483056938
"TempWarm_16psu","KUR",-0.462503161829288,"cg","rel","weigh",5,3,5.7944881628735,1.75690714896919
"TempWarm_16psu","KAL",0.149093550936116,"cg","rel","weigh",6,3,6.4060848756389,1.85724830049646
"TempWarm_16psu","HOR",0.826789682166718,"cg","rel","weigh",7,3,7.08378100686951,1.95780780567503
"TempWarm_16psu","HOG",1.33579770287111,"cg","rel","weigh",3,3,7.5927890275739,2.02719898472377
"TempWarm_5psu","BAR",-3.88936437795368,"cg","rel","weigh",4,4,2.36762694674911,0.86188816523153
"TempWarm_5psu","KUR",NA,"cg","rel","weigh",5,4,NA,NA
"TempWarm_5psu","BJO",NA,"cg","rel","weigh",8,4,NA,NA
"TempWarm_5psu","KAL",-3.06156373432331,"cg","rel","weigh",6,4,3.19542759037948,1.1617209099796
"TempWarm_5psu","HOR",NA,"cg","rel","weigh",7,4,NA,NA
"TempWarm_5psu","HOG",-6.25599132470279,"cg","rel","weigh",3,4,0.001,-6.90775527898214
