"trt","pop","fit_off","method","fit","metric","pop_ord","trt_ord"
"TempControl_21psu","HOG",0,"cf","abs","surv",3,1
"TempControl_21psu","HOR",-0.0928341540128931,"cg","rel","len",7,1
"TempControl_21psu","HOG",-3.53691328558519,"cg","rel","weigh",3,1
"TempControl_21psu","KAL",-1.59203187858662,"cf","rel","weigh",6,1
"TempControl_21psu","VAT",0.000345119592575422,"cg","rel","weigh",1,1
"TempControl_21psu","VAT",10,"cf","rel","surv",1,1
"TempControl_21psu","VIK",-0.115953251250799,"cg","abs","weigh",2,1
"TempControl_21psu","KAL",-0.3255552789979,"cf","abs","len",6,1
"TempControl_21psu","KUR",1.43361712833072,"cg","abs","len",5,1
"TempControl_21psu","VIK",0.333333333333333,"cg","abs","surv",2,1
"TempControl_21psu","VAT",-0.22753711561583,"cg","abs","len",1,1
"TempControl_21psu","VIK",-0.08728832597872,"cg","abs","len",2,1
"TempControl_21psu","VAT",-0.083333333333333,"cg","abs","surv",1,1
"TempControl_21psu","VIK",-0.0322396379136724,"cg","rel","len",2,1
"TempControl_21psu","KAL",-0.115057748003868,"cg","abs","weigh",6,1
"TempControl_21psu","HOG",-0.090909090909091,"cg","abs","surv",3,1
"TempControl_21psu","VIK",0.459131963286025,"cf","rel","len",2,1
"TempControl_21psu","VIK",0.25,"cf","abs","surv",2,1
"TempControl_21psu","HOG",-0.090909090909091,"cg","rel","surv",3,1
"TempControl_21psu","BJO",0,"cf","rel","surv",8,1
"TempControl_21psu","HOG",0,"cf","abs","weigh",3,1
"TempControl_21psu","HOR",0,"cf","rel","surv",7,1
"TempControl_21psu","HOR",0.375,"cg","rel","surv",7,1
"TempControl_21psu","KAL",-0.45461710191238,"cg","abs","len",6,1
"TempControl_21psu","VAT",-0.0802162470412926,"cg","rel","len",1,1
"TempControl_21psu","VIK",0.82447368016453,"cf","abs","len",2,1
"TempControl_21psu","KUR",-0.133776332392741,"cf","abs","weigh",5,1
"TempControl_21psu","KUR",-0.078045042113343,"cf","rel","len",5,1
"TempControl_21psu","KAL",-0.160271337084941,"cg","rel","len",6,1
"TempControl_21psu","HOR",0.25,"cg","abs","surv",7,1
"TempControl_21psu","VIK",-1.60027294321208,"cg","rel","weigh",2,1
"TempControl_21psu","KUR",0.529501472344526,"cg","rel","len",5,1
"TempControl_21psu","KAL",-0.172995818051075,"cf","abs","weigh",6,1
"TempControl_7psu","HOG",-1.97934100590372,"cf","rel","weigh",3,2
"TempControl_7psu","HOR",-0.241509223733505,"cf","abs","weigh",7,2
"TempControl_7psu","KUR",0,"cg","rel","weigh",5,2
"TempControl_7psu","KAL",-0.333333333333333,"cg","abs","surv",6,2
"TempControl_7psu","BAR",0.00406450246850878,"cf","rel","len",4,2
"TempControl_7psu","BJO",0.500000000000002,"cg","rel","surv",8,2
"TempControl_7psu","VIK",0,"cf","rel","len",2,2
"TempControl_7psu","HOR",0.500000000000002,"cg","rel","surv",7,2
"TempControl_7psu","BJO",0.27893436552146,"cf","abs","len",8,2
"TempControl_7psu","KUR",0,"cf","rel","weigh",5,2
"TempControl_7psu","HOG",-0.15518438297542,"cg","abs","len",3,2
"TempControl_7psu","BJO",0.166666666666667,"cg","abs","surv",8,2
"TempControl_7psu","BAR",0.0659874084825875,"cf","abs","weigh",4,2
"TempControl_7psu","VAT",-2.11907334842615,"cg","abs","len",1,2
"TempControl_7psu","BAR",-0.5,"cf","rel","surv",4,2
"TempControl_7psu","KUR",0,"cf","rel","surv",5,2
"TempControl_7psu","VIK",0,"cf","rel","surv",2,2
"TempControl_7psu","BAR",0.0115291502932298,"cf","abs","len",4,2
"TempControl_7psu","BAR",-0.5,"cg","rel","surv",4,2
"TempControl_7psu","KAL",-0.333333333333333,"cg","rel","surv",6,2
"TempControl_7psu","BAR",1.30087330699471,"cf","rel","weigh",4,2
"TempControl_7psu","KUR",0,"cf","abs","surv",5,2
"TempControl_7psu","VAT",0,"cf","rel","weigh",1,2
"TempControl_7psu","VAT",-0.916666666666667,"cg","abs","surv",1,2
"TempControl_7psu","KAL",0,"cf","abs","surv",6,2
"TempControl_7psu","VIK",0,"cf","abs","len",2,2
"TempControl_7psu","KAL",0,"cf","rel","weigh",6,2
"TempControl_7psu","VAT",-2.04848919277384,"cg","rel","weigh",1,2
"TempControl_7psu","HOG",-0.5,"cg","abs","surv",3,2
"TempControl_7psu","KAL",0.0499498005163899,"cg","abs","len",6,2
"TempControl_7psu","HOG",0.42342386053012,"cf","abs","len",3,2
"TempControl_7psu","BJO",-0.5,"cf","rel","surv",8,2
"TempControl_7psu","HOG",0.254713706252138,"cf","abs","weigh",3,2
"TempControl_7psu","HOG",0.203674267140693,"cf","rel","len",3,2
"TempControl_7psu","KAL",0,"cf","rel","len",6,2
"TempControl_7psu","KUR",0,"cf","abs","weigh",5,2
"TempControl_7psu","BJO",0.104959813283252,"cf","rel","len",8,2
"TempControl_7psu","KAL",0.0187955389646408,"cg","rel","len",6,2
"TempControl_7psu","HOR",-2.54968361770266,"cf","rel","weigh",7,2
"TempControl_7psu","HOR",-0.416666666666667,"cf","abs","surv",7,2
"TempControl_7psu","BJO",-0.346238632517187,"cg","rel","len",8,2
"TempControl_7psu","KAL",0,"cf","abs","len",6,2
"TempControl_7psu","KUR",0,"cg","abs","len",5,2
"TempControl_7psu","VIK",-1.67233693374859,"cg","rel","weigh",2,2
"TempControl_7psu","VIK",0,"cf","rel","weigh",2,2
"TempControl_7psu","KAL",0.0410307166185581,"cg","rel","weigh",6,2
"TempControl_7psu","BJO",-1.31260519807712,"cf","rel","weigh",8,2
"TempControl_7psu","HOG",-0.409090909090909,"cf","abs","surv",3,2
"TempControl_7psu","HOR",-2.42472841631202,"cg","abs","len",7,2
"TempControl_7psu","VAT",-0.797383078160774,"cg","rel","len",1,2
"TempControl_7psu","BJO",-0.5,"cf","abs","surv",8,2
"TempControl_7psu","HOR",-0.38921298462314,"cf","abs","len",7,2
"TempControl_7psu","BAR",0.118145898403839,"cg","rel","weigh",4,2
"TempControl_7psu","BAR",0.012332154304615,"cg","abs","weigh",4,2
"TempControl_7psu","BAR",-0.5,"cf","abs","surv",4,2
"TempControl_7psu","HOR",-1.45145120613841,"cg","rel","weigh",7,2
"TempControl_7psu","BJO",-0.137010679697035,"cg","abs","weigh",8,2
"TempControl_7psu","KAL",0.004282815869235,"cg","abs","weigh",6,2
"TempControl_7psu","BAR",-0.5,"cg","abs","surv",4,2
"TempControl_7psu","KUR",0.220766203157955,"cg","abs","weigh",5,2
"TempControl_7psu","HOG",-0.0583941094211413,"cg","rel","len",3,2
"TempControl_7psu","BJO",-1.10035449817075,"cg","rel","weigh",8,2
"TempControl_7psu","VIK",0.416666666666667,"cg","abs","surv",2,2
"TempControl_7psu","BAR",0.1905407737241,"cg","abs","len",4,2
"TempControl_7psu","HOG",0.207383763488496,"cg","rel","weigh",3,2
"TempControl_7psu","VAT",-0.213822783168258,"cg","abs","weigh",1,2
"TempControl_7psu","HOR",0.166666666666667,"cg","abs","surv",7,2
"TempControl_7psu","BJO",-0.137010679697035,"cf","abs","weigh",8,2
"TempControl_7psu","HOR",-0.454545454545455,"cf","rel","surv",7,2
"TempControl_7psu","HOG",0.021646867188483,"cg","abs","weigh",3,2
"TempControl_7psu","VAT",0,"cf","abs","len",1,2
"TempControl_7psu","BAR",0.0716983151055628,"cg","rel","len",4,2
"TempControl_7psu","HOR",-0.158465461694192,"cf","rel","len",7,2
"TempControl_7psu","KAL",0,"cf","rel","surv",6,2
"TempControl_7psu","VIK",1.25,"cg","rel","surv",2,2
"TempControl_7psu","VAT",0,"cf","rel","surv",1,2
"TempControl_7psu","VAT",0,"cf","abs","weigh",1,2
"TempControl_7psu","VIK",-2.69593038737411,"cg","abs","len",2,2
"TempControl_7psu","VIK",0,"cf","abs","weigh",2,2
"TempControl_7psu","BJO",-1.55518381622579,"cg","abs","len",8,2
"TempControl_7psu","VIK",-0.600208953402857,"cg","rel","len",2,2
"TempControl_7psu","VAT",0,"cf","rel","len",1,2
"TempControl_7psu","HOG",-0.45,"cf","rel","surv",3,2
"TempControl_7psu","KUR",0,"cg","rel","len",5,2
"TempControl_7psu","VAT",-0.916666666666667,"cg","rel","surv",1,2
"TempControl_7psu","HOR",-0.539829853121074,"cg","rel","len",7,2
"TempControl_7psu","VIK",-0.322989010488655,"cg","abs","weigh",2,2
"TempControl_7psu","HOR",-0.251168695105837,"cg","abs","weigh",7,2
"TempControl_7psu","KUR",0,"cf","abs","len",5,2
"TempControl_7psu","VIK",0,"cf","abs","surv",2,2
"TempControl_7psu","KUR",0,"cg","rel","surv",5,2
"TempControl_7psu","KAL",0,"cf","abs","weigh",6,2
"TempControl_7psu","HOG",-0.5,"cg","rel","surv",3,2
"TempControl_7psu","KUR",0,"cf","rel","len",5,2
"TempControl_7psu","VAT",0,"cf","abs","surv",1,2
"TempControl_7psu","KUR",0,"cg","abs","surv",5,2
"TempWarm_16psu","HOG",1.33579770287111,"cf","rel","weigh",3,3
"TempWarm_16psu","BJO",1.34854075945575,"cg","rel","weigh",8,3
"TempWarm_16psu","HOG",-0.43881496844359,"cg","abs","len",3,3
"TempWarm_16psu","KUR",-0.383971687499402,"cf","abs","weigh",5,3
"TempWarm_16psu","HOR",7.00000000000001,"cg","rel","surv",7,3
"TempWarm_16psu","HOG",-0.171898618119138,"cf","abs","weigh",3,3
"TempWarm_16psu","BAR",0.535865479231622,"cg","rel","weigh",4,3
"TempWarm_16psu","HOG",-0.211077658675678,"cg","rel","len",3,3
"TempWarm_16psu","KAL",0.125,"cf","rel","surv",6,3
"TempWarm_16psu","BAR",-0.416666666666667,"cf","rel","surv",4,3
"TempWarm_16psu","KAL",-0.8686579893694,"cf","abs","len",6,3
"TempWarm_16psu","BJO",-0.361409861992814,"cf","abs","weigh",8,3
"TempWarm_16psu","HOG",-0.43881496844359,"cf","abs","len",3,3
"TempWarm_16psu","KUR",0.0698613547222075,"cg","abs","weigh",5,3
"TempWarm_16psu","BJO",0.724096573692391,"cg","abs","len",8,3
"TempWarm_16psu","BAR",-1.52402296157649,"cf","abs","len",4,3
"TempWarm_16psu","VAT",1.32687457205104,"cf","rel","len",1,3
"TempWarm_16psu","BAR",-0.358333333333334,"cg","rel","surv",4,3
"TempWarm_16psu","BAR",-0.537281146645233,"cf","rel","len",4,3
"TempWarm_16psu","BJO",4.00000000000001,"cg","rel","surv",8,3
"TempWarm_16psu","BJO",-0.128343022929159,"cg","abs","weigh",8,3
"TempWarm_16psu","BAR",-0.248370032096422,"cf","abs","weigh",4,3
"TempWarm_16psu","HOR",-0.071241510178643,"cg","abs","weigh",7,3
"TempWarm_16psu","KAL",-0.24009994534747,"cg","abs","len",6,3
"TempWarm_16psu","VIK",-0.19619456876232,"cf","abs","len",2,3
"TempWarm_16psu","BJO",1.34475077971444,"cg","rel","len",8,3
"TempWarm_16psu","KUR",0.250000000000002,"cf","rel","surv",5,3
"TempWarm_16psu","KAL",-0.019186269987819,"cg","abs","weigh",6,3
